"","NOMBRE_OFICINA","NOMBRE_PRINCIPAL","Min_Y","Max_Y","DATA.POINTS","LOCALIZACION","Key_Pro","Key_Valor","Uno","dos"
"1","ACAPETAHUA","MOJARRA",2013,2017,5,"CHIAPAS","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en ACAPETAHUA"
"2","ACAPETAHUA","OTRAS",2013,2015,3,"CHIAPAS","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en ACAPETAHUA"
"3","ACAPULCO","CAMARON",2012,2017,6,"GUERRERO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en ACAPULCO"
"4","ACAPULCO","CARACOL",2015,2016,2,"GUERRERO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CARACOL en ACAPULCO"
"5","ACAPULCO","CARPA",2015,2017,2,"GUERRERO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CARPA en ACAPULCO"
"6","ACAPULCO","MOJARRA",2012,2017,6,"GUERRERO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en ACAPULCO"
"7","ACAPULCO","OTRAS",2017,2017,1,"GUERRERO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en ACAPULCO"
"8","ACAPULCO","TRUCHA",2016,2017,2,"GUERRERO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de TRUCHA en ACAPULCO"
"9","BAHIA DE LOS ANGELES","ALMEJA",2017,2017,1,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ALMEJA en BAHIA DE LOS ANGELES"
"10","BAHIA DE LOS ANGELES","OTRAS",2016,2016,1,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en BAHIA DE LOS ANGELES"
"11","BAHIA KINO","CAMARON",2012,2016,5,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en BAHIA KINO"
"12","BAHIA KINO","MOJARRA",2012,2016,3,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en BAHIA KINO"
"13","BAHIA KINO","OSTION",2012,2014,3,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en BAHIA KINO"
"14","BAHIA TORTUGAS","OSTION",2012,2012,1,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en BAHIA TORTUGAS"
"15","BARRA DE NAVIDAD","CAMARON",2013,2017,5,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en BARRA DE NAVIDAD"
"16","BARRA DE NAVIDAD","MOJARRA",2012,2017,6,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en BARRA DE NAVIDAD"
"17","BARRA DE NAVIDAD","OTRAS",2016,2016,1,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en BARRA DE NAVIDAD"
"18","CD. ALTAMIRANO","MOJARRA",2012,2017,4,"GUERRERO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en CD. ALTAMIRANO"
"19","CD. CONSTITUCION","OSTION",2012,2017,6,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en CD. CONSTITUCION"
"20","CD. OBREGON","CAMARON",2013,2017,5,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en CD. OBREGON"
"21","CD. OBREGON","MOJARRA",2016,2017,2,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en CD. OBREGON"
