"","V1","V1","V1"
"1","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"2","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"3","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"4","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"5","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"6","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"7","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"8","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"9","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"10","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"11","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"12","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"13","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"14","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"15","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"16","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"17","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"18","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"19","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"20","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"21","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"22","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"23","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"24","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"25","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"26","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"27","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"28","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"29","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"30","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"31","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"32","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"33","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"34","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"35","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"36","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"37","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"38","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"39","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"40","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"41","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"42","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"43","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"44","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"45","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"46","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"47","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"48","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"49","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"50","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"51","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"52","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"53","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"54","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"55","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"56","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"57","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"58","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"59","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"60","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"61","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"62","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"63","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"64","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"65","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"66","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"67","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"68","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"69","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"70","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"71","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
"72","Aguascalientes","Freshwater/Terrestrial","Freshwater/Terrestrial"
