MMID,Nombre,Organización,Tipo de Info,Repositorio,Acceso,Disponible,Contacto_Persona,Contacto,Notas,Resumen
3,Anuario Estadistico SAGARPA,SAGARPA,Captura y valor de pesquerias en Mexico,http://www.gob.mx/conapesca/documentos/estadistica-pesquera-y-acuicola-de-mexico,Publico,Si,,,,"Estadística de acuacultura y pesca relativa a los principales aspectos económicos y sociales. Integra estadística básica relevante en materia de acuacultura y pesca, relativa a los principales aspectos económicos y sociales. Su objetivo principal es difundir información general de consulta y está dirigida a todo tipo de usuarios."
3,Historial de Permisos de Pesca Deportiva,SAGARPA,Numero de Permisos de Pesca Deportiva en Mexico,http://www.gob.mx/conapesca/documentos/historial-de-permisos-de-pesca-deportiva,Publico,No,,,El enlace existe pero no descarga el documento,Consulta el número de permisos de Pesca Deportiva
3,Monitoreo Noroeste,Monitoreo Noroeste,Monitoreo de especies,http://monitoreonoroeste.mx/index.php,Publico,No,,,Se puede descargar la ficha del monitoreo pero no los datos,"Es un portal público que contiene un inventario del monitoreo que se realiza en el Golfo de California y el Pacífico Noroeste. Este inventario compila información de los recursos o indicadores (biológicos, ecológicos, pesqueros, económicos, sociales, etc.) que son monitoreados en esta región, tal como los sitios donde se realiza, la institución que lo lleva a cabo, el objetivo del monitoreo, la metodología empleada, la temporada y la frecuencia de la toma de datos. El propósito de este inventario es que sea una herramienta útil que contribuya para fomentar sinergias, evitar la duplicidad de los esfuerzos en los estudios que implican monitoreo y facilitar la toma de decisiones para el manejo de los recursos marinos y costeros del noroeste de México. "
3,Data Mares,Scripps (UCSD),Variado,http://datamares.ucsd.edu/en/groups/search,Publico,Si,Especifico por dato,,,"Data integration, analysis, metadata, and sound information is the center of DataMARES, providing users the tools for making informed decisions and a platform that serves as a base-line tool for historical information, one-time data collection and long-term monitoring data of coastal and marine ecosystems in the Gulf of California and around the world.DataMARES is the foundation of new innovative science that allow open, persistent, robust, and secure integration and access of scientific information, to meet the needs of science and society to the understanding of our coast and oceans."
3,Portal de Geoinformacion,Sistema Nacional de Informacion Sobre Biodiversidad,Ecologica/Biodiversidad,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,Publico,Si,Especifico por dato,,,"Geoinformación, es un portal de información geográfica donde se puede consultar, visualizar y descargar cartografía temática de diferentes escalas generada y recopilada por CONABIO. Para desarrollar este portal se utilizó software de código abierto (open source). Las características principales del portal, son, desarrollar mecanismos de acceso a los acervos de datos geográficos de la CONABIO a través de servicios de información especializados. La información cartográfica es administrada por la Subdirección de Sistemas de Información Geográfica y su consulta se realiza a través de una clasificación general de temas."
3,Sea Around Us,"University Of British Coulmbia, IOF",Captura y valor de pesquerias en Mexico,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,Publico,Si,Sea Around Us,604-822-2731,,"The data presented in reconstructed data combine official reported data and reconstructed estimates of unreported data (including major discards), with reference to individual EEZs. Official reported data are mainly extracted from the Food and Agriculture Organization of the United Nations (FAO) FishStat database. The Reported catch line overlaid on the catch graph represent all catches deemed reported (including foreign) and allocated to this spatial entity."
3,Atlas Climatico,"Universidad Nacional Autonoma de Mexico, Centro de Ciencias de la Atmosfera","Climatologia, Modelos Globales de Circulacion",http://atlasclimatico.unam.mx/atlas/kml/,Publico,Si,Unidad de Informatica para las Ciencias Atmosfericas y Ambientales,uniatmos@atmosfera.unam.mx,,"El Sistema Satelital de Monitoreo Oceánico (SATMO) automático ha sido desarrollado en la CONABIO para proporcionar, en tiempo casi real, un seguimiento continuo de la temperatura superficial del mar diurna (SST) y nocturna (NSST y SST4) y de otros parámetros biofísicos del color del océano, como la concentración de Clorofila a (Chl_OC3 o CHLO), la fluorescencia de la Clorofila (FLH), el coeficiente de atenuación difusa (K_490 o K490) y la concentración de material total suspendido (TSM_Clark o TSM), así como la reflectancia teledetectada (Rrs_ _).Diariamente se obtienen estos productos georreferenciados a partir de imágenes del sensor Moderate Resolution Imaging Spectroradiometer (MODIS ) con una resolución espacial de 1 km recibidas en la estación terrena satelital de la CONABIO después de cada paso de los satélites Aqua y Terra.El sistema automáticamente proporciona imágenes compuestas para varios productos oceánicos semanales y mensuales, así como compuestos de anomalías semanales y mensuales de la concentración de Clorofila a y la temperatura superficial del mar, basados en compuestos climatológicos de 9 años (julio 2002 - junio 2011) generados a partir de imágenes MODIS-Aqua."
3,Red Nacional de  Metadatos,Instituto Nacional de Estadistica y Geografia,Socio-Económica,http://www.beta.inegi.org.mx/datos/,Publico,Si,01 800 111 46 34,nternacional: (código internacional) + (52)+(449) 910 53 00 Ext. 5301,,"Información básica generada por los censos nacionales y oficinas de gobierno, las encuestas en hogares y establecimientos, y el aprovechamiento de registros administrativos; también, incluye información derivada, principalmente del Sistema de Cuentas Nacionales de México y de los índices nacionales de precios; aquí es posible identificar la variada oferta de datos y metadatos existente.Asimismo, se puede consultar una gran cantidad de tabulados y gráficas, clasificados en la sección Tema, donde se presenta una estructura jerárquica de seis temas principales y subtemas de segundo y tercer nivel. Cada uno de los temas ofrece un cuadro-resumen con las principales variables del tema. Cada tabulado brinda, además de los datos contenidos en la tabla, la facultad de acceder a metadatos relacionados con la información."
3,Fishery and Aquaculture Country Profiles: Mexico,Food and Agriculture Organization of the United Nations,Captura y produccion de acuacultura,http://www.fao.org/fishery/facp/MEX/en,Publico,Si,,,Actualizado en 2010 con datos de CONAPESCA,"This country profile provides statistics and indicators produced through FAO’s Statistics programmes, supplemented with information derived from national and other sources and valid at the time of compilation."
3,Repositorio Nacional,CONACyT,Variada,https://www.repositorionacionalcti.mx/,Publico,Si,Repositorio Nacional,repositorionacional@conacyt.mx,,"El Repositorio Nacional es una plataforma digital que opera sin requerimientos de suscripción, registro o pago, ya que proporciona acceso abierto a las investigaciones, materiales educativos, académicos, científicos, tecnológicos y de innovación, financiados con recursos públicos o que hayan utilizado infraestructura pública en su realización, sin perjuicio de las disposiciones en materia de patentes, protección de la propiedad intelectual o industrial, seguridad nacional y derechos de autor, entre otras, así como de aquella información que, por razón de su naturaleza o decisión del autor, sea confidencial o reservada."
