area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1952,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,282.9825054,800274.5252
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1953,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,178.5586391,574244.5833
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1954,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,139.0784498,447415.3729
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1955,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,155.3283969,401368.5776
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1956,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,215.8392499,585356.0457
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1957,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,240.9324004,532701.5372
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1959,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,0.670189013,1849.051486
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1960,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,19.78255901,42512.71931
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1961,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,0.211926574,310.6843574
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1961,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,USA,Industrial,Landings,Reported,83.28714357,214214.5333
