MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Time_Series,Notes,Lat,Long
1,Meta-data acronyms ,Acronimos; MetaDatosMexico,Juliano Palacios,UBC,1,MMM,National,,,2016,2016,1,,,National,Acronyms,MMM,,,YES,Acronyms,Juliano Palacios; jepa88@gmail.com,Academic,NGO,Marine,,,1,,,
2,Meta-data Field Information,MetaDatosMexico; Informacion; protocolo; Instrucciones,Juliano Palacios,UBC,1,MMM,National,,,2016,2016,1,,,National,Metadata_Field_Info,MMM,,,NO,Metadata_Field_Info,Juliano Palacios; jepa88@gmail.com,Academic,NGO,Marine,,,1,,,
3,Base de Metadatos existentes en Mexico,Metadatos; Marina; Datos existentes,Juliano Palacios,UBC,1,MMM,National,,,2016,2016,1,,,National,Metadata_Existente_Mexico,MMM,,,NO,Metadata_Existente_Mexico,Juliano Palacios; jepa88@gmail.com,Academic,NGO,Marine,,,1,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
6,Seria Historica de la Produccion de Pulpo,Pulpo; Produccion; Peso Vivo,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,National,,,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Pulpo (Peso Vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,1,,,
7,Volumen de la Produccion de Bagre en Guerrero 2013 ,Produccion;  Pesca;  Bagre; Guerrero,SAGARPA,SAGARPA;CONAPeSCA,1,Bagre,Pacific,South Pacific,Guerrero,2013,2013,1,Weight,Month,State,(Guerrero) Volumen de la produccion pesquera mensual en peso vivo; segun principales especies; 2013,Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,1,,,
8,Censo Poblacion y Vivienda 2010,Censo; Poblacion; Tabasco,INeGI,INEGI,1,Poblacion,Atlantic,Yucatan Peninsula,Localidades,2010,2010,,Count,Year,Location,Censo de Poblacion y Vivienda 2010; Tamaulipas,,2016,http://www.inegi.org.mx/lib/olap/consulta/general_ver4/MDXQueryDatos.asp?#Regreso&c=27770,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Sociology,State,,1,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
10,Daily SST anomaly for Mexican Oceans,SST; Day Anomaly; Mexico,SATMO,SATMO,1,SST,National,,Georeference,2002,2015,,Index,Day,Georeference,"indice de /Operational_Satellite_Products/MODIS/Ocean_Products/Refined/2002/8Day/8Day_Anomaly/",,2010,ftp://200.12.166.179/Operational_Satellite_Products/MODIS/Ocean_Products/Refined/2002/8Day/8Day_Anomaly/,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Oceanography,State,,1,,,
