MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area ,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty
1,Meta-data acronyms ,Acronimos; MetaDatosMexico,Juliano Palacios,UBC,1,,National,,,,,,,,,,,,,,,,,,,,
2,Meta-data Field Information,MetaDatosMexico; information; protocol,Juliano Palacios,UBC,1,,National,,,,,,,,,,,,,,,,,,,,
3,Serie Historica de la Produccion de Pulpo,Pulpo; Produccion; Peso Vivo,SAGARPA,SAGARPA;CONAPESCA,1,Pulpo,National,,na,2004,2013,,Weight,Year,national,Serie Historica de la Produccion de Pulpo (Peso Vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
4,Volumen de la Produccion de Bagre en Guerrero 2013 ,Produccion;  Pesca;  Bagre; Guerrero,SAGARPA,SAGARPA;CONAPESCA,1,Bagre,National,,Guerrero,2013,2013,,Weight,Month,State,(Guerrero) Volumen de la produccion pesquera mensual en peso vivo; segun principales especies; 2013,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
5,Censo Poblacion y Vivienda 2010,Censo; Poblacion; Tabasco,INEGI,INEGI,1,Poblacion,Atlantic,Yucatan Peninsula,Localidades,2010,2010,,Count,Year,Location,Censo de Poblacion y Vivienda 2010; Tamaulipas,na,2016,http://www.inegi.org.mx/lib/olap/consulta/general_ver4/MDXQueryDatos.asp?#Regreso&c=27770,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Sociology,State,
6,Catches of Pacific Sardine in Mexico,Captura; Pacific Sardine,Cisneros-Montemayor AM,SAU,1,Sardinops sagax,Pacific,,na,1950,2010,,Weight,Year,Pacific,SAU EEZ 945 v1-43,Catches by Taxon in the waters of Mexico (Pacific),2015,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,YES,Pacific_Sardine_Catch_SAU,Juliano Palacios; jepa88@gmail.com,Academic,Academic,Fisheries,Benefits,
7,Daily SST anomaly for Mexican Oceans,SST; Day Anomaly; ,SATMO,SATMO,1,SST,National,,Georeferenced,2002,2015,,Index,Day,Georeferenced,"indice de /Operational_Satellite_Products/MODIS/Ocean_Products/Refined/2002/8Day/8Day_Anomaly/",na,2010,ftp://200.12.166.179/Operational_Satellite_Products/MODIS/Ocean_Products/Refined/2002/8Day/8Day_Anomaly/,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Oceanography,State,
8,Ship Trackers For Sierra Fishing in San Felipe; Upper Gulf of California ,Scomberomorus concolor; sierra;  Agregado Points;  San Felipe (SF); Alto Gulf,Marcia Moreno Baez,GoC,1,Scomberomorus concolor,Pacific,Gulf of California,Georeferenced,2012,2013,12,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_sierra.zip,na,2016,http://datamares.ucsd.edu/en/metadata/view/352,NO,na,Juliano Palacios; jepa88@gmail.com,Academic,na,Fisheries,Benefits,
9,Ship Trackers For Shrimp Fishing in San Felipe; Upper Gulf of California,Shrimp;  Agregado Points;  San Felipe (SF); Alto Gulf,NA,GoC,1,Camaron,Pacific,Gulf of California,Georeferenced,na,na,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_shrimp.zip,na,na,http://datamares.ucsd.edu/en/metadata/view/359,NO,na,Juliano Palacios; jepa88@gmail.com,Academic,na,Fisheries,Benefits,
10,Ship Trackers For Curvina Fishing in  San Felipe; Upper Gulf of California,Curvina; Agregado Points;  San Felipe (SF); Alto Gulf,NA,GoC,1,Curvina,Pacific,Gulf of California,Georeferenced,na,na,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_Curvina.zip,na,na,http://datamares.ucsd.edu/en/metadata/view/358,NO,na,Juliano Palacios; jepa88@gmail.com,Academic,na,Fisheries,Benefits,
