MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_Name,Area ,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_Name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,,
1,Meta-data acronyms ,"Acronyms, meta-datset",Juliano Palacios,UBC,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Seria Historica de la Produccion de Pulpo,Pulpo;Produccion;Peso Vivo,SAGARPA,SAGARPA;CONAPESCA,1,Pulpo,National,NA,NA,2004,2013,,Weight,Year,National,Serie Historica de la Produccion de Pulpo (Peso Vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
3,Volumen de la Produccion de Bagre en Guerrero 2013 ,Produccion; Pesca; Bagre;Guerrero,SAGARPA,SAGARPA;CONAPESCA,1,Bagre,National,NA,Guerrero,2013,2013,,Weight,Month,State,"(Guerrero) Volumen de la produccion pesquera mensual en peso vivo, segun principales especies, 2013",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
4,Censo Poblacion y Vivienda 2010,Censo;Poblacion;Tabasco,INEGI,INEGI,1,Poblacion,Atlantic,Yucatan Peninsula,Localidades,2010,2010,,Count,Year,Location,Censo de Poblacion y Vivienda 2010; Tamaulipas,NA,2016,http://www.inegi.org.mx/lib/olap/consulta/general_ver4/MDXQueryDatos.asp?#Regreso&c=27770,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Sociology,State,,,
5,Catches of Pacific Sardine in Mexico,Catch;Mexico;Pacific Sardine,Cisneros-Montemayor AM,SAU,1,Sardinops sagax,Pacific,NA,NA,1950,2010,,Weight,Year,Pacific,SAU EEZ 945 v1-43,Catches by Taxon in the waters of Mexico (Pacific),2015,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,YES,Pacific_Sardine_Catch_SAU,Juliano Palacios; jepa88@gmail.com,Academic,Academic,Fisheries,Benefits,,,
6,Daily SST anomaly for Mexican Oceans,SST;Day Anomaly;Mexico,SATMO,SATMO,1,SST,National,NA,Georeferenced,2002,2015,,Index,Day,Georeferenced,"indice de /Operational_Satellite_Products/MODIS/Ocean_Products/Refined/2002/8Day/8Day_Anomaly/",NA,2010,ftp://200.12.166.179/Operational_Satellite_Products/MODIS/Ocean_Products/Refined/2002/8Day/8Day_Anomaly/,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Oceanography,State,,,
7,"Ship Trackers For Sierra Fishing in San Felipe, Upper Gulf of California ",Scomberomorus concolor;sierra; Aggregate Points; San Felipe (SF);Upper Gulf,Marcia Moreno Baez,GoC,1,Scomberomorus concolor,Pacific,Gulf of California,Georeferenced,2012,2013,12,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_sierra.zip,NA,2016,http://datamares.ucsd.edu/en/metadata/view/352,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,,,
8,"Ship Trackers For Shrimp Fishing in San Felipe, Upper Gulf of California",Shrimp; Aggregate Points; San Felipe (SF);Upper Gulf,NA,GoC,1,Camaron,Pacific,Gulf of California,Georeferenced,NA,NA,NA,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_shrimp.zip,NA,NA,http://datamares.ucsd.edu/en/metadata/view/359,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,,,
9,"Ship Trackers For Curvina Fishing in  San Felipe, Upper Gulf of California",Curvina;Aggregate Points; San Felipe (SF);Upper Gulf,NA,GoC,1,Curvina,Pacific,Gulf of California,Georeferenced,NA,NA,NA,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_Curvina.zip,NA,NA,http://datamares.ucsd.edu/en/metadata/view/358,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,,,
10,"Ship Trackers For Chano Fishing in  San Felipe, Upper Gulf of California",Chano; Aggregate Points; San Felipe (SF);Upper Gulf,NA,GoC,1,Chano,Pacific,Gulf of California,Georeferenced,NA,NA,NA,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_chano.zip,NA,NA,http://datamares.ucsd.edu/en/metadata/view/359,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,,,
11,"Ship Trackers For Curvina Fishing in Golfo de Santa Clara, Upper Gulf of California",Curvina;Aggregate Points; Golfo de Santa Clara (GSC);Upper Gulf,NA,GoC,1,Curvina,Pacific,Gulf of California,Georeferenced,NA,NA,NA,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_curvina.zip,NA,NA,http://datamares.ucsd.edu/en/metadata/view/358,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,,,
12,"Ship Trackers For Chano Fishing in Golfo de Santa Clara, Upper Gulf of California",Chano;Aggregate Points; Golfo de Santa Clara (GSC);Upper Gulf,NA,GoC,1,Chano,Pacific,Gulf of California,Georeferenced,NA,NA,NA,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_chano.zip,NA,NA,http://datamares.ucsd.edu/en/metadata/view/353,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,,,
13,"Ship Trackers For Shrimp Fishing in Golfo de Santa Clara, Upper Gulf of California",Shrimp Points; Golfo de Santa Clara (GSC);Upper Gulf,NA,GoC,1,Camaron,Pacific,Gulf of California,Georeferenced,NA,NA,NA,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_shrimp.zip,NA,NA,http://datamares.ucsd.edu/en/metadata/view/355,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,,,
14,"Ship Trackers For Curvina Fishing in Golfo de Santa Clara, Upper Gulf of California",Curvina Points; Golfo de Santa Clara (GSC);Upper Gulf,NA,GoC,1,Camaron,Pacific,Gulf of California,Georeferenced,NA,NA,NA,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_curvina.zip,NA,NA,http://datamares.ucsd.edu/en/metadata/view/354,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,,,
15,Historic Catch for Abulon in Mexico,Abulon;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Abulon,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Abulon (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
16,Historic Catch for Almeja in Mexico,Almeja;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Almeja (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
17,Historic Catch for Tunidos in Mexico,Tunidos;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Tunidos (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
18,Historic Catch for Calamar in Mexico,Calamar;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Calamar (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
19,Historic Oppen Sea Catch for Shrimp in Mexico,Shrimp;Catch;Mexico;Oppen Sea,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
20,Historic Aquaculture production for Shrimp in Mexico,Shrimp;Catch;Mexico; Aquaculture,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Freshwater/Terrestrial,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
21,Historic  Bay Catch for Shrimp in Mexico,Shrimp;Catch;Mexico;Bays,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
22,Historic Catch for Wild Carpa in Mexico,Carpa;Catch;Mexico; Wild,SAGARPA,SAGARPA;CONAPESCA,1,Carpa,Freshwater/Terrestrial,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Carpa (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
23,Historic production of Aquaculture Carpa in Mexico,Carpa;Aquaculture;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Carpa,Freshwater/Terrestrial,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Carpa (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
24,Historic Catch for Erizo in Mexico,Erizo;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Erizo,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Erizo (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
25,Historic Catch for Guachinango in Mexico,Guachinango;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Guachinango,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Guachinango (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
