Metadata_Field,Description,Example,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
MMID,"This is the ID of each data entry, important to have when working with multiple datasets",Any number between 1 and the length of the Meta-dataset,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_Title,Short informative title of the dataset,Shark Survey for Mexican Pacific Coast (Limited to 8 words),,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords,Limited to 8 words that describe the subject or dataset and are useful for seaches,"Fish, Tuna, Fisherman, Effort, Sinaloa, Temperature",,,,,,,,,,,,,,,,,,,,,,,,,,
Author,Author (Principal) of the dataset for referencing the data,Andres Cisneros,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution,Institution or organization associated wtih the author ,"UABCS (can be multiple, e.g. UABCS; CICIMAR)",,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset_Available,Is the data available for use?,"Values: 1- Public Access, 2- Restricted Access (Public), 3 - Private",,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_Name,"Common species name, if known; otherwise, subject studied ","Tuna, shark, callo de hacha, panga,  pH, etc. Limited to 2 words",,,,,,,,,,,,,,,,,,,,,,,,,,
Area ,A broad category of where the data was generated (originally FAO area),"National, Atlantic , Pacific, Freshwater/Terrestrial",,,,,,,,,,,,,,,,,,,,,,,,,,
Region,This could be a more specific location category,"Gulf of California, Northwest Pacific, South Pacific, Gulf of Tehuantepec. Yucatan Peninsula / Mar Caribe, West Gulf of Mexico. Freshwater/Terrestrial",,,,,,,,,,,,,,,,,,,,,,,,,,
Location,An open-ended optional category for more specific area,"Laguna de Altata, uno o mulitples estados, Shape file, NA",,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Year,The starting year of the time series,1980,,,,,,,,,,,,,,,,,,,,,,,,,,
End_Year,The ending year of the time series,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
Data_Time_Points,Amount of data points available in the dataset,In a dataset from 2000 to 2001: 6 data points (because survey was bi-annual),,,,,,,,,,,,,,,,,,,,,,,,,,
Unit_Type,They type of unit used,"Area, size, weight, values, counts, index, temperature,  concentration, pH, depth",,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal_Resolution,What is the temporal resolution of the data,"Annual, monthly, daily, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial_Resolution,What is the spatial resolution of the data,"Area, Region, Location, Georeferenced",,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset_Title,"Original name of dataset (the data specifically, not the source or repository where it was published)","Producción Annual de Octopus Nei, PARTICIPACIÓN DE LA ACUACULTURA EN EL VALOR DE LA PRODUCCIÓN PESQUERA NACIONAL, Personal Ocupado en el Sector Pesca",,,,,,,,,,,,,,,,,,,,,,,,,,
Compilation_Title,Name of the document or repository where data is presented,"FAO fisheries quantity, Anuario Estadístico SAGARPA, Censo Poblacional de INEGI",,,,,,,,,,,,,,,,,,,,,,,,,,
Publication_Year,Year in which the dataset was published,1999,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,Link or address of where the data can be found,www.repositoryonlinewheredatalives.com or Meta-dataset ,,,,,,,,,,,,,,,,,,,,,,,,,,
Available_Metadata,If the data is or not part of the Meta-dataset data repository,Yes or No,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset_Name_Metadata,"In case the data set is in the Meta-data, then what's the name of it?",Capturas de pulpo de la costa de Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,
User_Contact,Name and email of person who identified and/or added the data to the Metadata,"Juliano Palacios, jepa@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,
