MMID,area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1950,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,12600,43911000
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1950,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1890,6586650
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1951,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,12700,43484800
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1951,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1905,6522720
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1952,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,9900,34976700
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1952,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1485,5246505
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1953,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,8000,29168000
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1953,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1200,4375200
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1954,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,4600,13671200
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1954,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,690,2050680
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1955,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,7000,23436000
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1955,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1050,3515400
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1956,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,10400,39644800
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1956,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1560,5946720
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1957,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,8100,29994300
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1957,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,1215,4499145
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1958,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,17200,59185200
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,1958,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,2580,8877780
