MMID,Nombre,Org,Tipo_Info,Year,Repositorio,Acceso,Disponible,Contacto_Persona,Contacto,Notas,Resumen
3,Anuario Estadistico SAGARPA,SAGARPA,Captura y valor de pesquerias en Mexico,2013,http://www.gob.mx/conapesca/documentos/estadistica-pesquera-y-acuicola-de-mexico,Publico,Si,,,,"Estadistica de acuacultura y pesca relativa a los principales aspectos economicos y sociales. Integra estadistica basica relevante en materia de acuacultura y pesca, relativa a los principales aspectos economicos y sociales. Su objetivo principal es difundir informacion general de consulta y esta dirigida a todo tipo de usuarios."
3,Historial de Permisos de Pesca Deportiva,SAGARPA,Numero de Permisos de Pesca Deportiva en Mexico,2013,http://www.gob.mx/conapesca/documentos/historial-de-permisos-de-pesca-deportiva,Publico,No,,,El enlace existe pero no descarga el documento,Consulta el numero de permisos de Pesca Deportiva
3,Monitoreo Noroeste,Monitoreo Noroeste,Monitoreo de especies,2013,http://monitoreonoroeste.mx/index.php,Publico,No,,,Se puede descargar la ficha del monitoreo pero no los datos,"Es un portal publico que contiene un inventario del monitoreo que se realiza en el Golfo de California y el Pacifico Noroeste. Este inventario compila informacion de los recursos o indicadores (biologicos, ecologicos, pesqueros, economicos, sociales, etc.) que son monitoreados en esta region, tal como los sitios donde se realiza, la institucion que lo lleva a cabo, el objetivo del monitoreo, la metodologia empleada, la temporada y la frecuencia de la toma de datos. El proposito de este inventario es que sea una herramienta util que contribuya para fomentar sinergias, evitar la duplicidad de los esfuerzos en los estudios que implican monitoreo y facilitar la toma de decisiones para el manejo de los recursos marinos y costeros del noroeste de Mexico."
3,Data Mares,Scripps (UCSD),Variado,2013,http://datamares.ucsd.edu/en/groups/search,Publico,Si,Especifico por dato,,,"Data integration, analysis, metadata, and sound information is the center of DataMARES, providing users the tools for making informed decisions and a platform that serves as a base-line tool for historical information, one-time data collection and long-term monitoring data of coastal and marine ecosystems in the Gulf of California and around the world.DataMARES is the foundation of new innovative science that allow open, persistent, robust, and secure integration and access of scientific information, to meet the needs of science and society to the understanding of our coast and oceans."
3,Portal de Geoinformacion,Sistema Nacional de Informacion Sobre Biodiversidad,Ecologica/Biodiversidad,2013,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,Publico,Si,Especifico por dato,,,"Geoinformacion, es un portal de informacion geografica donde se puede consultar, visualizar y descargar cartografia tematica de diferentes escalas generada y recopilada por CONABIO. Para desarrollar este portal se utilizo software de codigo abierto (open source). Las caracteristicas principales del portal, son, desarrollar mecanismos de acceso a los acervos de datos geograficos de la CONABIO a traves de servicios de informacion especializados. La informacion cartografica es administrada por la Subdireccion de Sistemas de Informacion Geografica y su consulta se realiza a traves de una clasificacion general de temas."
3,Sea Around Us,"University Of British Coulmbia, IOF",Captura y valor de pesquerias en Mexico,2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,Publico,Si,Sea Around Us,604-822-2731,,"The data presented in reconstructed data combine official reported data and reconstructed estimates of unreported data (including major discards), with reference to individual EEZs. Official reported data are mainly extracted from the Food and Agriculture Organization of the United Nations (FAO) FishStat database. The Reported catch line overlaid on the catch graph represent all catches deemed reported (including foreign) and allocated to this spatial entity."
3,Atlas Climatico,"Universidad Nacional Autonoma de Mexico, Centro de Ciencias de la Atmosfera","Climatologia, Modelos Globales de Circulacion",2013,http://atlasclimatico.unam.mx/atlas/kml/,Publico,Si,Unidad de Informatica para las Ciencias Atmosfericas y Ambientales,uniatmos@atmosfera.unam.mx,,"El Sistema Satelital de Monitoreo Oceanico (SATMO) automatico ha sido desarrollado en la CONABIO para proporcionar, en tiempo casi real, un seguimiento continuo de la temperatura superficial del mar diurna (SST) y nocturna (NSST y SST4) y de otros parametros biofisicos del color del oceano, como la concentracion de Clorofila a (Chl_OC3 o CHLO), la fluorescencia de la Clorofila (FLH), el coeficiente de atenuacion difusa (K_490 o K490) y la concentracion de material total suspendido (TSM_Clark o TSM), asi como la reflectancia teledetectada (Rrs_ _).Diariamente se obtienen estos productos georreferenciados a partir de imagenes del sensor Moderate Resolution Imaging Spectroradiometer (MODIS ) con una resolucion espacial de 1 km recibidas en la estacion terrena satelital de la CONABIO despues de cada paso de los satelites Aqua y Terra.El sistema automaticamente proporciona imagenes compuestas para varios productos oceanicos semanales y mensuales, asi como compuestos de anomalias semanales y mensuales de la concentracion de Clorofila a y la temperatura superficial del mar, basados en compuestos climatologicos de julio 2002 a junio 2011 generados a partir de imagenes MODIS-Aqua."
3,Red Nacional de  Metadatos,Instituto Nacional de Estadistica y Geografia,Socio-Economica,2013,http://www.beta.inegi.org.mx/datos/,Publico,Si,01 800 111 46 34,nternacional: (codigo internacional) + (52)+(449) 910 53 00 Ext. 5301,,"Informacion basica generada por los censos nacionales y oficinas de gobierno, las encuestas en hogares y establecimientos, y el aprovechamiento de registros administrativos; tambien, incluye informacion derivada, principalmente del Sistema de Cuentas Nacionales de Mexico y de los indices nacionales de precios; aqui es posible identificar la variada oferta de datos y metadatos existente.Asimismo, se puede consultar una gran cantidad de tabulados y graficas, clasificados en la seccion Tema, donde se presenta una estructura jerarquica de seis temas principales y subtemas de segundo y tercer nivel. Cada uno de los temas ofrece un cuadro-resumen con las principales variables del tema. Cada tabulado brinda, ademas de los datos contenidos en la tabla, la facultad de acceder a metadatos relacionados con la informacion."
3,Fishery and Aquaculture Country Profiles: Mexico,Food and Agriculture Organization of the United Nations,Captura y produccion de acuacultura,2013,http://www.fao.org/fishery/facp/MEX/en,Publico,Si,,,Actualizado en 2010 con datos de CONAPESCA,"This country profile provides statistics and indicators produced through FAOs Statistics programmes, supplemented with information derived from national and other sources and valid at the time of compilation."
3,Repositorio Nacional,CONACyT,Variada,2013,https://www.repositorionacionalcti.mx/,Publico,Si,Repositorio Nacional,repositorionacional@conacyt.mx,,"El Repositorio Nacional es una plataforma digital que opera sin requerimientos de suscripcion, registro o pago, ya que proporciona acceso abierto a las investigaciones, materiales educativos, academicos, cientificos, tecnologicos y de innovacion, financiados con recursos publicos o que hayan utilizado infraestructura publica en su realizacion, sin perjuicio de las disposiciones en materia de patentes, proteccion de la propiedad intelectual o industrial, seguridad nacional y derechos de autor, entre otras, asi como de aquella informacion que, por razon de su naturaleza o decision del autor, sea confidencial o reservada."
