"Species","Region","miny","maxy","Key","Texto"
"Hoplopagrus guentherii","BAHIA CONCEPCION",2006,2009,"BUENAVENTURA; SANTISPAC; STA BARBARA 1; EL REQUESON; LAS POSITAS; EL FRIJOL Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de BAHIA CONCEPCION"
"Hoplopagrus guentherii","BAHIA DE LA PAZ",2007,2009,"BAHIA FALSA; BALANDRA; MERITO 1; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS; MERITO 2; PTA MOGOTE; UABCS Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de BAHIA DE LA PAZ"
"Hoplopagrus guentherii","ENSENADA DE LA PAZ",2006,2006,"BAHIA FALSA; EL CONCHALITO; ENFERMERIA; LA PUNTA; MERITO 1; MERITO 2; MOGOTE 2; MOGOTE 3; MOGOTE 4; MOGOTE 5; PUERTO GATA; ZACATECAS Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de ENSENADA DE LA PAZ"
"Hoplopagrus guentherii","FRENTE A SAN MARCOS",2006,2006,"SAN LUCAS Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de FRENTE A SAN MARCOS"
"Hoplopagrus guentherii","ISLA ESPIRITU SANTO",2006,2009,"EL CARDONAL; EL ERIZOSO; EL GALLO; EL TOPO; LA DISPENSA; LA GALLINA; LAS NAVAJAS; SAN GABRIEL I; SAN GABRIEL II Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de ISLA ESPIRITU SANTO"
"Hoplopagrus guentherii","ISLA SAN JOSE",2007,2009,"NOPOLO; SAN JOSE Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de ISLA SAN JOSE"
"Hoplopagrus guentherii","LORETO",2006,2009,"PUERTO ESCONDIDO; SAN COSME; ISLA DANZANTE; ISLA DEL CARMEN; NOPOLO II; PUNTA MANGLE; SAN BASILIO 1; SAN BRUNO; SAN BASILIO 2 Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de LORETO"
"Hoplopagrus guentherii","MULEGE",2009,2009,"MULEGE Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de MULEGE"
"Hoplopagrus guentherii","SAN NICOLAS",2007,2007,"SAN IDELFONSO Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de SAN NICOLAS"
"Hoplopagrus guentherii","SANTA ROSALIA",2006,2007,"LOS MOJONES; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de SANTA ROSALIA"
"Hoplopagrus guentherii","STA ROSALIA",2007,2007,"SAN LUCAS; SAN MARCOS Densidad; Red Snapper; Pargo; Manglar","Densidad de Hoplopagrus guentherii en manglares de STA ROSALIA"
