Institution,Collection type,Collection responsible(s),Collection,Basis of record,Collector,Fecha,Collecting date,Catalog Number,Another catalog number,Sex,Preparation,Status,Life stage,Specimen count,Last modification,Expedition,Cruise number,Vessel,Site station,Replicate,Collection method,Continent,Country,State/Province,County,Ocean,Sea/Gulf,River basin,Bay/Sound,Determinator(s),Validation date,Date identified,Type status,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Scientific name,Species authorship,Infraspecific epithet,Infra species authorship,Classify system,",,,,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.18,,,,,,5,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Berrugato zorro,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Menticirrhus,,Menticirrhus americanus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.190,,,,,,25,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Actinopterigio,Ronco canario,",Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Conodon,,Conodon nobilis,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.196,,,,,,9,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Chueco playí_n,Actinopterigio,",Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,,Bothus ocellatus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.197,,,,,,15,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Barbudo ocho barbas,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,Polydactylus,,Polydactylus octonemus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.207,,,,,,14,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Chivo rayuelo,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Upeneus,,Upeneus parvus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.228,,,,,,1,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Actinopterigio,Murcií©lago de lunares,",Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,Ogcocephalus,,Ogcocephalus radiatus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.35.618,,,,,,25,,OGMEX X,10,B/O Justo Sierra,35,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/1/90,,"Estrella de mar,Asteroideo,Equinodermo,",Animalia,Echinodermata,Asteroidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.273,,,,,,1,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Suela texana,Actinopterigio,",Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,Gymnachirus,,Gymnachirus texae,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.37,,,,,,35,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Ronco jení_guaro,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,,Haemulon aurolineatum,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.5,,,,,,5,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Murcií©lago picudo,Actinopterigio,",Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,Halieutichthys,,Halieutichthys aculeatus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Rosa Florido,1990,,ICML:DHLEB:OGMEX X.10.30.56,,,,,,1,,OGMEX X,10,B/O Justo Sierra,30,,Red de arrastre,America,Mexico,Tamaulipas,Aldama,Atlantico,Golfo de Mexico,,,Rosa Florido,,12/2/90,,"Actinopterigio,Huachinango del Golfo,",Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,,Lutjanus campechanus,,,,,",,,,,,,,"
