"Species","Region","Ymi","Ymax","K","Titulo","Title"
"Ablennes hians","Alto Golfo",2005,2005,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Ablennes hians en Alto Golfo"
"Ablennes hians","Bahia Banderas",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Ablennes hians en Bahia Banderas"
"Ablennes hians","La Paz",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Ablennes hians en La Paz"
"Ablennes hians","Loreto",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Ablennes hians en Loreto"
"Abudefduf declivifrons","Corredor",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf declivifrons en Corredor"
"Abudefduf declivifrons","La Paz",1999,1999,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf declivifrons en La Paz"
"Abudefduf declivifrons","Loreto",2001,2012,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf declivifrons en Loreto"
"Abudefduf declivifrons","Santa Rosalia",1999,1999,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf declivifrons en Santa Rosalia"
"Abudefduf troschelii","Alto Golfo",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Alto Golfo"
"Abudefduf troschelii","Bahia Banderas",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Bahia Banderas"
"Abudefduf troschelii","Cabo Pulmo",2009,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Cabo Pulmo"
"Abudefduf troschelii","Corredor",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Corredor"
"Abudefduf troschelii","Huatulco",2016,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Huatulco"
"Abudefduf troschelii","Islas Marias",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Islas Marias"
"Abudefduf troschelii","La Paz",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en La Paz"
"Abudefduf troschelii","La Ventana",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en La Ventana"
"Abudefduf troschelii","Loreto",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Loreto"
"Abudefduf troschelii","Los Cabos",2009,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Los Cabos"
"Abudefduf troschelii","Santa Rosalia",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Abudefduf troschelii en Santa Rosalia"
"Acanthaster solaris","Alto Golfo",2009,2009,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en Alto Golfo"
"Acanthaster solaris","Cabo Pulmo",2009,2015,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en Cabo Pulmo"
"Acanthaster solaris","Corredor",2000,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en Corredor"
"Acanthaster solaris","Islas Marias",2010,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en Islas Marias"
"Acanthaster solaris","La Paz",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en La Paz"
"Acanthaster solaris","La Ventana",2009,2015,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en La Ventana"
"Acanthaster solaris","Loreto",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en Loreto"
"Acanthaster solaris","Los Cabos",2009,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en Los Cabos"
"Acanthaster solaris","Revillagigedo",2006,2006,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en Revillagigedo"
"Acanthaster solaris","Santa Rosalia",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthaster solaris en Santa Rosalia"
