"","ENTIDAD_FEDERATIVA","paste(""Numero de Embarcaciones en zon...","paste(""Embarcaciones; Ballenas; Colis..."
"1","Baja California","Numero de Embarcaciones en zonas con presencia de ballenas en Baja California","Embarcaciones; Ballenas; Colision; Presencia; Baja California"
"2","Baja California Sur","Numero de Embarcaciones en zonas con presencia de ballenas en Baja California Sur","Embarcaciones; Ballenas; Colision; Presencia; Baja California Sur"
"3","Cabo San Lucas, Baja California Sur","Numero de Embarcaciones en zonas con presencia de ballenas en Cabo San Lucas, Baja California Sur","Embarcaciones; Ballenas; Colision; Presencia; Cabo San Lucas, Baja California Sur"
"4","Ensenada, Baja California","Numero de Embarcaciones en zonas con presencia de ballenas en Ensenada, Baja California","Embarcaciones; Ballenas; Colision; Presencia; Ensenada, Baja California"
"5","Guaymas-San Carlos, Sonora","Numero de Embarcaciones en zonas con presencia de ballenas en Guaymas-San Carlos, Sonora","Embarcaciones; Ballenas; Colision; Presencia; Guaymas-San Carlos, Sonora"
"6","Jalisco","Numero de Embarcaciones en zonas con presencia de ballenas en Jalisco","Embarcaciones; Ballenas; Colision; Presencia; Jalisco"
"7","Mazatlan, Sinaloa","Numero de Embarcaciones en zonas con presencia de ballenas en Mazatlan, Sinaloa","Embarcaciones; Ballenas; Colision; Presencia; Mazatlan, Sinaloa"
"8","Nayarit","Numero de Embarcaciones en zonas con presencia de ballenas en Nayarit","Embarcaciones; Ballenas; Colision; Presencia; Nayarit"
"9","Pichilingue, Baja California Sur","Numero de Embarcaciones en zonas con presencia de ballenas en Pichilingue, Baja California Sur","Embarcaciones; Ballenas; Colision; Presencia; Pichilingue, Baja California Sur"
"10","Playas de Rosarito, Baja California","Numero de Embarcaciones en zonas con presencia de ballenas en Playas de Rosarito, Baja California","Embarcaciones; Ballenas; Colision; Presencia; Playas de Rosarito, Baja California"
"11","Puerto Vallarta, Jalisco","Numero de Embarcaciones en zonas con presencia de ballenas en Puerto Vallarta, Jalisco","Embarcaciones; Ballenas; Colision; Presencia; Puerto Vallarta, Jalisco"
"12","Santa Rosalia, Baja California Sur","Numero de Embarcaciones en zonas con presencia de ballenas en Santa Rosalia, Baja California Sur","Embarcaciones; Ballenas; Colision; Presencia; Santa Rosalia, Baja California Sur"
"13","Sinaloa","Numero de Embarcaciones en zonas con presencia de ballenas en Sinaloa","Embarcaciones; Ballenas; Colision; Presencia; Sinaloa"
"14","Sonora","Numero de Embarcaciones en zonas con presencia de ballenas en Sonora","Embarcaciones; Ballenas; Colision; Presencia; Sonora"
