"","State/Province","Scientific name","Inicio","Fin","Titulo","Key"
"1","","Aporocidaris milleri","","","Especimen preservado de Aporocidaris milleri en ","Equinodermos; Equinodermata; Presencia"
"2","","Asteronyx loveni","2000","2000","Especimen preservado de Asteronyx loveni en ","Equinodermos; Equinodermata; Presencia"
"3","","Astropecten armatus","1985","1985","Especimen preservado de Astropecten armatus en ","Equinodermos; Equinodermata; Presencia"
"4","","Astropecten articulatus","","","Especimen preservado de Astropecten articulatus en ","Equinodermos; Equinodermata; Presencia"
"5","","Astropecten cingulatus","1996","2004","Especimen preservado de Astropecten cingulatus en ","Equinodermos; Equinodermata; Presencia"
"6","","Astropecten comptus","2005","2005","Especimen preservado de Astropecten comptus en ","Equinodermos; Equinodermata; Presencia"
"7","","Astropecten duplicatus","2005","2005","Especimen preservado de Astropecten duplicatus en ","Equinodermos; Equinodermata; Presencia"
"8","","Astrophyton muricatum","1983","1983","Especimen preservado de Astrophyton muricatum en ","Equinodermos; Equinodermata; Presencia"
"9","","Clypeaster ravenelii","1984","1984","Especimen preservado de Clypeaster ravenelii en ","Equinodermos; Equinodermata; Presencia"
"10","","Crinometra brevipinna","","","Especimen preservado de Crinometra brevipinna en ","Equinodermos; Equinodermata; Presencia"
"11","","Echinaster serpentarius","1984","1984","Especimen preservado de Echinaster serpentarius en ","Equinodermos; Equinodermata; Presencia"
"12","","Echinometra viridis","2005","2005","Especimen preservado de Echinometra viridis en ","Equinodermos; Equinodermata; Presencia"
"13","","Encope micropora","","","Especimen preservado de Encope micropora en ","Equinodermos; Equinodermata; Presencia"
"14","","Encope perspectiva","","","Especimen preservado de Encope perspectiva en ","Equinodermos; Equinodermata; Presencia"
"15","","Eremicaster crassus","1998","1998","Especimen preservado de Eremicaster crassus en ","Equinodermos; Equinodermata; Presencia"
"16","","Eucidaris tribuloides","2005","2005","Especimen preservado de Eucidaris tribuloides en ","Equinodermos; Equinodermata; Presencia"
"17","","Hemipholis gracilis","1982","1982","Especimen preservado de Hemipholis gracilis en ","Equinodermos; Equinodermata; Presencia"
"18","","Holothuria (Cystipus) occidentalis","2004","2004","Especimen preservado de Holothuria (Cystipus) occidentalis en ","Equinodermos; Equinodermata; Presencia"
"19","","Holothuria (Selenkothuria) lubrica","1970","1970","Especimen preservado de Holothuria (Selenkothuria) lubrica en ","Equinodermos; Equinodermata; Presencia"
"20","","Holothuria (Vaneyothuria) lentiginosa","1996","1996","Especimen preservado de Holothuria (Vaneyothuria) lentiginosa en ","Equinodermos; Equinodermata; Presencia"
"21","","Holothuria (Vaneyothuria) zacae","1982","1982","Especimen preservado de Holothuria (Vaneyothuria) zacae en ","Equinodermos; Equinodermata; Presencia"
"22","","Isostichopus badionotus","2000","2000","Especimen preservado de Isostichopus badionotus en ","Equinodermos; Equinodermata; Presencia"
"23","","Mellita grantii","1989","1989","Especimen preservado de Mellita grantii en ","Equinodermos; Equinodermata; Presencia"
"24","","Moira clotho","","","Especimen preservado de Moira clotho en ","Equinodermos; Equinodermata; Presencia"
"25","","Odontaster hispidus","1997","1997","Especimen preservado de Odontaster hispidus en ","Equinodermos; Equinodermata; Presencia"
"26","","Ophiernus adspersus","1997","1997","Especimen preservado de Ophiernus adspersus en ","Equinodermos; Equinodermata; Presencia"
