"","X1","X2","X3","X4","Comun","Sci1","Sci2","Sci3","Sci4"
"1","Cangrejo","amarillo","Cancer","anthonyi","Cangrejo amarillo","Cancer anthonyi","Cangrejo amarillo","amarillo Cancer","Cangrejo amarillo"
"2","Cangrejo","de rocamoteado","Cancer","antennarius","Cangrejo de rocamoteado","Cancer antennarius","Cangrejo de rocamoteado","de rocamoteado Cancer","Cangrejo de rocamoteado"
"3","Cangrejo","rojo de roca","Cancer","productus","Cangrejo rojo de roca","Cancer productus","Cangrejo rojo de roca","rojo de roca Cancer","Cangrejo rojo de roca"
"4","Cangrejo","purpura","Cancer","gracilis","Cangrejo purpura","Cancer gracilis","Cangrejo purpura","purpura Cancer","Cangrejo purpura"
"5","Pacifico","mexicano del pacifico","Cancer","johngarthi","Pacifico mexicano del pacifico","Cancer johngarthi","Pacifico mexicano del pacifico","mexicano del pacifico Cancer","Pacifico mexicano del pacifico"
"6","Caracol","panocha","Astraea","undosa","Caracol panocha","Astraea undosa","Caracol panocha","panocha Astraea","Caracol panocha"
"7","Catracol","chino rosa","Hexaplex","erithrostomus","Catracol chino rosa","Hexaplex erithrostomus","Catracol chino rosa","chino rosa Hexaplex","Catracol chino rosa"
"8","Caracol","chino negro","Muricantus","nigritus","Caracol chino negro","Muricantus nigritus","Caracol chino negro","chino negro Muricantus","Caracol chino negro"
"9","Erizo","rojo","Strongylocentrotus","franciscanus","Erizo rojo","Strongylocentrotus franciscanus","Erizo rojo","rojo Strongylocentrotus","Erizo rojo"
"10","Erizo","morado","Strongylocentrotus","purpuratus","Erizo morado","Strongylocentrotus purpuratus","Erizo morado","morado Strongylocentrotus","Erizo morado"
"11","Estrella","ocre","Pisaster","ochraceus","Estrella ocre","Pisaster ochraceus","Estrella ocre","ocre Pisaster","Estrella ocre"
"12","Estrella","de azucar","Pisaster","giganteus","Estrella de azucar","Pisaster giganteus","Estrella de azucar","de azucar Pisaster","Estrella de azucar"
"13","Estrella","rosada","Pisaster","brevispinus","Estrella rosada","Pisaster brevispinus","Estrella rosada","rosada Pisaster","Estrella rosada"
"14","Jaiba","verde","Callinectes","bellicosus","Jaiba verde","Callinectes bellicosus","Jaiba verde","verde Callinectes","Jaiba verde"
"15","Jaiba","azul","Callinectes","arcuatus","Jaiba azul","Callinectes arcuatus","Jaiba azul","azul Callinectes","Jaiba azul"
