"","Short Title","Keywords","Number Data Points","Time Frame","Scientific Name","First Y","End"
"1","Catch of Haliotis in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Haliotis",61,"Abalones","Haliotis",1950,2010
"2","Catch of Thunnus alalunga in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Thunnus alalunga",55,"Albacore","Thunnus alalunga",1952,2010
"3","Catch of Berycidae in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Berycidae",6,"Alfonsinos, redfishes","Berycidae",1969,1975
"4","Catch of Seriola in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Seriola",47,"Amberjacks","Seriola",1964,2010
"5","Catch of Micropogonias in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Micropogonias",61,"American croakers","Micropogonias",1950,2010
"6","Catch of Sphyraenidae in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Sphyraenidae",56,"Barracudas","Sphyraenidae",1954,2010
"7","Catch of Sphyraena in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Sphyraena",56,"Barracudas, sennets","Sphyraena",1954,2010
"8","Catch of Serranidae in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Serranidae",61,"Basses, groupers, hinds","Serranidae",1950,2010
"9","Catch of Batoidea in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Batoidea",46,"Batoids, skates, rays, sawfishes","Batoidea",1965,2010
"10","Catch of Selar crumenophthalmus in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Selar crumenophthalmus",5,"Bigeye scad","Selar crumenophthalmus",2005,2010
"11","Catch of Thunnus obesus in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Thunnus obesus",41,"Bigeye tuna","Thunnus obesus",1954,2010
"12","Catch of Istiophoridae in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Istiophoridae",42,"Billfishes","Istiophoridae",1967,2010
"13","Catch of Istiompax indica in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Istiompax indica",37,"Black marlin","Istiompax indica",1954,2010
"14","Catch of Euthynnus lineatus in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Euthynnus lineatus",43,"Black skipjack","Euthynnus lineatus",1964,2010
"15","Catch of Carcharhinus limbatus in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Carcharhinus limbatus",61,"Blacktip shark","Carcharhinus limbatus",1950,2010
"16","Catch of Prionace glauca in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Prionace glauca",61,"Blue shark","Prionace glauca",1950,2010
"17","Catch of Litopenaeus stylirostris in Mexico (Pacific)","Catch; Reconstructed Data;Atlantic Litopenaeus stylirostris",61,"Blue shrimp","Litopenaeus stylirostris",1950,2010
