"Titulo","Key","Location","Pesqueria"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Ensenada; Impulso a la Capitalizacion Pesquera y Acuicola","Baja California","ALGA GELIDIUM (SARGAZO ROJO)"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Ensenada; Sustitucion de Motores Marinos Ecologicos; Impulso a la Capitalizacion Pesquera y Acuicola","Baja California","ALMEJA GENEROSA"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Ensenada; Impulso a la Capitalizacion Pesquera y Acuicola","Baja California","CABRILLA"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Ensenada; Sustitucion de Motores Marinos Ecologicos; Impulso a la Capitalizacion Pesquera y Acuicola; Modernizacion de Embarcaciones Menores y Artes de Pesca Selectivos","Baja California","CALAMAR GIGANTE"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Mexicali; Modernizacion de Embarcaciones Pesqueras Menores","Baja California","CAMARON SIETE BARBAS"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Mexicali; Impulso a la Capitalizacion Pesquera y Acuicola","Baja California","CHANO"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Mexicali; Impulso a la Capitalizacion Pesquera y Acuicola","Baja California","CURVINA GOLFINA"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Ensenada; Impulso a la Capitalizacion Pesquera y Acuicola","Baja California","ERIZO MORADO"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Ensenada; Impulso a la Capitalizacion Pesquera y Acuicola; Sustitucion de Motores Marinos Ecologicos; Modernizacion de Embarcaciones Menores y Artes de Pesca Selectivos","Baja California","ERIZO ROJO"
"Beneficiarios de programa de adquisicion de GPS en Baja California (2011 - 2016)","GPS; Comunicacion Satelital; Embarcaciones menores; Subsidio; Ensenada; Sustitucion de Motores Marinos Ecologicos","Baja California","ESCAMA"
