MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Notes,Lat,Long
8,Censo Poblacion y Vivienda 2010,Censo; Poblacion; Tabasco,INEGI,INEGI,1,Poblacion,Atlantic,Banco Campeche Caribe,Localidades,2010,2010,NA,Count,Year,Location,Censo de Poblacion y Vivienda 2010; Tamaulipas,NA,2016,http://www.inegi.org.mx/lib/olap/consulta/general_ver4/MDXQueryDatos.asp?#Regreso&c=27770,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Sociology,State,NA,NA,NA,NA
47,Historic Catch for Campeche,Campeche; Captura,CONAPESCA,CONAPESCA,1,Campeche,Atlantic,Banco Campeche Caribe,Campeche,2004,2013,10,Weight,Year,State,Campeche: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,20.3,-90.5349
65,Historic Catch for Quintana Roo,Quintana Roo; Captura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,Banco Campeche Caribe,Quintana Roo,2004,2013,10,Weight,Year,State,Quintana Roo: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,19.1817,-80.4791
69,Historic Catch for Tabasco,Tabasco; Captura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
70,Historic Catch for Tamaulipas,Tamaulipas; Captura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Tamaulipas: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
72,Historic Catch for Veracruz,Veracruz; Captura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,23,-96.5783
73,Historic Catch for Yucatan,Yucatan; Captura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,Banco Campeche Caribe,Yucatan,2004,2013,10,Weight,Year,State,Yucatan: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
79,Historic Catch of Almeja for Veracruz,Almeja; Captura; Veracruz,CONAPESCA,CONAPESCA,1,Almeja,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Almeja; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,23,-96.5783
85,Historic Catch of Almeja for Tabasco,Almeja; Captura; Tabasco,CONAPESCA,CONAPESCA,1,Almeja,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Almeja; Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
86,Historic Catch of Almeja for Tamaulipas,Almeja; Captura; Tamaulipas,CONAPESCA,CONAPESCA,1,Almeja,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,Region,Almeja; Otras: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
