Source,Target,Value,Name,ID
0,1,995,Academic,0
0,9,3037,Goverment,1
0,10,205,Inter. Gov (IGO),2
0,11,24,International,3
1,10,4,Non. Gov. (NGO),4
1,7,523,Private,5
1,8,548,Aquaculture,6
1,9,16947,Conservation,7
1,8,38,Ecology,8
1,13,3,Fisheries,9
1,11,5,Oceanography,10
1,12,9,Sociology,11
2,8,19039,Turism,12
3,10,88,Other,13
3,13,6,,
4,8,3,,
4,9,1,,
4,10,1,,
4,13,5,,
4,11,3,,
4,12,8,,
5,9,242,,
5,10,14,,
5,11,1,,
0,7,1,,
0,8,7972,,
0,9,3283,,
0,10,238,,
0,13,2,,
0,11,24,,
1,6,79,,
1,7,263,,
1,9,16517,,
1,10,20,,
1,13,1,,
1,11,3,,
2,6,90,,
2,7,389,,
2,8,19039,,
2,9,387,,
3,8,9491,,
3,10,90,,
3,13,6,,
4,7,3,,
4,9,3,,
4,10,1,,
4,11,1,,
