"","Comun","Especie","Titulo","Localidad","Datos","Title","key"
"1","Abulon amarillo","Haliotis corrugata","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Abulon amarillo ( Haliotis corrugata )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Abulon amarillo Haliotis corrugata"
"2","Abulon azul","Haliotis fulgens","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Abulon azul ( Haliotis fulgens )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Abulon azul Haliotis fulgens"
"3","Abulon chino","Haliotis sorenseni","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Abulon chino ( Haliotis sorenseni )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Abulon chino Haliotis sorenseni"
"4","Abulon negro","Haliotis cracherodii","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Abulon negro ( Haliotis cracherodii )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Abulon negro Haliotis cracherodii"
"5","Abulon rojo","Haliotis rufescens","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Abulon rojo ( Haliotis rufescens )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Abulon rojo Haliotis rufescens"
"6","Atun aleta amarilla","Thunnus albacares","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Atun aleta amarilla ( Thunnus albacares )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Atun aleta amarilla Thunnus albacares"
"7","Atun ojo grande","Thunnus obesus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Atun ojo grande ( Thunnus obesus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Atun ojo grande Thunnus obesus"
"8","Atun aleta azul o Patudo","Thunnus thynnus orientalis","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Atun aleta azul o Patudo ( Thunnus thynnus orientalis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Atun aleta azul o Patudo Thunnus thynnus orientalis"
"9","Barrilete","Katsuwonus pelamis","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Barrilete ( Katsuwonus pelamis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Barrilete Katsuwonus pelamis"
"10","Curvina Golfina","Cynoscion othonopterus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Curvina Golfina ( Cynoscion othonopterus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Curvina Golfina Cynoscion othonopterus"
