MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Notes,Lat,Long
,Estudio Previo para la determinacion del ANP Alto Golfo de California y Delta del Rio Colorado,RB; Baja California.: Mexicali; Sonora: Puerto Penasco y San Luis Rio Colorado,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Alto Golfo de California y Delta del Rio Colorado,2009,2009,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Archipielago de Revillagigedo,RB; S/M,CONAMP,CONAMP,1,NA,Pacific,Central Pacific,Archipielago de Revillagigedo,2007,2007,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecife Alacranes,PN; Frente al municipio de Progreso,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecife Alacranes,2007,2007,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecife de Puerto Morelos,PN; Benito Juarez,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecife de Puerto Morelos,2000,2000,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecifes de Cozumel,PN; Cozumel,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecifes de Cozumel,1998,1998,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecifes de Sian Ka'an,RB; Felipe Carrillo Puerto y Tulum,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecifes de Sian Ka'an,2011,2011,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Arrecifes de Xcalak,PN; Costa caribe de Othon P. Blanco,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Arrecifes de Xcalak,2004,2004,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Bahia de Loreto,PN; Frente a las costas del municipio de Loreto,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Bahia de Loreto,2003,2003,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Balandra,APFyF; La Paz,CONAMP,CONAMP,1,NA,Pacific,G. Of California,Balandra,2015,2015,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
,Estudio Previo para la determinacion del ANP Banco Chinchorro,RB; Frente a las costas de Othon P. Blanco,CONAMP,CONAMP,1,NA,Atlantic,B. Of C. Caribe,Banco Chinchorro,2000,2000,1,Unit,Year,Location,,Datos Abiertos Gob,2017,,,,,Gob,GOV_F,Conservation,Response,,,
