"Key"
"RB; Baja California.: Mexicali; Sonora: Puerto Penasco y San Luis Rio Colorado"
"RB; S/M"
"PN; Frente al municipio de Progreso"
"PN; Benito Juarez"
"PN; Cozumel"
"RB; Felipe Carrillo Puerto y Tulum"
"PN; Costa caribe de Othon P. Blanco"
"PN; Frente a las costas del municipio de Loreto"
"APFyF; La Paz"
"RB; Frente a las costas de Othon P. Blanco"
"PN; Frente al municipio de Los Cabos"
"PN; Isla Mujeres y Benito Juarez"
"RB; Baja California: Ensenada; Baja California Sur: Mulege y Comondu"
"PN; Santa Maria Huatulco"
"PN; Isla Mujeres"
"RB; Frente a la costa de la peninsula de Baja California"
"RB; Costa de Hermosillo"
"RB; Frente a la costa de San Blas"
"PN; Frente a la costa del municipio Bahia de Banderas"
"RB; Mazatan, Huehuetan, Huixtla, Villa Comaltitlan, Acapetahua, Mapastepec y Pijijiapan"
"APFyF; Cozumel"
"APFyF; Campeche: Carmen, Palizada y Champoton; Tabasco: Jonuta"
"RB; Calkini, Hecelchakan, Tenabo y Campeche"
"RB; Campeche: Calkini; Yucatan: Celestun, Maxcanu, Hunucma y Halacho"
"RB; Felipe Carrillo Puerto, Solidaridad y Bacalar"
"APFyF; Frente a las costas de Tamiahua y Tuxpan"
"RB; Frente a las costas del norte de Quintana Roo"
"SANT; Golfo de California y en el Pacifico Norte"
"RB; Frente al municipio de Ensenada"
"PN; Frente a las costas de La Paz"
"PN; Frente a las costas de Ensenada"
