"","Specie","Vol.Final","Val.Final","Key.Vol","Key.Val"
"1","Algas y Sargazos","Volumen de Exportacion de Algas y Sargazos 2004-2013","Valor de Exportacion de Algas y Sargazos 2004-2013","Volumen; Exportacion; Balanza Comercial; Algas y Sargazos","Valor; Exportacion; Balanza Comercial; Algas y Sargazos"
"2","Calamar","Volumen de Exportacion de Calamar 2004-2013","Valor de Exportacion de Calamar 2004-2013","Volumen; Exportacion; Balanza Comercial; Calamar","Valor; Exportacion; Balanza Comercial; Calamar"
"3","Camaron","Volumen de Exportacion de Camaron 2004-2013","Valor de Exportacion de Camaron 2004-2013","Volumen; Exportacion; Balanza Comercial; Camaron","Valor; Exportacion; Balanza Comercial; Camaron"
"4","Pulpo","Volumen de Exportacion de Pulpo 2004-2013","Valor de Exportacion de Pulpo 2004-2013","Volumen; Exportacion; Balanza Comercial; Pulpo","Valor; Exportacion; Balanza Comercial; Pulpo"
"5","Sardina y Macarela","Volumen de Exportacion de Sardina y Macarela 2004-2013","Valor de Exportacion de Sardina y Macarela 2004-2013","Volumen; Exportacion; Balanza Comercial; Sardina y Macarela","Valor; Exportacion; Balanza Comercial; Sardina y Macarela"
"6","Org. Acuats. Vivos","Volumen de Exportacion de Org. Acuats. Vivos 2004-2013","Valor de Exportacion de Org. Acuats. Vivos 2004-2013","Volumen; Exportacion; Balanza Comercial; Org. Acuats. Vivos","Valor; Exportacion; Balanza Comercial; Org. Acuats. Vivos"
"7","Derivados de Algas","Volumen de Importacion de Derivados de Algas 2004-2013","Valor de Importacion de Derivados de Algas 2004-2013","Volumen; Importacion; Balanza Comercial; Derivados de Algas","Valor; Importacion; Balanza Comercial; Derivados de Algas"
"8","Calamar","Volumen de Importacion de Calamar 2004-2013","Valor de Importacion de Calamar 2004-2013","Volumen; Importacion; Balanza Comercial; Calamar","Valor; Importacion; Balanza Comercial; Calamar"
"9","Camaron","Volumen de Importacion de Camaron 2004-2013","Valor de Importacion de Camaron 2004-2013","Volumen; Importacion; Balanza Comercial; Camaron","Valor; Importacion; Balanza Comercial; Camaron"
"10","Salmon","Volumen de Importacion de Salmon 2004-2013","Valor de Importacion de Salmon 2004-2013","Volumen; Importacion; Balanza Comercial; Salmon","Valor; Importacion; Balanza Comercial; Salmon"
"11","Org. Acuats. Vivos","Volumen de Importacion de Org. Acuats. Vivos 2004-2013","Valor de Importacion de Org. Acuats. Vivos 2004-2013","Volumen; Importacion; Balanza Comercial; Org. Acuats. Vivos","Valor; Importacion; Balanza Comercial; Org. Acuats. Vivos"
