"","Especie","Region","Comun","Key_T","Key","Titulo","Otro"
"1","Anisotremus davidsoni","PBC","Sargo rayado","Sargo rayado Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Sargo rayado Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Anisotremus davidsoni en Isla Guadalupe, BC"
"2","Caulolatilus princeps","PBC","Pez blanco","Pez blanco Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Pez blanco Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Caulolatilus princeps en Isla Guadalupe, BC"
"3","Chromis punctipinnis","PBC","Castaneta herrera","Castaneta herrera Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Castaneta herrera Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Chromis punctipinnis en Isla Guadalupe, BC"
"4","Embiotoca jacksoni","PBC","Mojarra negra","Mojarra negra Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Mojarra negra Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Embiotoca jacksoni en Isla Guadalupe, BC"
"5","Girella nigricans","PBC","Chopa verde","Chopa verde Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Chopa verde Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Girella nigricans en Isla Guadalupe, BC"
"6","Heterodontus francisci","PBC","Tiburon cornudo","Tiburon cornudo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Tiburon cornudo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Heterodontus francisci en Isla Guadalupe, BC"
"7","Hypsypops rubicundus","PBC","Garibaldi","Garibaldi Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Garibaldi Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Hypsypops rubicundus en Isla Guadalupe, BC"
"8","Mycteroperca xenarcha","PBC","Garropa jaspeada","Garropa jaspeada Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Garropa jaspeada Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Mycteroperca xenarcha en Isla Guadalupe, BC"
"9","Mycteroperca sp.","PBC",NA,"NA Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","NA Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Mycteroperca sp. en Isla Guadalupe, BC"
"10","Ophiodon elongatus","PBC","Molva","Molva Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Molva Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Ophiodon elongatus en Isla Guadalupe, BC"
"11","Oxyjulis californica","PBC","Senorita","Senorita Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Senorita Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Oxyjulis californica en Isla Guadalupe, BC"
"12","Paralabrax clathratus","PBC","Cabrilla sargacera","Cabrilla sargacera Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Cabrilla sargacera Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Paralabrax clathratus en Isla Guadalupe, BC"
"13","Paralabrax nebulifer","PBC","Verdillo","Verdillo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Verdillo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Paralabrax nebulifer en Isla Guadalupe, BC"
"14","Rhacochilus vacca","PBC","Mojarra muellera","Mojarra muellera Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Mojarra muellera Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Rhacochilus vacca en Isla Guadalupe, BC"
"15","Rhinobatos productus","PBC","Guitarra viola","Guitarra viola Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Guitarra viola Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Rhinobatos productus en Isla Guadalupe, BC"
"16","Scorpaenichthys marmoratus","PBC","Cabezon","Cabezon Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Cabezon Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Scorpaenichthys marmoratus en Isla Guadalupe, BC"
"17","Sebastes auriculatus","PBC","Rocote moreno","Rocote moreno Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote moreno Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Sebastes auriculatus en Isla Guadalupe, BC"
"18","Sebastes carnatus","PBC","Rocote amarillo","Rocote amarillo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote amarillo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Sebastes carnatus en Isla Guadalupe, BC"
