"","Especie","KeyA","KeyB","Registro_A","Registro_B"
"1","Asteronema breviarticulatum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Asteronema breviarticulatum en la costa del Pacifico","Primer registro  Asteronema breviarticulatum en la costa del Pacifico"
"2","Ectocarpus acutus","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus acutus en la costa del Pacifico","Primer registro  Ectocarpus acutus en la costa del Pacifico"
"3","Ectocarpus bryantii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus bryantii en la costa del Pacifico","Primer registro  Ectocarpus bryantii en la costa del Pacifico"
"4","Ectocarpus chantransoides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus chantransoides en la costa del Pacifico","Primer registro  Ectocarpus chantransoides en la costa del Pacifico"
"5","Ectocarpus commensalis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus commensalis en la costa del Pacifico","Primer registro  Ectocarpus commensalis en la costa del Pacifico"
"6","Ectocarpus corticulatus","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus corticulatus en la costa del Pacifico","Primer registro  Ectocarpus corticulatus en la costa del Pacifico"
"7","Ectocarpus ensenadanus","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus ensenadanus en la costa del Pacifico","Primer registro  Ectocarpus ensenadanus en la costa del Pacifico"
"8","Ectocarpus gonodioide","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus gonodioide en la costa del Pacifico","Primer registro  Ectocarpus gonodioide en la costa del Pacifico"
"9","Ectocarpus hancockii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus hancockii en la costa del Pacifico","Primer registro  Ectocarpus hancockii en la costa del Pacifico"
"10","Ectocarpus siliculosus (siliculosus)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus siliculosus (siliculosus) en la costa del Pacifico","Primer registro  Ectocarpus siliculosus (siliculosus) en la costa del Pacifico"
"11","Ectocarpus siliculosus (confervoides)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus siliculosus (confervoides) en la costa del Pacifico","Primer registro  Ectocarpus siliculosus (confervoides) en la costa del Pacifico"
"12","Ectocarpus siliculosus (dasycarpus)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus siliculosus (dasycarpus) en la costa del Pacifico","Primer registro  Ectocarpus siliculosus (dasycarpus) en la costa del Pacifico"
"13","Ectocarpus siliculosus (pygmaeus)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus siliculosus (pygmaeus) en la costa del Pacifico","Primer registro  Ectocarpus siliculosus (pygmaeus) en la costa del Pacifico"
"14","Ectocarpus siliculosus (subulatus)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus siliculosus (subulatus) en la costa del Pacifico","Primer registro  Ectocarpus siliculosus (subulatus) en la costa del Pacifico"
"15","Ectocarpus simulans","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus simulans en la costa del Pacifico","Primer registro  Ectocarpus simulans en la costa del Pacifico"
"16","Ectocarpus sonorensis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ectocarpus sonorensis en la costa del Pacifico","Primer registro  Ectocarpus sonorensis en la costa del Pacifico"
"17","Feldmannia hemispherica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Feldmannia hemispherica en la costa del Pacifico","Primer registro  Feldmannia hemispherica en la costa del Pacifico"
"18","Feldmannia indica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Feldmannia indica en la costa del Pacifico","Primer registro  Feldmannia indica en la costa del Pacifico"
"19","Feldmannia irregularis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Feldmannia irregularis en la costa del Pacifico","Primer registro  Feldmannia irregularis en la costa del Pacifico"
"20","Feldmannia simplex","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Feldmannia simplex en la costa del Pacifico","Primer registro  Feldmannia simplex en la costa del Pacifico"
"21","Hincksia granulosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hincksia granulosa en la costa del Pacifico","Primer registro  Hincksia granulosa en la costa del Pacifico"
"22","Hincksia mitchelliae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hincksia mitchelliae en la costa del Pacifico","Primer registro  Hincksia mitchelliae en la costa del Pacifico"
"23","Hincksia rallsiae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hincksia rallsiae en la costa del Pacifico","Primer registro  Hincksia rallsiae en la costa del Pacifico"
"24","Hincksia sandriana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hincksia sandriana en la costa del Pacifico","Primer registro  Hincksia sandriana en la costa del Pacifico"
"25","Hincksia saundersii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hincksia saundersii en la costa del Pacifico","Primer registro  Hincksia saundersii en la costa del Pacifico"
"26","Kuetzingiella elachistaeformis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Kuetzingiella elachistaeformis en la costa del Pacifico","Primer registro  Kuetzingiella elachistaeformis en la costa del Pacifico"
"27","Pilocladus codicola","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Pilocladus codicola en la costa del Pacifico","Primer registro  Pilocladus codicola en la costa del Pacifico"
"28","Spongonema tomentosum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Spongonema tomentosum en la costa del Pacifico","Primer registro  Spongonema tomentosum en la costa del Pacifico"
"29","Streblonema investiens","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Streblonema investiens en la costa del Pacifico","Primer registro  Streblonema investiens en la costa del Pacifico"
"30","Streblonema penetrale","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Streblonema penetrale en la costa del Pacifico","Primer registro  Streblonema penetrale en la costa del Pacifico"
"31","Streblonema transfixum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Streblonema transfixum en la costa del Pacifico","Primer registro  Streblonema transfixum en la costa del Pacifico"
"32","Bachelotia antillarum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Bachelotia antillarum en la costa del Pacifico","Primer registro  Bachelotia antillarum en la costa del Pacifico"
"33","Diplura simulans","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Diplura simulans en la costa del Pacifico","Primer registro  Diplura simulans en la costa del Pacifico"
"34","Endoplura aurea","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Endoplura aurea en la costa del Pacifico","Primer registro  Endoplura aurea en la costa del Pacifico"
"35","Hapalospongidion gelatinosum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hapalospongidion gelatinosum en la costa del Pacifico","Primer registro  Hapalospongidion gelatinosum en la costa del Pacifico"
"36","Hapalospongidion pangoense","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hapalospongidion pangoense en la costa del Pacifico","Primer registro  Hapalospongidion pangoense en la costa del Pacifico"
"37","Hapterophycus anastomosans","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hapterophycus anastomosans en la costa del Pacifico","Primer registro  Hapterophycus anastomosans en la costa del Pacifico"
"38","Hapterophycus canaliculatus","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Hapterophycus canaliculatus en la costa del Pacifico","Primer registro  Hapterophycus canaliculatus en la costa del Pacifico"
"39","Petroderma maculiforme","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Petroderma maculiforme en la costa del Pacifico","Primer registro  Petroderma maculiforme en la costa del Pacifico"
"40","Pseudolithoderma nigrum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Pseudolithoderma nigrum en la costa del Pacifico","Primer registro  Pseudolithoderma nigrum en la costa del Pacifico"
"41","Ralfsia californica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ralfsia californica en la costa del Pacifico","Primer registro  Ralfsia californica en la costa del Pacifico"
