"","Especie","KeyA","KeyB","Registro_A","Registro_B"
"1","Tetraselmis F. Stein","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Tetraselmis F. Stein en la costa del Pacifico","Primer registro  Tetraselmis F. Stein en la costa del Pacifico"
"2","Tetraselmis ascus","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Tetraselmis ascus en la costa del Pacifico","Primer registro  Tetraselmis ascus en la costa del Pacifico"
"3","Tetraselmis marina","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Tetraselmis marina en la costa del Pacifico","Primer registro  Tetraselmis marina en la costa del Pacifico"
"4","Entocladia condensata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Entocladia condensata en la costa del Pacifico","Primer registro  Entocladia condensata en la costa del Pacifico"
"5","Entocladia marchantiae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Entocladia marchantiae en la costa del Pacifico","Primer registro  Entocladia marchantiae en la costa del Pacifico"
"6","Entocladia mexicana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Entocladia mexicana en la costa del Pacifico","Primer registro  Entocladia mexicana en la costa del Pacifico"
"7","Entocladia polysiphoniae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Entocladia polysiphoniae en la costa del Pacifico","Primer registro  Entocladia polysiphoniae en la costa del Pacifico"
"8","Entocladia viridis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Entocladia viridis en la costa del Pacifico","Primer registro  Entocladia viridis en la costa del Pacifico"
"9","Pringsheimiella scutata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Pringsheimiella scutata en la costa del Pacifico","Primer registro  Pringsheimiella scutata en la costa del Pacifico"
"10","Ulvella setchellii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulvella setchellii en la costa del Pacifico","Primer registro  Ulvella setchellii en la costa del Pacifico"
