Especie,Region,Comun
Abudefduf saxatilis,SAM,Sargento
Aetobatus narinari,SAM,Raya pinta
Anisotremus virginicus,SAM,Margarita
Anisotremus surinamensis,SAM,Chan Kay
Balistes capriscus,SAM,Xcochin gris
Balistes vetula,SAM,Xcochin azul
Bodianus rufus,SAM,Boquinete de arrecife
Canthidermis sufflamen,SAM,Xcochin blanco
Caranx ruber,SAM,Cojinuda
Caranx latus,SAM,Jurel ojon
Caranx bartholomaei,SAM,Cojinuda amarilla
Caranx crysos,SAM,Cojinuda gris
Cephalopholis cruentatus,SAM,Cabrilla de roca
Cephalopholis fulva,SAM,Manzanita
Epinephelus guttatus,SAM,Cabrilla payaso
Chromis sp.,SAM,Chromis
Damisela sp.,SAM,Damisela
Dasyatis americana,SAM,Bala
Epinephelus adscensionis,SAM,Cabrilla lunar
Epinephelus striatus,SAM,Mero criollo
Epinephelus morio,SAM,Mero mestizo
Gerres cinereus,SAM,Mojarra blanca
Ginglymostoma cirratum,SAM,Tiburon gata
Gramma loreto,SAM,Mariposa gallo
Haemulon flavolineatum,SAM,Doradito
Haemulon plumierii,SAM,Matagato
Haemulon sciurus,SAM,Chac-chi lineas azules
Haemulon aurolineatum,SAM,Zotito
Haemulon album,SAM,Zapatero
Haemulon parra,SAM,Barraza
Haemulon melanurum,SAM,Zote
Haemulon macrostomun,SAM,Chac-chi de cueva
Haemulon sp.,SAM,Chac-chi
Haemulon chrysargyreum,SAM,Ronco boca chica
Haemulon carbonarium,SAM,Chac-chi cola negra
Haemulon striatum ,SAM,Ronco rayado
Holacanthus ciliaris,SAM,Angel reina
Holacanthus tricolor,SAM,Chabelita tricolor
Kyphosus sectatrix/incisor,SAM,Cagona
Lachnolaimus maximus,SAM,Boquinete
Lancero sp.,SAM,Cirujanos
Loro sp.,SAM,Loros
Lutjanus apodus,SAM,Pargo amarillo
Lutjanus mahogoni,SAM,Pargo ojon
Lutjanus griseus,SAM,Pargo mulato
Lutjanus synagris,SAM,Pargo rayado
Lutjanus cyanopterus,SAM,Pargo cubera
Lutjanus analis,SAM,Pargo lunar
Lutjanus sp.,SAM,Pargo
Lutjanus jocu,SAM,Pargo lloron
Mariposa sp.,SAM,Mariposa
Melichtys niger,SAM,Xcochin negro
Microspathodon chrysurus,SAM,Damisela cola amarilla
Mycteroperca phenax,SAM,Escobillo
Mycteroperca bonaci,SAM,Abadejo
Mycteroperca tigris,SAM,Mero tigre
Mycteroperca interstitialis,SAM,Mero boca amarilla
Ocyurus chrysurus,SAM,Rubia
Pluma sp.,SAM,Pluma
Pomacanthus arcuatus,SAM,Angel gris
Pomacanthus paru,SAM,Angel frances
Pterois volitans/miles,SAM,Pez leon
Scarus coeruleus,SAM,Loro azul
Scarus vetula,SAM,Loro bigoton
Scarus coelestinus,SAM,Loro medianoche
Scomberomorus regalis,SAM,Sierra
Scomberomorus sp.,SAM,Sierra
Sparisoma viride,SAM,Loro lunar
Sparisoma aurofrenatum,SAM,Loro aleta roja
Sphyraena barracuda,SAM,Barracuda
Thalassoma bifasciatum,SAM,Vieja cabeza azul
Vieja sp.,SAM,Vieja
Xcochin sp.,SAM,Xcochin
Abudefduf troschelii,RGI,Mulegino
Alphestes immaculatus,RGI,Cabrilla rosa
Anisotremus davidsonii,RGI,Canelo
Anisotremus interruptus,RGI,Burrito/Burro ronco
Apogon retrosella,RGI,Cardenal de Cortes
Balistes polylepis,RGI,Cochito
Bodianus diplotaenia,RGI,Vieja /  Vieje de piedra
Calamus brachysomus,RGI,Mojarra blanca
Canthigaster punctatissima,RGI,Botete bonito
Cephalopholis panamensis,RGI,Cabrilla piedrera / mero panameno / Enjambre
Chaetodon humeralis,RGI,Mariposa muneca
Chromis atrilobata,RGI,Castana cola de tijera
Chromis limbaughi,RGI,Castana mexicana
Cirrhitichthys oxycephalus,RGI,Halcon de coral
Cirrhitus rivulatus,RGI,Chino mero
Dasyatis dipterura,RGI,Manta coludo o arenera
Diodon holocanthus,RGI,Pez globo / Pez erizo / mapache 
Diodon hystrix,RGI,Pez erizo picoso
Diplobatis ommata,RGI,Raya electrica 
Epinephelus analogus,RGI,Cabrilla pinta / Cabrilla pinto
Epinephelus labriformis,RGI,Cabrilla piedreda
Fistularia commersonii,RGI,Pez corneta
Girella simplicidens,RGI,Chopa cafe / Chopa ojo azul
Gymnothorax castaneus,RGI,Morena prieta o verde
Gymnothorax dovii,RGI,Morena
Haemulon flaviguttatum,RGI,Rayadillo aleta amarilla / Burro / Ronco de rabo manchado
Haemulon maculicauda,RGI,Rayadillo / Burro roncador rayado
Haemulon sexfasciatum,RGI,Burrito / Burro almejero
Halichoeres chierchiae,RGI,Vieja herida / Senorita herida
Halichoeres dispilus,RGI,Vieja boca amarilla / Senorita cocinera
Halichoeres melanotis,RGI,Senorita dorada
Halichoeres nicholsi ,RGI,Vieja puntos negros
Halichoeres notospilus,RGI,Vieja turquesa / Senorita listada 
Halichoeres semicinctus,RGI,Vieja puntos negros / Senorita roquera
Kyphosus azurea,RGI,Chopa rayada
Holacanthus passer,RGI,angel rey
Hoplopagrus guentherii,RGI,Pargo culon
Johnrandallia nigrirostris,RGI,Mariposa nariz negra
Kyphosus analogus,RGI,Chopa / Copa gris o rayada 
Kyphosus sp.,RGI,
Lutjanus argentiventris,RGI,Pargo amarillo
Microspathodon dorsalis,RGI,Jaqueta gigante
Muraena lentiginosa,RGI,Morena pinta
Muraena sp.,RGI,
 Mycteroperca jordani,RGI,Baya
Mycteroperca prionura,RGI,Cabrilla chiruda / Garropa aserrada / Cabrilla pinta
Mycteroperca rosacea,RGI,Cabrilla sardinera
Narcine entemedor ,RGI,Raya electrica gigante
Nicholsina denticulata,RGI,Perico baboso
Ophioblennius steindachneri,RGI,Borracho mono
Paralabrax auroguttatus,RGI,Extranjero
Paralabrax maculatofasciatus,RGI,Cabrilla arenera
Paranthias colonus,RGI,Sandia
Pareques fuscovittatus,RGI,Payasito lindo
