"","Especies","Comun","Sitios","AbundanciaA","AbundanciaB","AbundanciaC","AbundanciaD","Key","TallaI","TallaII","TallaIII","TallaIIII"
"1","Abudefduf saxatilis","Sargento","Punta Herrero, Sian Kaan","Abundancia de Abudefduf saxatilis en Punta Herrero, Sian Kaan","Abundancia de Abudefduf saxatilis en Maria Elena, Sian Kaan","Abundancia de Abudefduf saxatilis en Puerto Morelos","Abundancia de Abudefduf saxatilis en Banco Chinchorro","Sargento Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Abudefduf saxatilis en Punta Herrero, Sian Kaan","Talla de Abudefduf saxatilis en Maria Elena, Sian Kaan","Talla de Abudefduf saxatilis en Puerto Morelos","Talla de Abudefduf saxatilis en Banco Chinchorro"
"2","Aetobatus narinari","Raya pinta","Maria Elena, Sian Kaan","Abundancia de Aetobatus narinari en Punta Herrero, Sian Kaan","Abundancia de Aetobatus narinari en Maria Elena, Sian Kaan","Abundancia de Aetobatus narinari en Puerto Morelos","Abundancia de Aetobatus narinari en Banco Chinchorro","Raya pinta Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Aetobatus narinari en Punta Herrero, Sian Kaan","Talla de Aetobatus narinari en Maria Elena, Sian Kaan","Talla de Aetobatus narinari en Puerto Morelos","Talla de Aetobatus narinari en Banco Chinchorro"
"3","Anisotremus virginicus","Margarita","Banco Chinchorro","Abundancia de Anisotremus virginicus en Punta Herrero, Sian Kaan","Abundancia de Anisotremus virginicus en Maria Elena, Sian Kaan","Abundancia de Anisotremus virginicus en Puerto Morelos","Abundancia de Anisotremus virginicus en Banco Chinchorro","Margarita Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Anisotremus virginicus en Punta Herrero, Sian Kaan","Talla de Anisotremus virginicus en Maria Elena, Sian Kaan","Talla de Anisotremus virginicus en Puerto Morelos","Talla de Anisotremus virginicus en Banco Chinchorro"
"4","Anisotremus surinamensis","Chan Kay","Puerto Morelos","Abundancia de Anisotremus surinamensis en Punta Herrero, Sian Kaan","Abundancia de Anisotremus surinamensis en Maria Elena, Sian Kaan","Abundancia de Anisotremus surinamensis en Puerto Morelos","Abundancia de Anisotremus surinamensis en Banco Chinchorro","Chan Kay Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Anisotremus surinamensis en Punta Herrero, Sian Kaan","Talla de Anisotremus surinamensis en Maria Elena, Sian Kaan","Talla de Anisotremus surinamensis en Puerto Morelos","Talla de Anisotremus surinamensis en Banco Chinchorro"
"5","Balistes capriscus","Xcochin gris","","Abundancia de Balistes capriscus en Punta Herrero, Sian Kaan","Abundancia de Balistes capriscus en Maria Elena, Sian Kaan","Abundancia de Balistes capriscus en Puerto Morelos","Abundancia de Balistes capriscus en Banco Chinchorro","Xcochin gris Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Balistes capriscus en Punta Herrero, Sian Kaan","Talla de Balistes capriscus en Maria Elena, Sian Kaan","Talla de Balistes capriscus en Puerto Morelos","Talla de Balistes capriscus en Banco Chinchorro"
"6","Balistes vetula","Xcochin azul","","Abundancia de Balistes vetula en Punta Herrero, Sian Kaan","Abundancia de Balistes vetula en Maria Elena, Sian Kaan","Abundancia de Balistes vetula en Puerto Morelos","Abundancia de Balistes vetula en Banco Chinchorro","Xcochin azul Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Balistes vetula en Punta Herrero, Sian Kaan","Talla de Balistes vetula en Maria Elena, Sian Kaan","Talla de Balistes vetula en Puerto Morelos","Talla de Balistes vetula en Banco Chinchorro"
"7","Bodianus rufus","Boquinete de arrecife","","Abundancia de Bodianus rufus en Punta Herrero, Sian Kaan","Abundancia de Bodianus rufus en Maria Elena, Sian Kaan","Abundancia de Bodianus rufus en Puerto Morelos","Abundancia de Bodianus rufus en Banco Chinchorro","Boquinete de arrecife Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Bodianus rufus en Punta Herrero, Sian Kaan","Talla de Bodianus rufus en Maria Elena, Sian Kaan","Talla de Bodianus rufus en Puerto Morelos","Talla de Bodianus rufus en Banco Chinchorro"
"8","Canthidermis sufflamen","Xcochin blanco","","Abundancia de Canthidermis sufflamen en Punta Herrero, Sian Kaan","Abundancia de Canthidermis sufflamen en Maria Elena, Sian Kaan","Abundancia de Canthidermis sufflamen en Puerto Morelos","Abundancia de Canthidermis sufflamen en Banco Chinchorro","Xcochin blanco Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Canthidermis sufflamen en Punta Herrero, Sian Kaan","Talla de Canthidermis sufflamen en Maria Elena, Sian Kaan","Talla de Canthidermis sufflamen en Puerto Morelos","Talla de Canthidermis sufflamen en Banco Chinchorro"
"9","Caranx ruber","Cojinuda","","Abundancia de Caranx ruber en Punta Herrero, Sian Kaan","Abundancia de Caranx ruber en Maria Elena, Sian Kaan","Abundancia de Caranx ruber en Puerto Morelos","Abundancia de Caranx ruber en Banco Chinchorro","Cojinuda Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Caranx ruber en Punta Herrero, Sian Kaan","Talla de Caranx ruber en Maria Elena, Sian Kaan","Talla de Caranx ruber en Puerto Morelos","Talla de Caranx ruber en Banco Chinchorro"
"10","Caranx latus","Jurel ojon","","Abundancia de Caranx latus en Punta Herrero, Sian Kaan","Abundancia de Caranx latus en Maria Elena, Sian Kaan","Abundancia de Caranx latus en Puerto Morelos","Abundancia de Caranx latus en Banco Chinchorro","Jurel ojon Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Caranx latus en Punta Herrero, Sian Kaan","Talla de Caranx latus en Maria Elena, Sian Kaan","Talla de Caranx latus en Puerto Morelos","Talla de Caranx latus en Banco Chinchorro"
