"","x","Titulo","Key"
"1","V1","Estado de salud de Distichopora robusta en Cabo Pulmo","Arrecifes; Sano; Lesionado; Corales"
"2","V1","Estado de salud de Distichopora robusta en La Paz","Arrecifes; Sano; Lesionado; Corales"
"3","V1","Estado de salud de Distichopora robusta en Isla Espiritu Santo","Arrecifes; Sano; Lesionado; Corales"
"4","V1","Estado de salud de Distichopora robusta en Los Barriles","Arrecifes; Sano; Lesionado; Corales"
"5","V1","Estado de salud de Distichopora robusta en Manzanillo","Arrecifes; Sano; Lesionado; Corales"
"6","V1","Estado de salud de Distichopora robusta en Revillagigedo","Arrecifes; Sano; Lesionado; Corales"
"7","V1","Estado de salud de Distichopora robusta en Ixtapa","Arrecifes; Sano; Lesionado; Corales"
"8","V1","Estado de salud de Distichopora robusta en Papanoa","Arrecifes; Sano; Lesionado; Corales"
"9","V1","Estado de salud de Distichopora robusta en Melaque","Arrecifes; Sano; Lesionado; Corales"
"10","V1","Estado de salud de Distichopora robusta en Islas Marietas","Arrecifes; Sano; Lesionado; Corales"
"11","V1","Estado de salud de Distichopora robusta en Isla Isabel","Arrecifes; Sano; Lesionado; Corales"
"12","V1","Estado de salud de Distichopora robusta en Huatulco","Arrecifes; Sano; Lesionado; Corales"
"13","V1","Estado de salud de Distichopora robusta en NA","Arrecifes; Sano; Lesionado; Corales"
"14","V2","Estado de salud de Gardineroserosis planulata en Cabo Pulmo","Arrecifes; Sano; Lesionado; Corales"
"15","V2","Estado de salud de Gardineroserosis planulata en La Paz","Arrecifes; Sano; Lesionado; Corales"
"16","V2","Estado de salud de Gardineroserosis planulata en Isla Espiritu Santo","Arrecifes; Sano; Lesionado; Corales"
"17","V2","Estado de salud de Gardineroserosis planulata en Los Barriles","Arrecifes; Sano; Lesionado; Corales"
"18","V2","Estado de salud de Gardineroserosis planulata en Manzanillo","Arrecifes; Sano; Lesionado; Corales"
"19","V2","Estado de salud de Gardineroserosis planulata en Revillagigedo","Arrecifes; Sano; Lesionado; Corales"
"20","V2","Estado de salud de Gardineroserosis planulata en Ixtapa","Arrecifes; Sano; Lesionado; Corales"
"21","V2","Estado de salud de Gardineroserosis planulata en Papanoa","Arrecifes; Sano; Lesionado; Corales"
"22","V2","Estado de salud de Gardineroserosis planulata en Melaque","Arrecifes; Sano; Lesionado; Corales"
"23","V2","Estado de salud de Gardineroserosis planulata en Islas Marietas","Arrecifes; Sano; Lesionado; Corales"
"24","V2","Estado de salud de Gardineroserosis planulata en Isla Isabel","Arrecifes; Sano; Lesionado; Corales"
"25","V2","Estado de salud de Gardineroserosis planulata en Huatulco","Arrecifes; Sano; Lesionado; Corales"
"26","V2","Estado de salud de Gardineroserosis planulata en NA","Arrecifes; Sano; Lesionado; Corales"
"27","V3","Estado de salud de Pavona chiriquensis en Cabo Pulmo","Arrecifes; Sano; Lesionado; Corales"
"28","V3","Estado de salud de Pavona chiriquensis en La Paz","Arrecifes; Sano; Lesionado; Corales"
"29","V3","Estado de salud de Pavona chiriquensis en Isla Espiritu Santo","Arrecifes; Sano; Lesionado; Corales"
"30","V3","Estado de salud de Pavona chiriquensis en Los Barriles","Arrecifes; Sano; Lesionado; Corales"
"31","V3","Estado de salud de Pavona chiriquensis en Manzanillo","Arrecifes; Sano; Lesionado; Corales"
"32","V3","Estado de salud de Pavona chiriquensis en Revillagigedo","Arrecifes; Sano; Lesionado; Corales"
"33","V3","Estado de salud de Pavona chiriquensis en Ixtapa","Arrecifes; Sano; Lesionado; Corales"
"34","V3","Estado de salud de Pavona chiriquensis en Papanoa","Arrecifes; Sano; Lesionado; Corales"
"35","V3","Estado de salud de Pavona chiriquensis en Melaque","Arrecifes; Sano; Lesionado; Corales"
"36","V3","Estado de salud de Pavona chiriquensis en Islas Marietas","Arrecifes; Sano; Lesionado; Corales"
"37","V3","Estado de salud de Pavona chiriquensis en Isla Isabel","Arrecifes; Sano; Lesionado; Corales"
"38","V3","Estado de salud de Pavona chiriquensis en Huatulco","Arrecifes; Sano; Lesionado; Corales"
"39","V3","Estado de salud de Pavona chiriquensis en NA","Arrecifes; Sano; Lesionado; Corales"
"40","V4","Estado de salud de Pavona clavus en Cabo Pulmo","Arrecifes; Sano; Lesionado; Corales"
"41","V4","Estado de salud de Pavona clavus en La Paz","Arrecifes; Sano; Lesionado; Corales"
