"","V1","Titulo","Key"
"1","Manual","Fuel cost for hand fishing","Manual; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"2","lanza","Fuel cost for spear fishing","lanza; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"3","Gancho y linea","Fuel cost for hook and line fishing","Gancho y linea; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"4","trampa","Fuel cost for trap fishing","trampa; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"5","red","Fuel cost for net fishing","red; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"6","dragar","Fuel cost for dredge fishing","dragar; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"7","Red de arrastre de fondo","Fuel cost for bottom trawl fishing","Red de arrastre de fondo; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"8","red de cerco","Fuel cost for seine fishing","red de cerco; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"9","red de pesca","Fuel cost for gillnet fishing","red de pesca; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"10","Atun de linea","Fuel cost for pole line tuna fishing","Atun de linea; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"11","Atun palangre","Fuel cost for longline tuna fishing","Atun palangre; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"12","Atunero","Fuel cost for purse seine tuna fishing","Atunero; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"13","Arrastre Camaronero","Fuel cost for shrimp trawl fishing","Arrastre Camaronero; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"14","Red de arrastre media agua","Fuel cost for midwater trawl fishing","Red de arrastre media agua; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"15","Manual","Running cost for hand fishing","Manual; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"16","lanza","Running cost for spear fishing","lanza; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"17","Gancho y linea","Running cost for hook and line fishing","Gancho y linea; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"18","trampa","Running cost for trap fishing","trampa; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"19","red","Running cost for net fishing","red; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"20","dragar","Running cost for dredge fishing","dragar; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"21","Red de arrastre de fondo","Running cost for bottom trawl fishing","Red de arrastre de fondo; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"22","red de cerco","Running cost for seine fishing","red de cerco; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"23","red de pesca","Running cost for gillnet fishing","red de pesca; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"24","Atun de linea","Running cost for pole line tuna fishing","Atun de linea; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"25","Atun palangre","Running cost for longline tuna fishing","Atun palangre; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"26","Atunero","Running cost for purse seine tuna fishing","Atunero; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"27","Arrastre Camaronero","Running cost for shrimp trawl fishing","Arrastre Camaronero; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"28","Red de arrastre media agua","Running cost for midwater trawl fishing","Red de arrastre media agua; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"29","Manual","Repair cost for hand fishing","Manual; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"30","lanza","Repair cost for spear fishing","lanza; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"31","Gancho y linea","Repair cost for hook and line fishing","Gancho y linea; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"32","trampa","Repair cost for trap fishing","trampa; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"33","red","Repair cost for net fishing","red; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"34","dragar","Repair cost for dredge fishing","dragar; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"35","Red de arrastre de fondo","Repair cost for bottom trawl fishing","Red de arrastre de fondo; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"36","red de cerco","Repair cost for seine fishing","red de cerco; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"37","red de pesca","Repair cost for gillnet fishing","red de pesca; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"38","Atun de linea","Repair cost for pole line tuna fishing","Atun de linea; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"39","Atun palangre","Repair cost for longline tuna fishing","Atun palangre; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"40","Atunero","Repair cost for purse seine tuna fishing","Atunero; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"41","Arrastre Camaronero","Repair cost for shrimp trawl fishing","Arrastre Camaronero; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"42","Red de arrastre media agua","Repair cost for midwater trawl fishing","Red de arrastre media agua; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"43","Manual","Labour cost for hand fishing","Manual; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"44","lanza","Labour cost for spear fishing","lanza; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
