NOMBRE_ESTADO,CLAVE_OFICINA,NOMBRE_OFICINA,TIPO_AVISO,FECHA_AVISO,MES_CORTE,ANO_CORTE,PERIODO_INICIO,PERIODO_FIN,NOMBRE_PRINCIPAL,CLAVE_ESPECIE,NOMBRE_ESPECIE,PESO_DESEMBARCADO,PESO_VIVO,PRECIO,VALOR,LITORAL
BAJA CALIFORNIA,0209,SAN QUINTIN,COSECHA,1/1/11,ABRIL,2012,1/1/11,1/1/11,OSTION,5611439H,OSTION JAPONES DE CULTIVO ENT. FCO.,440.00,440.00,25.00,"11,000.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/13,ENERO,2013,1/1/13,1/1/13,ATUN,0581430H,ATUN ALETA AZUL DE CULTIVO ENT. FCO.,"7,397.30","7,397.30",90.00,"665,757.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/13,ENERO,2013,1/1/13,1/1/13,ATUN,0581638H,ATUN ALETA AZUL DE CULTIVO DESV. FCO.,"8,920.90","9,812.99",100.00,"892,090.00",PACIFICO
BAJA CALIFORNIA,0209,SAN QUINTIN,COSECHA,1/1/13,ENERO,2013,1/1/13,1/1/13,OSTION,5611439H,OSTION JAPONES DE CULTIVO ENT. FCO.,"3,660.00","3,660.00",14.66,"53,655.60",PACIFICO
BAJA CALIFORNIA,0209,SAN QUINTIN,COSECHA,1/1/13,ENERO,2013,1/1/13,1/1/13,OSTION,5611439H,OSTION JAPONES DE CULTIVO ENT. FCO.,"2,460.00","2,460.00",25.00,"61,500.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/14,ENERO,2014,1/1/14,1/1/14,ATUN,0580937H,ATUN ALETA AZUL DE CULTIVO DESV. DSC. FCO.,"9,486.00","11,383.20",90.00,"853,740.00",PACIFICO
BAJA CALIFORNIA,0209,SAN QUINTIN,COSECHA,1/1/14,MARZO,2014,1/1/14,1/1/14,OSTION,5611439H,OSTION JAPONES DE CULTIVO ENT. FCO.,"1,000.00","1,000.00",22.00,"22,000.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/15,ENERO,2015,1/1/15,1/1/15,ATUN,0581638H,ATUN ALETA AZUL DE CULTIVO DESV. FCO.,"5,248.00","5,772.80",100.00,"524,800.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/15,ENERO,2015,1/1/15,1/1/15,ATUN,0581638H,ATUN ALETA AZUL DE CULTIVO DESV. FCO.,"7,280.00","8,008.00",80.00,"582,400.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/15,ENERO,2015,1/1/15,1/1/15,ATUN,0581638H,ATUN ALETA AZUL DE CULTIVO DESV. FCO.,254.00,279.40,100.00,"25,400.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/16,ENERO,2016,1/1/16,1/1/16,ATUN,0581638H,ATUN ALETA AZUL DE CULTIVO DESV. FCO.,"15,656.30","17,221.93",70.00,"1,095,941.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/17,ENERO,2017,1/1/17,1/1/17,OSTION,5571435H,OSTION DE CULTIVO ENT. FCO.,400.00,400.00,35.00,"14,000.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/17,ENERO,2017,1/1/17,1/1/17,OSTION,5611439H,OSTION JAPONES DE CULTIVO ENT. FCO.,750.00,750.00,25.00,"18,750.00",PACIFICO
BAJA CALIFORNIA,0203,ENSENADA,COSECHA,1/1/17,ENERO,2017,1/1/17,1/1/17,ALMEJA,0323238V,ALMEJA MANILA DE CULTIVO VIVA,120.00,120.00,40.00,"4,800.00",PACIFICO
BAJA CALIFORNIA,0209,SAN QUINTIN,COSECHA,2/1/11,ABRIL,2012,2/1/11,2/1/11,OSTION,5611439H,OSTION JAPONES DE CULTIVO ENT. FCO.,812.00,812.00,25.00,"20,300.00",PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.01,0.01,"30,000.00",300.00,PACIFICO
BAJA CALIFORNIA,0209,SAN QUINTIN,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,ALMEJA,0273235V,ALMEJA ARENERA DE CULTIVO VIVA,30.00,30.00,50.00,"1,500.00",PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.00,0.00,"53,333.00",0.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.01,0.01,"37,500.00",375.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.00,0.00,"80,000.00",0.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.00,0.00,"50,000.00",0.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.00,0.00,"120,000.00",0.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.01,0.01,"25,000.00",250.00,PACIFICO
BAJA CALIFORNIA,0210,VILLA DE JESUS MARIA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OSTION,5611439H,OSTION JAPONES DE CULTIVO ENT. FCO.,"2,520.00","2,520.00",31.00,"78,120.00",PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.01,0.01,"40,000.00",400.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.01,0.01,"20,000.00",200.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.02,0.02,"32,000.00",640.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.02,0.02,"10,000.00",200.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.01,0.01,"50,000.00",500.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.02,0.02,"30,000.00",600.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.01,0.01,"60,000.00",600.00,PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.01,0.01,"140,000.00","1,400.00",PACIFICO
BAJA CALIFORNIA,0208,TIJUANA,COSECHA,2/1/12,FEBRERO,2012,2/1/12,2/1/12,OTRAS,9821432H,PLANTAS ACUATICAS DE CULTIVO ENT. FCA.,0.00,0.00,"180,000.00",0.00,PACIFICO
