"","MMID","Short_Title","Keywords","Author","Institution","Dataset_Available","Subject_name","Area","Region","Location","Start_Year","End_Year","Data_Time_Points","Unit_Type","Temporal_Resolution","Spatial_Resolution","Dataset_Title","Compilation_Title","Publication_Year","Reference","Available_Metadata","Metadata_name","User_Contact","Institution_Type","Research_Fund","Research_Field","SE_Interaction","Data_Uncertanty","Notes","Lat","Long"
"1",8,"Censo Poblacion y Vivienda 2010","Censo; Poblacion; Tabasco","INEGI","INEGI",1,"Poblacion Humana","Atlantic","Banco Campeche Caribe","Localidades",2010,2010,NA,"Count","Year","Location","Censo de Poblacion y Vivienda 2010; Tamaulipas",NA,2016,"http://www.inegi.org.mx/lib/olap/consulta/general_ver4/MDXQueryDatos.asp?#Regreso&c=27770","NO",NA,"Juliano Palacios; j.palacios@oceans.ubc.ca","GOV","GOV","Sociology","State",NA,NA,NA,NA
"2",47,"Historic Catch for Campeche","Campeche; Captura","CONAPESCA","CONAPESCA",1,"Campeche","Atlantic","Banco Campeche Caribe","Campeche",2004,2013,10,"Weight","Year","State","Campeche: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,20.3,-90.5349
"3",65,"Historic Catch for Quintana Roo","Quintana Roo; Captura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Quintana Roo",2004,2013,10,"Weight","Year","State","Quintana Roo: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,19.1817,-80.4791
"4",69,"Historic Catch for Tabasco","Tabasco; Captura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tabasco",2004,2013,10,"Weight","Year","State","Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"5",70,"Historic Catch for Tamaulipas","Tamaulipas; Captura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tamaulipas",2004,2013,10,"Weight","Year","State","Tamaulipas: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"6",72,"Historic Catch for Veracruz","Veracruz; Captura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Veracruz",2004,2013,10,"Weight","Year","State","Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,23,-96.5783
"7",73,"Historic Catch for Yucatan","Yucatan; Captura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Yucatan",2004,2013,10,"Weight","Year","State","Yucatan: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"8",79,"Historic Catch of Almeja for Veracruz","Almeja; Captura; Veracruz","CONAPESCA","CONAPESCA",1,"Almeja","Atlantic","West Gulf of Mexico","Veracruz",2004,2013,10,"Weight","Year","State","Almeja; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,23,-96.5783
"9",85,"Historic Catch of Almeja for Tabasco","Almeja; Captura; Tabasco","CONAPESCA","CONAPESCA",1,"Almeja","Atlantic","West Gulf of Mexico","Tabasco",2004,2013,10,"Weight","Year","State","Almeja; Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"10",86,"Historic Catch of Almeja for Tamaulipas","Almeja; Captura; Tamaulipas","CONAPESCA","CONAPESCA",1,"Almeja","Atlantic","West Gulf of Mexico","Tamaulipas",2004,2013,10,"Weight","Year","Region","Almeja; Otras: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"11",88,"Historic Catch of Tunidos for Tabasco","Tunidos; Captura; Tabasco; Barrilete; Bonito","CONAPESCA","CONAPESCA",1,"Tunidos","Atlantic","West Gulf of Mexico","Tabasco",2004,2013,10,"Weight","Year","State","Tunidos; Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"12",94,"Historic Catch of Tunidos for Veracruz","Tunidos; Captura; Veracruz; Barrilete; Bonito","CONAPESCA","CONAPESCA",1,"Tunidos","Atlantic","West Gulf of Mexico","Veracruz",2004,2013,10,"Weight","Year","State","Tunidos; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,23,-96.5783
"13",270,"Historic Value of Fish Catch  for Campeche","Campeche; Economico; Valor","CONAPESCA","CONAPESCA",1,"Campeche","Atlantic","Banco Campeche Caribe","Campeche",2004,2013,10,"Currency","Year","State","Campeche: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,20.3,-90.5349
"14",288,"Historic Value of Fish Catch  for Quintana Roo","Quintana Roo; Economico; Valor","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Quintana Roo",2004,2013,10,"Currency","Year","State","Quintana Roo: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,19.1817,-80.4791
"15",292,"Historic Value of Fish Catch  for Tabasco","Tabasco; Economico; Valor","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tabasco",2004,2013,10,"Currency","Year","State","Tabasco: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"16",293,"Historic Value of Fish Catch  for Tamaulipas","Tamaulipas; Economico; Valor","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tamaulipas",2004,2013,10,"Currency","Year","State","Tamaulipas: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"17",295,"Historic Value of Fish Catch  for Veracruz","Veracruz; Economico; Valor","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Veracruz",2004,2013,10,"Currency","Year","State","Veracruz: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,23,-96.5783
"18",296,"Historic Value of Fish Catch  for Yucatan","Yucatan; Economico; Valor","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Yucatan",2004,2013,10,"Currency","Year","State","Yucatan: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"19",301,"Participation of the national Production  for Campeche","Campeche; Proporcion of Produccion;","CONAPESCA","CONAPESCA",1,"Campeche","Atlantic","Banco Campeche Caribe","Campeche",2004,2013,10,"Currency","Year","State","Campeche: Participacion Porcentual en la Produccion nacional","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,20.3,-90.5349
"20",319,"Participation of the national Production  for Quintana Roo","Quintana Roo; Proporcion of Produccion;","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Quintana Roo",2004,2013,10,"Currency","Year","State","Quintana Roo: Participacion Porcentual en la Produccion nacional","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,19.1817,-80.4791
"21",323,"Participation of the national Production  for Tabasco","Tabasco; Proporcion of Produccion;","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tabasco",2004,2013,10,"Currency","Year","State","Tabasco: Participacion Porcentual en la Produccion nacional","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
