Genus,Species,Common_synonyns,Inicio,Fin ,Key,Inicio_II,Key_II
 Astrangia,haimei,See comments.,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
?Corydendrium,flabellatum,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
?Laxosuberites,?rugosus,Suberites rugosus,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
?Perigonimus,repens,Euderium repens,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
?Perigonimus,robustus,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Abra,palmeri,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Abra,tepocana,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Abylopsis,eschscholtzii,,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Abylopsis,tetragona,,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthaster,ellisii,Echinaster ellisii; Acanthaster ellisii pseudoplanci,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthaxius,caespitosa,Axiopsis caespitosa,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthina,lugubris,,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthina,lugubris,"; Acanthina tyrianthina Berry, 1957",Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthochitona,angelica,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthochitona,avicula,"Acanthochites avicula; Acanthochitona angelica Dall, 1919; Acanthochites avicula variedad diegoensis",Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthochitona,exquisita,Acantochites exquisitus,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthochitona,hirudiniformis,"Chiton hirudiniformis; Acanthochiton coquimboensis Leloup, 1941; Acanthochitona tabogensis A.G.Smith",Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthochitona,imperatrix,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthodoris,pina,"A. stohleri Lance, 1968",Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthodoris,serpentinotus,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthon,mirafloresensis,"Panopeus mirafloresensis Abele & Kim, 1989",Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthonyx,petiveri,"Acanthonyx marginatus Milne Edwards & Lucas, 1843; Acanthonyx debilisDana, 1851; Acanthonyx concamer",Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthoscina,acanthodes,Scina acanthodes,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthotrophon,sorenseni,Trophon sorenseni,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acanthotrophon,carduus,Murex carduus,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acarnus,erithacus,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acasta,newmani,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acharax,johnsoni,"Solemya johnsoni; Solemya tokunagai Yokohama, 1925; S. (Acharax) tibai Kuroda, 1948",Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Achelous,iridescens,Neptunus iridescens; Portunus iridescens,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acidops,fimbriatus,NA,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acirsa,cerralvoensis,Epitonium (A.) cerralvoensis,Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
Acirsa,menesthoides,"Rissoina berryi Baker, Hanna & Strong, 1930",Distribucion de,en el golfo de California,Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion,Clasificacion Taxonomica Completa de,Macrofauna; Invertebrados; Golfo de California; taxonomia; clasificacion; especie;genero;  Phylum; clase; Orden; Familia
