Especie,Localidad,Distribuci—n Nacional (Pac’fico)
Tetraselmis F. Stein,,Primer Registro
Tetraselmis ascus,BCP,
Tetraselmis marina,BCP,
Entocladia condensata,BCG,
Entocladia marchantiae,BCSG,
Entocladia mexicana,BCG; BCSG,
Entocladia polysiphoniae,BCSG; SON,
Entocladia viridis,BCSG;SON;SIN;OAX,
Pringsheimiella scutata,BCP,
Ulvella setchellii,BCP;SIN,
Ulothrix flacca,MICH,
Pseudendoclonium marinum,MICH,
Phaeophila dendroides,SON; NAY; JAL;OAX; IS.REV.,
Kornmannia leptoderma,BCSP,
Blidingia marginata,OAX;CHIS;IS.REV,
Blidingia minima,BCP;BCSG;OAX,
Blidingia ramifera,CHIS,
Gayralia oxysperma,BCP,
Percursaria dawsonii,BCP,
Ulva acanthophora,BCP;BCSP;BCG;BCSG;SON;OAX,
Ulva californica,BCP;BCSP;BCSG;SON:NAY;JAL;MICH,
Ulva clathrata,BCP;BCSP;BCSG;SIN;NAY;COL;OAX,
Ulva compressa,,
Ulva dactylifera,,
Ulva expansa,,
Ulva flexuosa,,
Ulva intestinalis,,
Ulva lactuca,,
Ulva linza,,
Ulva lobata,,
Ulva nematoidea,,
Ulva paradoxa,,
Ulva prolifera,,
Ulva rigida,,
Ulva spinulosa,,
Ulva taeniata,,
Ulva tanneri,,
Microdictyon palmeri,,
Chaetomorpha aerea,,
Chaetomorpha antennina,,
Chaetomorpha bangioides,,
Chaetomorpha brachygona,,
Chaetomorpha californica,,
Chaetomorpha cannabina,,
Chaetomorpha clavata,,
Chaetomorpha crassa,,
Chaetomorpha exposita,,
Chaetomorpha gracilis,,
Chaetomorpha javanica,,
Chaetomorpha linoides,,
Chaetomorpha linum (O.F. Muller) Kutzing,,
Chaetomorpha minima,,
Chaetomorpha pachynema,,
Chaetomorpha picquotiana,,
Chaetomorpha spiralis,,
Cladophora albida,,
Cladophora brasiliana,,
Cladophora coelothrix,,
Cladophora columbiana,,
Cladophora crystallina,,
Cladophora flexuosa,,
Cladophora gracilis,,
Cladophora globulina,,
Cladophora glomerata (glomerata),,
Cladophora glomerata (crassio),,
Cladophora graminea,,
Cladophora hesperia,,
Cladophora inserta,,
Cladophora laetevirens,,
Cladophora lehmanniana,,
Cladophora liebetruthii,,
Cladophora liniformis,,
Cladophora macdougalii,,
Cladophora microcladioides,,
Cladophora montagneana,,
Cladophora nigrescens,,
Cladophora okamurae,,
Cladophora perpusilla,,
Cladophora prolifera,,
Cladophora rivularis,,
Cladophora sericea,,
Cladophora stimpsonii,,
Cladophora tiburonensis,,
Cladophora vagabunda,,
Cladophora verticillata,,
Lola lubrica,,
Rhizoclonium africanum,,
Rhizoclonium hieroglyphicum,,
Rhizoclonium riparium (riparium),,
Rhizoclonium riparium (implexum),,
Rhizoclonium tortuosum,,
Urospora wormskioldii,,
Boodlea composita,,
Cladophoropsis gracillima,,
Cladophoropsis macromeres,,
Cladophoropsis membranacea,,
Cladophoropsis sundanensis,,
Dictyosphaeria australis,,
Dictyosphaeria cavernosa,,
Dictyosphaeria versluysii,,
Phyllodictyon anastomosans,,
Phyllodictyon pulcherrimum,,
Siphonocladus pusilloides,,
Siphonocladus tropicus,,
Struveopsis robusta,,
Ernodesmis verticillata,,
Valonia macrophysa,,
