Entidad,Oficina,Mes,Origen,Nombre Comun,Peso Vivo (Kg.),Peso Desem. (Kg.),Valor (pesos),Año
BAJA CALIFORNIA,EL ROSARIO,Enero,CAPTURA,ALGA GIGARTINA,810,810,810,2012
BAJA CALIFORNIA,EL ROSARIO,Enero,CAPTURA,ALGA GELIDIUM,"29,610.00","4,935.00","34,545.00",2010
BAJA CALIFORNIA,EL ROSARIO,Enero,CAPTURA,ALGA GELIDIUM,"1,680.00","1,680.00","10,080.00",2006
BAJA CALIFORNIA,EL ROSARIO,Enero,CAPTURA,ALGA GELIDIUM,"24,412.00","4,537.00","30,635.00",2009
BAJA CALIFORNIA,EL ROSARIO,Enero,CAPTURA,ALGA GELIDIUM,"29,610.00","4,935.00","39,480.00",2011
BAJA CALIFORNIA,ENSENADA,Enero,CAPTURA,ALGA GELIDIUM,"1,500.00","1,500.00","10,500.00",2010
BAJA CALIFORNIA,ENSENADA,Enero,CAPTURA,ALGA GELIDIUM,"10,000.00","60,000.00","80,031.00",2008
BAJA CALIFORNIA,ENSENADA,Enero,CAPTURA,ALGA GELIDIUM,"1,500.00","1,500.00","10,500.00",2011
BAJA CALIFORNIA,ENSENADA,Enero,CAPTURA,ALGA GELIDIUM,"5,750.72","5,750.72","40,119.32",2014
BAJA CALIFORNIA,ENSENADA,Enero,CAPTURA,ALGA PARDA,"7,440.86","7,440.86","49,109.68",2014
BAJA CALIFORNIA,ISLA CEDROS,Enero,CAPTURA,ALGA GELIDIUM,"25,511.52","5,511.52","45,976.05",2014
BAJA CALIFORNIA,ISLA CEDROS,Enero,CAPTURA,ALGA GELIDIUM,"126,000.00","21,000.00","147,000.00",2009
BAJA CALIFORNIA,ISLA CEDROS,Enero,CAPTURA,ALGA GELIDIUM,"115,200.00","19,200.00","144,768.00",2007
BAJA CALIFORNIA,ISLA CEDROS,Enero,CAPTURA,ALGA GELIDIUM,"30,000.00","5,000.00","35,000.00",2012
BAJA CALIFORNIA,ISLA CEDROS,Enero,CAPTURA,ALGA GELIDIUM,"34,796.15","9,796.15","68,573.07",2013
BAJA CALIFORNIA,SAN FELIPE,Enero,CAPTURA,ALGA GELIDIUM,"5,000.00","30,000.00","40,015.50",2008
BAJA CALIFORNIA,SAN QUINTIN,Enero,CAPTURA,ALGA GELIDIUM,"5,214.00","5,214.00","36,498.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Enero,CAPTURA,ALGA GELIDIUM,"8,131.80","8,131.80","56,654.15",2014
BAJA CALIFORNIA,SAN QUINTIN,Enero,CAPTURA,ALGA GIGARTINA,"39,861.75","11,736.75","77,462.58",2014
BAJA CALIFORNIA,SAN QUINTIN,Enero,CAPTURA,ALGA GIGARTINA,"5,125.00","5,125.00","30,750.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Enero,CAPTURA,ALGA GIGARTINA,"23,794.39","9,400.39","56,402.33",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Enero,CAPTURA,ALGA GELIDIUM,"39,732.00","6,622.00","33,110.00",2010
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Enero,CAPTURA,ALGA GELIDIUM,"1,095.00","1,095.00","8,760.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Enero,CAPTURA,ALGA GELIDIUM,"10,487.00","10,487.00","72,713.03",2009
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Enero,CAPTURA,ALGA GELIDIUM,"109,630.69","26,530.69","181,750.55",2014
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Enero,CAPTURA,ALGA GELIDIUM,"39,732.00","6,622.00","33,110.00",2011
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Enero,CAPTURA,ALGA GELIDIUM,"24,600.00","4,100.00","28,700.00",2012
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"76,233.57","18,448.57","139,691.76",2014
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"26,400.00","4,400.00","30,800.00",2013
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"6,829.00","40,974.00","50,193.15",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"57,702.00","9,617.00","109,055.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"29,916.00","4,986.00","49,134.00",2012
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"2,514.00",419,"3,113.17",2006
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"2,000.00","2,000.00","15,000.00",2009
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"57,702.00","9,617.00","109,055.00",2011
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Enero,CAPTURA,ALGA GELIDIUM,"48,870.00","8,145.00","61,413.30",2007
BAJA CALIFORNIA,EL ROSARIO,Febrero,CAPTURA,ALGA GELIDIUM,"44,352.00","7,392.00","55,735.68",2007
BAJA CALIFORNIA,EL ROSARIO,Febrero,CAPTURA,ALGA GELIDIUM,"52,800.00","8,800.00","61,600.00",2009
BAJA CALIFORNIA,ENSENADA,Febrero,CAPTURA,ALGA SE,"19,006.49","19,006.49","49,416.89",2013
BAJA CALIFORNIA,ENSENADA,Febrero,CAPTURA,ALGA GELIDIUM,"54,300.00","9,050.00","63,350.00",2010
BAJA CALIFORNIA,ENSENADA,Febrero,CAPTURA,ALGA GELIDIUM,"54,300.00","9,050.00","63,350.00",2011
BAJA CALIFORNIA,ENSENADA,Febrero,CAPTURA,ALGA GELIDIUM,"13,287.25","13,287.25","92,895.75",2014
BAJA CALIFORNIA,ENSENADA,Febrero,ACUACULTURA,ALGA ESPIRULINA,"5,760.00","5,760.00","4,608.00",2014
BAJA CALIFORNIA,ENSENADA,Febrero,CAPTURA,ALGA GELIDIUM,"77,880.00","12,980.00","96,441.40",2006
BAJA CALIFORNIA,ISLA CEDROS,Febrero,CAPTURA,ALGA GELIDIUM,"22,322.58","4,822.58","39,299.69",2014
BAJA CALIFORNIA,ISLA CEDROS,Febrero,CAPTURA,ALGA GELIDIUM,"49,758.50","14,008.50","98,059.48",2013
BAJA CALIFORNIA,SAN FELIPE,Febrero,CAPTURA,ALGA GELIDIUM,"3,000.00","18,000.00","24,009.30",2008
BAJA CALIFORNIA,SAN QUINTIN,Febrero,CAPTURA,ALGA GIGARTINA,"17,000.00","4,250.00","25,500.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Febrero,CAPTURA,ALGA GELIDIUM,"1,913.36","1,913.36","13,376.99",2014
BAJA CALIFORNIA,SAN QUINTIN,Febrero,CAPTURA,ALGA SE,"2,550.00","2,550.00","7,650.00",2009
BAJA CALIFORNIA,SAN QUINTIN,Febrero,CAPTURA,ALGA GELIDIUM,"2,084.00","2,084.00","14,588.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Febrero,CAPTURA,ALGA GELIDIUM,"28,800.00","4,800.00","35,664.00",2006
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Febrero,CAPTURA,ALGA GELIDIUM,"73,248.00","12,208.00","86,512.93",2011
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Febrero,CAPTURA,ALGA GELIDIUM,"16,572.00","2,762.00","20,096.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Febrero,CAPTURA,ALGA GELIDIUM,"19,632.00","3,272.00","23,976.00",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Febrero,CAPTURA,ALGA GELIDIUM,"40,820.17","10,790.17","76,183.37",2014
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Febrero,CAPTURA,ALGA GELIDIUM,"73,248.00","12,208.00","86,512.00",2010
BAJA CALIFORNIA SUR,SANTA ROSALIA,Febrero,CAPTURA,ALGA GELIDIUM,"4,171.00","25,026.00","31,760.50",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"6,072.00","1,012.00","7,519.16",2006
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"28,698.00","4,783.00","42,877.00",2012
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"3,000.00",500,"3,750.00",2009
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"30,498.00","5,083.00","38,325.82",2007
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"73,423.54","17,768.54","136,166.81",2014
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"92,640.00","15,440.00","183,080.00",2013
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"7,590.00","45,540.00","57,794.81",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"107,286.00","17,881.00","170,248.00",2011
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Febrero,CAPTURA,ALGA GELIDIUM,"107,286.00","17,881.00","143,048.00",2010
BAJA CALIFORNIA,EL ROSARIO,Marzo,CAPTURA,ALGA GELIDIUM,"33,000.00","5,500.00","38,500.00",2009
BAJA CALIFORNIA,EL ROSARIO,Marzo,CAPTURA,ALGA GELIDIUM,"32,100.00","5,350.00","48,150.00",2011
BAJA CALIFORNIA,EL ROSARIO,Marzo,CAPTURA,ALGA GELIDIUM,"17,778.00","2,963.00","22,341.02",2007
BAJA CALIFORNIA,EL ROSARIO,Marzo,CAPTURA,ALGA GELIDIUM,"6,465.46","6,465.46","45,258.22",2013
BAJA CALIFORNIA,EL ROSARIO,Marzo,CAPTURA,ALGA GIGARTINA,"40,000.00","40,000.00","240,000.00",2012
BAJA CALIFORNIA,EL ROSARIO,Marzo,CAPTURA,ALGA GELIDIUM,"32,100.00","5,350.00","37,450.00",2010
BAJA CALIFORNIA,ENSENADA,Marzo,CAPTURA,ALGA GELIDIUM,"30,024.00","5,004.00","35,028.00",2011
BAJA CALIFORNIA,ENSENADA,Marzo,CAPTURA,ALGA GELIDIUM,"30,024.00","5,004.00","35,028.00",2010
BAJA CALIFORNIA,ENSENADA,Marzo,CAPTURA,ALGA GELIDIUM,"64,148.72","13,858.72","95,756.83",2014
BAJA CALIFORNIA,ENSENADA,Marzo,CAPTURA,ALGA GELIDIUM,"1,500.00","1,500.00","10,500.00",2010
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"54,000.00","9,000.00","63,000.00",2011
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"38,400.00","6,400.00","47,552.00",2006
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"59,849.38","16,849.38","117,945.67",2013
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"54,000.00","9,000.00","63,000.00",2010
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"84,000.00","14,000.00","105,560.00",2007
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"5,160.00","5,160.00","36,120.00",2012
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"30,000.00","5,000.00","35,000.00",2009
BAJA CALIFORNIA,ISLA CEDROS,Marzo,CAPTURA,ALGA GELIDIUM,"27,743.78","5,993.78","50,114.02",2014
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"27,636.00","4,606.00","32,242.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GIGARTINA,"40,924.73","12,049.73","80,371.73",2014
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GIGARTINA,16,4,24,2010
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA ESPIRULINA,"11,100.00","11,100.00","33,300.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GIGARTINA,"39,184.61","39,184.61","274,292.27",2013
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"139,184.61","39,184.61","274,292.27",2013
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GIGARTINA,16,4,24,2011
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"10,200.00","1,700.00","11,900.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"27,636.00","4,606.00","32,242.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Marzo,CAPTURA,ALGA GELIDIUM,"3,295.24","3,295.24","23,002.50",2014
