Family,Genero,Especie
Acanthuridae,Acanthurus,achilles
,Acanthurus,triostegus
,Acanthurus,xanthopterus
,Acanthurus,nigricans
,Prionurus,punctatus
,Prionurus,laticlavius
Antennariidae,Antennatus,sanguineus
,Antennatus,strigatus
Apogonidae,Apogon,retrosella
,Apogon,pacificus
Atherinidae,Atherinella,eriarcha
Aulostomidae,Aulostomus,chinensis
Balistidae,Balistes,polylepis
,Canthidermis,maculata
,Melichthys,niger
,Pseudobalistes,naufragium
,Sufflamen,verres
,Xanthichthys,mento
Batrachoididae,Porichthys,margaritatus
,Porichthys,myriaster
Belonidae,Tylosurus,crocodilus
,Tylosurus,acus
Blenniidae,Entomacrodus,chiostictus
,Hypsoblennius,brevipinnis
,Hypsoblennius,gentilis
,Hypsoblennius,jenkinsi
,Ophioblennius,steindachneri
,Plagiotremus,azaleus
Bythitidae,Grammonus,diagrammus
,Ogilbia,davidsmithi
,Ogilbia,nudiceps
,Ogilbia,ventralis
Carangidae,Alectis,ciliaris
,Caranx,caballus
,Caranx,caninus
,Caranx,lugubris
,Caranx,melampygus
,Carangoides,orthogrammus
,Caranx,sexfasciatus
,Elagatis,bipinnulata
,Gnathanodon,speciosus
,Naucrates,ductor
,Selene,brevoortii
,Seriola,lalandi
,Seriola,peruana
,Seriola,rivoliana
,Trachinotus,rhodopus
Carapidae,Encheliophis,vermicularis
,Carapus,dubius
Chaenopsidae,Acanthemblemaria,balanorum
,Acanthemblemaria,crockeri
,Acanthemblemaria,hancocki
,Acanthemblemaria,hastingsi
,Acanthemblemaria,macrospilus
,Chaenopsis,alepidota
,Chaenopsis,coheni
,Cirriemblemaria,lucasana
,Coralliozetus,micropes
,Coralliozetus,rosenblatti
,Coralliozetus,angelicus
,Coralliozetus,boehlkei
,Ekemblemaria,myersi
,Emblemaria,hypacanthus
,Emblemaria,walkeri
,Emblemaria,piratica
,Protemblemaria,bicirrus
,Stathmonotus,lugubris
,Stathmonotus,sinuscalifornici
,Protemblemaria,bicirrus
,Stathmonotus,sinuscalifornici
Chaetodontidae,Prognathodes,falcifer
,Chaetodon,humeralis
,Forcipiger,flavissimus
,Johnrandallia,nigrirostris
Chanidae,Chanos,chanos
Cirrhitidae,Cirrhitichthys,oxycephalus
,Cirrhitus,rivulatus
,Oxycirrhites,typus
Congridae,Heteroconger,canabus
Cynoglossidae,Symphurus,atramentatus 
Dactyloscopidae,Dactyloscopus,pectoralis
Diodontidae,Chilomycterus,reticulatus
,Diodon,holocanthus
,Diodon,hystrix
Echeneidae,Remora,albescens
Elopidae,Elops,affinis
Embiotocidae,Zalembius,rosaceus
Ephippidae,Chaetodipterus,zonatus
Fistulariidae,Fistularia,commersonii
Gerreidae,Gerres,cinereus
Gobiesocidae,Arcos,erythrops
,Tomicodon,boehlkei
,Tomicodon,humeralis
,Tomicodon,myersi
,Gobiesox,adustus
,Gobiesox,papillifer
,Gobiesox,pinniger
,Gobiesox,schultzi
,Pherallodiscus,funebris
,Tomicodon,eos
,Tomicodon,zebra
Gobiidae,Aruma,histrio
,Barbulifer,pantherinus
,Bathygobius,ramosus
,Chriolepis,cuneata
,Chriolepis,minutillus
,Chriolepis,zebra
,Coryphopterus,urospilus
,Tigrigobius,digueti
,Tigrigobius,limbaughi
,Elacatinus,punticulatus
,Gobiosoma,chiqita
,Gobiosoma,paradoxum
,Gobiosoma,nudum
,Gobulus,crescentalis
,Gobulus,hancocki
,Gymneleotris,seminuda
,Lythrypnus,dalli
,Lythrypnus,pulchellus
,Pycnomma,semisquamatum
Haemulidae,Anisotremus,davidsonii
,Anisotremus,interruptus
,Anisotremus,taeniatus
,Haemulon,flaviguttatum
,Haemulon,maculicauda
,Haemulon,scudderii
,Haemulon,sexfasciatum
,Haemulon,steindachneri
,Haemulon,californiensis
,Microlepidotus,brevipinnis
,Microlepidotus,inornatus
,Orthopristis,chalceus
,Orthopristis,cantharinus
,Pomadasys,panamensis
Hemiramphidae,Hyporhamphus,unifasciatus
Holocentridae,Myripristis,leiognathus
,Sargocentron,suborbitalis
Kyphosidae,Girella,simplicidens
,Girella,nigricans
,Kyphosus,azureus
,Kyphosus,analogus
,Kyphosus,elegans
,Kyphosus,ocyurus
Labridae,Bodianus,diplotaenia
,Decodon,melasma
,Halichoeres,chierchiae
,Halichoeres,dispilus
,Halichoeres,melanotis
,Halichoeres,nicholsi
,Halichoeres,notospilus
,Halichoeres,semicinctus
,Novaculichthys,taeniourus
,Semicossyphus,pulcher
,Stethojulis,bandanensis
,Thalassoma,grammaticum
,Thalassoma,lucasanum
,Iniistius,pavo
Labrisomidae,Cryptotrema,seftoni
,Exerpes,asper
,Labrisomus,multiporosus
,Labrisomus,striatus
,Labrisomus,xanti
,Malacoctenus,ebisui
,Malacoctenus,margaritae
,Malacoctenus,gigas
,Malacoctenus,hubbsi
,Malacoctenus,mexicanus
,Malacoctenus,tetranemus
,Malacoctenus,zacae
,Malacoctenus,zonifer
,Paraclinus,altivelis
,Paraclinus,mexicanus
,Paraclinus,monophthalmus
,Paraclinus,sini
,Starksia,cremnobates
,Starksia,grammilaga
,Starksia,spinipenis
,Xenomedea,rhodopyga
Lutjanidae,Hoplopagrus,guentherii
,Lutjanus,aratus
,Lutjanus,argentiventris
,Lutjanus,colorado
,Lutjanus,guttatus
,Lutjanus,inermis
,Lutjanus,jordani
,Lutjanus,novemfasciatus 
,Lutjanus,peru
,Lutjanus,viridis
Malacanthidae,Caulolatilus,affinis
,Caulolatilus,hubbsi
,Caulolatilus,princeps
Monocanthidae,Aluterus,scriptus
,Cantherhines,dumerilii
