MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Notes,Lat,Long
2862,Distribucion de Tetraselmis F. Stein en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Tetraselmis F. Stein,Pacific,NA,NA,1999,1999,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2863,Distribucion de Tetraselmis ascus en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Tetraselmis ascus,Pacific,NA,NA,1999,1999,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2864,Distribucion de Tetraselmis marina en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Tetraselmis marina,Pacific,NA,NA,1924,1944,3,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2865,Distribucion de Entocladia condensata en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Entocladia condensata,Pacific,NA,NA,1900,2005,10,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2866,Distribucion de Entocladia marchantiae en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Entocladia marchantiae,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2867,Distribucion de Entocladia mexicana en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Entocladia mexicana,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2868,Distribucion de Entocladia polysiphoniae en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Entocladia polysiphoniae,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2869,Distribucion de Entocladia viridis en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Entocladia viridis,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2870,Distribucion de Pringsheimiella scutata en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Pringsheimiella scutata,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2871,Distribucion de Ulvella setchellii en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulvella setchellii,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
