kingdom,subkingdom,phylum,class,order,subphylum
Monera,Archaeobacteria,thermoacidophiles,,,
Monera,Eubacteria,Schizonta,,,
Monera,Eubacteria,Cyanonta,,,
Protista,Protophyta,Pyrrophyta,,,
Protista,Protophyta,Chrysophyta,,,
Protista,Protozoa,Sarcodina ,Actinopodea,,
Protista,Protozoa,Sarcodina ,Rhizopodea,,
Fungi,Ascomycota,,,,
Plantae,seaweed,Chlorophyta,,,
Plantae,seaweed,Phaeophyta,,,
Plantae,seaweed,Rhodophyta,,,
Plantae,Tracheophyta,Anthophyta,,,
Animalia,Parazoa,Porifera ,Calcispongiae,,
Animalia,Parazoa,Porifera ,Hyalospongiae,,
Animalia,Parazoa,Porifera ,Demospongiae,,
Animalia,Metazoa,Cnidaria ,Hydrozoa,,
Animalia,Metazoa,Cnidaria ,Scyphozoa,,
Animalia,Metazoa,Cnidaria ,Anthozoa,,
Animalia,Metazoa,Ctenophora,,,
Animalia,Metazoa,Platyhelminthes ,Turbellaria,,
Animalia,Metazoa,Platyhelminthes ,Cestoda,,
Animalia,Metazoa,Platyhelminthes ,Trematoda,,
Animalia,Metazoa,Nemertea,,,
Animalia,Metazoa,Nematoda,,,
Animalia,Metazoa,Priapulida,,,
Animalia,Metazoa,Mollusca ,Polyplacophora,,
Animalia,Metazoa,Mollusca ,Scaphopoda,,
Animalia,Metazoa,Mollusca ,Gastropoda,,
Animalia,Metazoa,Mollusca ,Bivalvia,,
Animalia,Metazoa,Mollusca ,Cephalopoda,,
Animalia,Metazoa,Annelida ,Polychaeta,,
Animalia,Metazoa,Annelida ,Oligochaeta,,
Animalia,Metazoa,Annelida ,Hirudinea,,
Animalia,Metazoa,Arthropoda,Merostomata,,
Animalia,Metazoa,Arthropoda,Pycnogonida,,
Animalia,Metazoa,Arthropoda,Crustacea,,
Animalia,Metazoa,Arthropoda,Insecta,,
Animalia,Metazoa,Arthropoda,Arachnida,,
Animalia,Metazoa,Arthropoda,Chilopoda,,
Animalia,Metazoa,Arthropoda,Diplopoda,,
Animalia,Metazoa,Pogonophora,,,
Animalia,Metazoa,Brachiopoda,,,
Animalia,Metazoa,Echiura,,,
Animalia,Metazoa,Sipunculida,,,
Animalia,Metazoa,Echinodermata,Crinoidea,,
Animalia,Metazoa,Echinodermata,Echinoidea,,
Animalia,Metazoa,Echinodermata,Asteroidea,,
Animalia,Metazoa,Echinodermata,Ophiuroidea,,
Animalia,Metazoa,Echinodermata,Holothuroidea,,
Animalia,Metazoa,Chordata,,,Urochordata
Animalia,Metazoa,Chordata,,,Cephalochor
Animalia,Metazoa,Chordata,,,Vertebrata
Vertebrata,Metazoa,,Agnatha,,
Vertebrata,Metazoa,,Chondrichthyes,,
Vertebrata,Metazoa,,Osteichthyes,,
Tetrapoda,Metazoa,,Amphibia,,
Tetrapoda,Metazoa,,Reptilia,Chelonia,
Tetrapoda,Metazoa,,Reptilia,Squamata,
Tetrapoda,Metazoa,,Reptilia,Crocodilia,
Tetrapoda,Metazoa,,Aves,Sphenisciformes,
Tetrapoda,Metazoa,,Aves,Procellariiformes,
Tetrapoda,Metazoa,,Aves,Pelicaniformes,
Tetrapoda,Metazoa,,Aves,Charadriiformes,
Tetrapoda,Metazoa,,Mammalia,Cetacea,
Tetrapoda,Metazoa,,Mammalia,Carnivora,
Tetrapoda,Metazoa,,Mammalia,Sirenia,
Tetrapoda,Metazoa,,Mammalia,Primata,
