"Area_M","Region_M","Entidad.Federativa","Location"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Aguascalientes"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Asientos"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Calvillo"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Cosio"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","El Llano"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Jesus Maria"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Pabellon de Arteaga"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Rincon de Romos"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","San Francisco de los Romo"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","San Jose de Gracia"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Tepezala"
"Freshwater/Terrestrial","Freshwater/Terrestrial","Aguascalientes","Total Estatal"
"Pacific","G. Of California","Baja California","Ensenada"
"Pacific","G. Of California","Baja California","Mexicali"
"Pacific","G. Of California","Baja California","Playas de Rosarito"
"Pacific","G. Of California","Baja California","Tecate"
"Pacific","G. Of California","Baja California","Tijuana"
"Pacific","G. Of California","Baja California","Total Estatal"
"Pacific","G. Of California","Baja California Sur","Comondu"
"Pacific","G. Of California","Baja California Sur","La Paz"
"Pacific","G. Of California","Baja California Sur","Loreto"
"Pacific","G. Of California","Baja California Sur","Los Cabos"
"Pacific","G. Of California","Baja California Sur","Mulege"
"Pacific","G. Of California","Baja California Sur","Total Estatal"
"Atlantic","B Camp. Caribe","Campeche","Calakmul"
"Atlantic","B Camp. Caribe","Campeche","Calkini"
"Atlantic","B Camp. Caribe","Campeche","Campeche"
"Atlantic","B Camp. Caribe","Campeche","Candelaria"
"Atlantic","B Camp. Caribe","Campeche","Carmen"
"Atlantic","B Camp. Caribe","Campeche","Champoton"
"Atlantic","B Camp. Caribe","Campeche","Escarcega"
"Atlantic","B Camp. Caribe","Campeche","Hecelchakan"
"Atlantic","B Camp. Caribe","Campeche","Hopelchen"
"Atlantic","B Camp. Caribe","Campeche","Palizada"
"Atlantic","B Camp. Caribe","Campeche","Tenabo"
