Titulo,Especie,Fin,Data_Points,Key
Captura de,abulon,en Baja California (1956-2008),53,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,algas,en Baja California (1956-2008),53,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,almeja,en Baja California (1956-2008),43,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,anchoveta,en Baja California (1956-2008),41,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,atun,en Baja California (1956-2008),52,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,bagre,en Baja California (1956-2008),22,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,baqueta,en Baja California (1956-2008),24,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,barracuda,en Baja California (1956-2008),2,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,barrilete,en Baja California (1956-2008),43,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,berrugata,en Baja California (1956-2008),15,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,bonito,en Baja California (1956-2008),44,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,cabrilla,en Baja California (1956-2008),15,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,calamar,en Baja California (1956-2008),19,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,camaron,en Baja California (1956-2008),53,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,caracol,en Baja California (1956-2008),21,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,cazon,en Baja California (1956-2008),22,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,cocinero,en Baja California (1956-2008),4,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,conejo,en Baja California (1956-2008),1,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,corvina,en Baja California (1956-2008),31,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,choro (molusco),en Baja California (1956-2008),16,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,erizo,en Baja California (1956-2008),29,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,huachinango,en Baja California (1956-2008),18,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
Captura de,jaiba,en Baja California (1956-2008),25,Captura; Baja; California; CONAPESCA;INAPESCA; Kg; 
