Spp_Origen,Por_Estado,Por_Punto,,,,,,,,,,
Abadejo,Baja California Sur,"BCS: LaPaz, BajaCaliforniaSur",,,,,,,,,,
Aletaderaya,Campeche,"CAM: Campeche, Campeche",,,,,,,,,,
Angelito,Coahuila,"COAH: Torreon, Coahuila",,,,,,,,,,
Atun,Colima,"COL: Colima, Colima",,,,,,,,,,
Bacoca,Chiapas,"CHIS: TuxtlaGutierrez, Chiapas",,,,,,,,,,
Bandera,Distrito Federal,"DF: LaNuevaViga, DF",,,,,,,,,,
Baqueta,Durango,"GTO: Leon, Guanajuato",,,,,,,,,,
Besugo,Guanajuato,"JAL: Zapopan, Jalisco",,,,,,,,,,
Cabrillo,Guerrero,"MCH: Coahuayana, Michoacan",,,,,,,,,,
Cazon con cabeza,Hidalgo,"MCH: LazaroCardenas, Michoacan",,,,,,,,,,
Cazon sin cabeza,Jalisco,"MCH: Morelia, Michoacan",,,,,,,,,,
Cazon tripa,Mexico,"MCH: NuevaItalia, Michoacan",,,,,,,,,,
Cintilla,Michoacan,"MCH: Patzcuaro, Michoacan",,,,,,,,,,
Cochitoo Cochino,Morelos,"MCH: Sahuayo, Michoacan",,,,,,,,,,
Cojinuda,Nuevo Leon,"MCH: Zitacuaro, Michoacan",,,,,,,,,,
Condor,Oaxaca,"MEX: Ecatepec, Mexico",,,,,,,,,,
Conejo,Puebla,"NL: Monterrey, N.Leon",,,,,,,,,,
Constantino,Queretaro,"OAX: Oaxaca, Oaxaca",,,,,,,,,,
Chano,San Luis Potosi,"PUE: Puebla, Puebla",,,,,,,,,,
Chopa,Sinaloa,"QUE: Queretaro, Queretaro",,,,,,,,,,
Guitarra,Sonora,"SIN: Culiacan, Sinaloa",,,,,,,,,,
Gurrubata,Tamaulipas,"SLP: SanLuisPotosi, SanLuisPotosi",,,,,,,,,,
Huachinango Golfo,Veracruz,SON: PescaderiasenCd.Obregon,,,,,,,,,,
Huachinango grande,Yucatan,SON: PescaderiasenHermosillo,,,,,,,,,,
Huachinango Pacifico,,"TAM: Tamaulipas, Tamaulipas",,,,,,,,,,
Jurel,,"VER: Alvarado, Veracruz",,,,,,,,,,
Lebrancha,,"VER: Jalapa, Veracruz",,,,,,,,,,
Lenguado chico,,"VER: Veracruz, Veracruz",,,,,,,,,,
Lenguado grande,,"YUC: Merida, Yucatan",,,,,,,,,,
Lisa del Golfo,,,,,,,,,,,,
Lisa del Pacifico,,,,,,,,,,,,
Lisa macho,,,,,,,,,,,,
Lucero,,,,,,,,,,,,
Mantarraya,,,,,,,,,,,,
Marlin,,,,,,,,,,,,
Mero,,,,,,,,,,,,
Mojarra Marina,,,,,,,,,,,,
Mojarra plateada,,,,,,,,,,,,
Negrillo,,,,,,,,,,,,
Ostion sin concha,,,,,,,,,,,,
Pampano,,,,,,,,,,,,
Pargo,,,,,,,,,,,,
Pargo blanco,,,,,,,,,,,,
Pargo coconaco,,,,,,,,,,,,
Pargo Habanero,,,,,,,,,,,,
Pargo Huachinango,,,,,,,,,,,,
Pargo rojo,,,,,,,,,,,,
Payaso,,,,,,,,,,,,
Petoo Carito,,,,,,,,,,,,
Pierna,,,,,,,,,,,,
Raton,,,,,,,,,,,,
Robalo,,,,,,,,,,,,
