SST,F_SST,A_T,F_A_T,Clorofila,F_C,A_C,A_F,Vientos,Topografia,Nivel,Velocidad,Fecha,,,,
Promedio de la temperatura superficial del mar en,Enero,Anomalia de temperatura superficial del mar,may-08,Concentracion de clorofila-a (CHLO) en,Enero,Anomalia de Concentracion de clorofila-a,jul-08,Vientos Climatologicos en ,Topografia inamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Enero,,,,
Promedio de la temperatura superficial del mar en,Febrero,Anomalia de temperatura superficial del mar,jun-08,Concentracion de clorofila-a (CHLO) en,Febrero,Anomalia de Concentracion de clorofila-a,ago-08,Vientos Climatologicos en ,Topografia inamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Febrero,,,,
Promedio de la temperatura superficial del mar en,Marzo,Anomalia de temperatura superficial del mar,jul-08,Concentracion de clorofila-a (CHLO) en,Marzo,Anomalia de Concentracion de clorofila-a,sep-08,Vientos Climatologicos en ,Topografia inamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Marzo,,,,
Promedio de la temperatura superficial del mar en,Abril,Anomalia de temperatura superficial del mar,ago-08,Concentracion de clorofila-a (CHLO) en,Abril,Anomalia de Concentracion de clorofila-a,oct-08,Vientos Climatologicos en ,Topografia inamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Abril,,,,
Promedio de la temperatura superficial del mar en,Mayo,Anomalia de temperatura superficial del mar,sep-08,Concentracion de clorofila-a (CHLO) en,Mayo,Anomalia de Concentracion de clorofila-a,nov-08,Vientos Climatologicos en ,Topografia inamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Mayo,,,,
Promedio de la temperatura superficial del mar en,Junio,Anomalia de temperatura superficial del mar,oct-08,Concentracion de clorofila-a (CHLO) en,Junio,Anomalia de Concentracion de clorofila-a,dic-08,Vientos Climatologicos en ,Topografia inamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Junio,,,,
Promedio de la temperatura superficial del mar en,Julio,Anomalia de temperatura superficial del mar,nov-08,Concentracion de clorofila-a (CHLO) en,Julio,Anomalia de Concentracion de clorofila-a,ene-09,Vientos Climatologicos en ,Topografia inamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Julio,,,,
Promedio de la temperatura superficial del mar en,Agosto,Anomalia de temperatura superficial del mar,dic-08,Concentracion de clorofila-a (CHLO) en,Agosto,Anomalia de Concentracion de clorofila-a,feb-09,Vientos Climatologicos en ,Topografia inamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Agosto,,,,
Promedio de la temperatura superficial del mar en,Septiembre,Anomalia de temperatura superficial del mar,ene-09,Concentracion de clorofila-a (CHLO) en,Septiembre,Anomalia de Concentracion de clorofila-a,mar-09,Vientos Climatologicos en ,Topografia Dinamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Septiembre,,,,
Promedio de la temperatura superficial del mar en,Octubre,Anomalia de temperatura superficial del mar,feb-09,Concentracion de clorofila-a (CHLO) en,Octubre,Anomalia de Concentracion de clorofila-a,abr-09,Vientos Climatologicos en ,Topografia Dinamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Octubre,,,,
Promedio de la temperatura superficial del mar en,Noviembre,Anomalia de temperatura superficial del mar,mar-09,Concentracion de clorofila-a (CHLO) en,Noviembre,Anomalia de Concentracion de clorofila-a,may-09,Vientos Climatologicos en ,Topografia Dinamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Noviembre,,,,
Promedio de la temperatura superficial del mar en,Diciembre,Anomalia de temperatura superficial del mar,abr-09,Concentracion de clorofila-a (CHLO) en,Diciembre,Anomalia de Concentracion de clorofila-a,jun-09,Vientos Climatologicos en ,Topografia Dinamica Absoluta en ,Anomalia de nivel del mar,Velocidad geostrofica,Diciembre,,,,
,,Anomalia de temperatura superficial del mar,may-09,,,,jul-09,,,,,,,,,
,,Anomalia de temperatura superficial del mar,jun-09,,,,ago-09,,,,,,,,,
,,Anomalia de temperatura superficial del mar,jul-09,,,,sep-09,,,,,,,,,
,,Anomalia de temperatura superficial del mar,ago-09,,,,oct-09,,,,,,,,,
,,Anomalia de temperatura superficial del mar,sep-09,,,,nov-09,,,,,,,,,
,,Anomalia de temperatura superficial del mar,oct-09,,,,Dieciembre 2009,,,,,,,,,
,,Anomalia de temperatura superficial del mar,nov-09,,,,ene-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,dic-09,,,,feb-10,,,,,,,,,
