"","Family","Genero","Especie","Name","Inicio","Key","Inicio_II","Key_II"
"1","Acanthuridae","Acanthurus","achilles","Acanthurus achilles","Presencia de Acanthurus achilles en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthurus achilles en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"2","","Acanthurus","triostegus","Acanthurus triostegus","Presencia de Acanthurus triostegus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthurus triostegus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"3","","Acanthurus","xanthopterus","Acanthurus xanthopterus","Presencia de Acanthurus xanthopterus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthurus xanthopterus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"4","","Acanthurus","nigricans","Acanthurus nigricans","Presencia de Acanthurus nigricans en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthurus nigricans en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"5","","Prionurus","punctatus","Prionurus punctatus","Presencia de Prionurus punctatus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Prionurus punctatus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"6","","Prionurus","laticlavius","Prionurus laticlavius","Presencia de Prionurus laticlavius en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Prionurus laticlavius en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"7","Antennariidae","Antennatus","sanguineus","Antennatus sanguineus","Presencia de Antennatus sanguineus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Antennatus sanguineus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"8","","Antennatus","strigatus","Antennatus strigatus","Presencia de Antennatus strigatus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Antennatus strigatus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"9","Apogonidae","Apogon","retrosella","Apogon retrosella","Presencia de Apogon retrosella en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Apogon retrosella en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"10","","Apogon","pacificus","Apogon pacificus","Presencia de Apogon pacificus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Apogon pacificus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"11","Atherinidae","Atherinella","eriarcha","Atherinella eriarcha","Presencia de Atherinella eriarcha en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Atherinella eriarcha en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"12","Aulostomidae","Aulostomus","chinensis","Aulostomus chinensis","Presencia de Aulostomus chinensis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Aulostomus chinensis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"13","Balistidae","Balistes","polylepis","Balistes polylepis","Presencia de Balistes polylepis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Balistes polylepis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
