Leyenda,Estado,Year,Leyenda2,Leyenda3,Leyenda4,Leyenda5,Leyenda6,Leyenda7
Total de Embaracaciones Registradas en,Mexico,2014,Total de Embaracaciones Registradas para Pesca de Altura,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),Total de Embaracaciones Registradas para Pesca de Altura (Atun),Total de Embaracaciones Registradas para Pesca de Altura (Sardina / Anchoveta),Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Aguascalientes,2014,,,,,Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Baja California,2014,Total de Embaracaciones Registradas para Pesca de Altura,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),Total de Embaracaciones Registradas para Pesca de Altura (Atun),Total de Embaracaciones Registradas para Pesca de Altura (Sardina / Anchoveta),Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Baja California Sur,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),Total de Embaracaciones Registradas para Pesca de Altura (Atun),Total de Embaracaciones Registradas para Pesca de Altura (Sardina / Anchoveta),,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Campeche,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),Total de Embaracaciones Registradas para Pesca de Altura (Atun),,Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Coahuila,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Colima,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),Total de Embaracaciones Registradas para Pesca de Altura (Atun),,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Chiapas,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),Total de Embaracaciones Registradas para Pesca de Altura (Atun),,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Chihuahua,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Durango,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Guanajuato,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Guerrero,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Hidalgo,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),Total de Embaracaciones Registradas para Pesca de Altura (Atun),,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Jalisco,2014,,,,,Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Mexico(DF),2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Michoacan,2014,,,,,Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Morelos,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Nayarit,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),,,Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Nuevo Leon,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Oaxaca,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),,,Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Puebla,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Queretaro,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Quintana Roo,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),,,Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,San Luis Potosi,2014,,,,,,Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Sinaloa,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),,Total de Embaracaciones Registradas para Pesca de Altura (Sardina / Anchoveta),Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Sonora,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),,Total de Embaracaciones Registradas para Pesca de Altura (Sardina / Anchoveta),Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
Embaracaciones Registradas en,Tabasco,2014,Total de Embaracaciones Registradas para Pesca de Altura en,Total de Embaracaciones Registradas para Pesca de Altura (Camaron),,,Total de Embaracaciones Registradas para Pesca de Altura (Escama),Total de Embaracaciones Registradas para Pesca Riberena
