"","Title","Keywords","Name"
"1","Number of Macroalgae in Oaxaca State","Macroalgas; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Macroalgae"
"2","Number of Sponges in Oaxaca State","Esponjas; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Sponges"
"3","Number of Cnidarians in Oaxaca State","Cnidarios; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Cnidarians"
"4","Number of Flatworms in Oaxaca State","Plantelmintos; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Flatworms"
"5","Number of Nemerteans in Oaxaca State","Nematodos; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Nemerteans"
"6","Number of Annelids in Oaxaca State","Anelidos; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Annelids"
"7","Number of Crustaceans in Oaxaca State","Crustaceos; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Crustaceans"
"8","Number of Mollusks in Oaxaca State","Moluscos; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Mollusks"
"9","Number of Bryozoans in Oaxaca State","Bryozoos; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Bryozoans"
"10","Number of Echinoderms in Oaxaca State","Equinodermos; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Echinoderms"
"11","Number of Fish in Oaxaca State","Peces; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Fish"
"12","Number of Amphibian and reptilian in Oaxaca State","Anfibios y Reptiles; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Amphibian and reptilian"
"13","Number of Birds in Oaxaca State","Pajaros; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Birds"
"14","Number of Mammals in Oaxaca State","Mamiferos; Oaxaca; Abundancia; Grupo taxonomico; Diversidad; Especies","Mammals"
