"","Sci_A","Sci_B","Com_A","Com_B","Scientific_Name","Commun_Name"
"1","Cancer","anthonyi","Cangrejo","amarillo","Cancer anthonyi","Cangrejo amarillo"
"2","Cancer","antennarius","Cangrejo","de rocamoteado","Cancer antennarius","Cangrejo de rocamoteado"
"3","Cancer","productus","Cangrejo","rojo de roca","Cancer productus","Cangrejo rojo de roca"
"4","Cancer","gracilis","Cangrejo","purpura","Cancer gracilis","Cangrejo purpura"
"5","Cancer","johngarthi","Pacifico","mexicano del pacifico","Cancer johngarthi","Pacifico mexicano del pacifico"
"6","Astraea","undosa","Caracol","panocha","Astraea undosa","Caracol panocha"
"7","Astraea","turbanica","a","a","Astraea turbanica","a a"
"8","Hexaplex","erithrostomus","Catracol","chino rosa","Hexaplex erithrostomus","Catracol chino rosa"
"9","Muricantus","nigritus","Caracol","chino negro","Muricantus nigritus","Caracol chino negro"
"10","Strongylocentrotus","franciscanus","Erizo","rojo","Strongylocentrotus franciscanus","Erizo rojo"
"11","Strongylocentrotus","purpuratus","Erizo","morado","Strongylocentrotus purpuratus","Erizo morado"
"12","Pisaster","ochraceus","Estrella","ocre","Pisaster ochraceus","Estrella ocre"
"13","Pisaster","giganteus","Estrella","de azucar","Pisaster giganteus","Estrella de azucar"
"14","Pisaster","brevispinus","Estrella","rosada","Pisaster brevispinus","Estrella rosada"
"15","Callinectes","bellicosus","Jaiba","verde","Callinectes bellicosus","Jaiba verde"
"16","Callinectes","arcuatus","Jaiba","azul","Callinectes arcuatus","Jaiba azul"
"17","Callinectes","toxotes","Jaiba","negra;gigante","Callinectes toxotes","Jaiba negra;gigante"
"18","redondas","Urobatis","Mantas","rayas","redondas Urobatis","Mantas rayas"
"19","Sphoeroides","annulatus","Botete","diana","Sphoeroides annulatus","Botete diana"
"20","Calamus","brachysomus","Mojarra",NA,"Calamus brachysomus","Mojarra NA"
"21","Scorpaena","mystes","Pez","escorpion","Scorpaena mystes","Pez escorpion"
"22","Hippocampus","ingens","Hipocampo","Caballito de mar","Hippocampus ingens","Hipocampo Caballito de mar"
"23","Paralabrax","maculatofasciatus","Cabrilla","de roca","Paralabrax maculatofasciatus","Cabrilla de roca"
"24","Phyllonotus","erhythostoma","Caracol","chino rosa","Phyllonotus erhythostoma","Caracol chino rosa"
"25","Octopus","spp","Pulpo","pulpo","Octopus spp","Pulpo pulpo"
"26","Macrobrachium","americanum","Cauque;crecedor",NA,"Macrobrachium americanum","Cauque;crecedor NA"
"27","Macrobrachium","tenellum","Algo","Algo","Macrobrachium tenellum","Algo Algo"
"28","Macrobrachium","acantochirus","pinto",NA,"Macrobrachium acantochirus","pinto NA"
"29","Macrobrachium","occidentale","zurdo",NA,"Macrobrachium occidentale","zurdo NA"
"30","Macrobrachium","michoacanus","chano",NA,"Macrobrachium michoacanus","chano NA"
"31","Atyia","sp","Burrita","espinuda","Atyia sp","Burrita espinuda"
"32","Gelidium","robustum","Sargazo","rojo","Gelidium robustum","Sargazo rojo"
"33","Chondracanthus","canaliculatus","Pelo","de cochi","Chondracanthus canaliculatus","Pelo de cochi"
"34","Gracilariopsis","lemaneiformis","Fideo","de mar","Gracilariopsis lemaneiformis","Fideo de mar"
"35","Macrocystis","pyrifera","Sargazo","Gigante","Macrocystis pyrifera","Sargazo Gigante"
"36","Makaira","nigricans","Marlin","Azul del Atlantico","Makaira nigricans","Marlin Azul del Atlantico"
"37","Makaira","mazara","Marlin","Azul del Pazcifico","Makaira mazara","Marlin Azul del Pazcifico"
"38","Makaira","indica","Marlin","Negro","Makaira indica","Marlin Negro"
"39","Tetrapturus","audax","Marlin","Rayado","Tetrapturus audax","Marlin Rayado"
"40","Tetrapturus","albidus","Marlin","Blanco","Tetrapturus albidus","Marlin Blanco"
"41","Tetrapturus","angustirostris","Aguja","Corta","Tetrapturus angustirostris","Aguja Corta"
"42","Mytilus","californianus","Mejillon","o Choro","Mytilus californianus","Mejillon o Choro"
"43","Mytilus","galloprovinsialis","Mejillon",NA,"Mytilus galloprovinsialis","Mejillon NA"
"44","Cirujano","aleta;amarilla;barbero","Acanthurus","xanthopterus","Cirujano aleta;amarilla;barbero","Acanthurus xanthopterus"
"45","Prionurus","punctatus","Cochinito","punteado;puerco","Prionurus punctatus","Cochinito punteado;puerco"
"46","Albula","nemoptera","Macabi","de hebra","Albula nemoptera","Macabi de hebra"
"47","Ariopsis","dasycephalus","Bagre;barrigon;chihuil",NA,"Ariopsis dasycephalus","Bagre;barrigon;chihuil NA"
"48","Ariopsis","guatemalensis","Bagre","cuatete;chihuil","Ariopsis guatemalensis","Bagre cuatete;chihuil"
"49","Ariopsis","kessleri","Bagre","esculpido","Ariopsis kessleri","Bagre esculpido"
"50","Notarius","planiceps","Bagre;chihuil","cabeza","Notarius planiceps","Bagre;chihuil cabeza"
"51","Sciades","platypogon","Bagre;chihuil","cominate","Sciades platypogon","Bagre;chihuil cominate"
"52","Sciades","seemani","Bagre;chuihuil","tete","Sciades seemani","Bagre;chuihuil tete"
"53","Bagre","panamensis","Bagre","chihuil;tacazonte","Bagre panamensis","Bagre chihuil;tacazonte"
"54","Bagre","pinnimaculatus","Bagre","barbon,condor","Bagre pinnimaculatus","Bagre barbon,condor"
"55","Galeichthys","peruvianus","Bagre;chihuil","de","Galeichthys peruvianus","Bagre;chihuil de"
