"","TituloI","TituloII","Keywords","Subject"
"1","Distribucion de Astrangia haimei en el golfo de California","Clasificacion Taxonomica Completa de Astrangia haimei","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion See comments.","Astrangia haimei"
"2","Distribucion de ?Corydendrium flabellatum en el golfo de California","Clasificacion Taxonomica Completa de ?Corydendrium flabellatum","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","?Corydendrium flabellatum"
"3","Distribucion de ?Laxosuberites ?rugosus en el golfo de California","Clasificacion Taxonomica Completa de ?Laxosuberites ?rugosus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Suberites rugosus","?Laxosuberites ?rugosus"
"4","Distribucion de ?Perigonimus repens en el golfo de California","Clasificacion Taxonomica Completa de ?Perigonimus repens","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Euderium repens","?Perigonimus repens"
"5","Distribucion de ?Perigonimus robustus en el golfo de California","Clasificacion Taxonomica Completa de ?Perigonimus robustus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","?Perigonimus robustus"
"6","Distribucion de Abra palmeri en el golfo de California","Clasificacion Taxonomica Completa de Abra palmeri","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Abra palmeri"
"7","Distribucion de Abra tepocana en el golfo de California","Clasificacion Taxonomica Completa de Abra tepocana","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Abra tepocana"
"8","Distribucion de Abylopsis eschscholtzii en el golfo de California","Clasificacion Taxonomica Completa de Abylopsis eschscholtzii","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Abylopsis eschscholtzii"
"9","Distribucion de Abylopsis tetragona en el golfo de California","Clasificacion Taxonomica Completa de Abylopsis tetragona","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Abylopsis tetragona"
"10","Distribucion de Acanthaster ellisii en el golfo de California","Clasificacion Taxonomica Completa de Acanthaster ellisii","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Echinaster ellisii; Acanthaster ellisii pseudoplanci","Acanthaster ellisii"
"11","Distribucion de Acanthaxius caespitosa en el golfo de California","Clasificacion Taxonomica Completa de Acanthaxius caespitosa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Axiopsis caespitosa","Acanthaxius caespitosa"
"12","Distribucion de Acanthina lugubris en el golfo de California","Clasificacion Taxonomica Completa de Acanthina lugubris","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Acanthina lugubris"
"13","Distribucion de Acanthina lugubris en el golfo de California","Clasificacion Taxonomica Completa de Acanthina lugubris","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ; Acanthina tyrianthina Berry, 1957","Acanthina lugubris"
"14","Distribucion de Acanthochitona angelica en el golfo de California","Clasificacion Taxonomica Completa de Acanthochitona angelica","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acanthochitona angelica"
"15","Distribucion de Acanthochitona avicula en el golfo de California","Clasificacion Taxonomica Completa de Acanthochitona avicula","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Acanthochites avicula; Acanthochitona angelica Dall, 1919; Acanthochites avicula variedad diegoensis","Acanthochitona avicula"
"16","Distribucion de Acanthochitona exquisita en el golfo de California","Clasificacion Taxonomica Completa de Acanthochitona exquisita","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Acantochites exquisitus","Acanthochitona exquisita"
"17","Distribucion de Acanthochitona hirudiniformis en el golfo de California","Clasificacion Taxonomica Completa de Acanthochitona hirudiniformis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Chiton hirudiniformis; Acanthochiton coquimboensis Leloup, 1941; Acanthochitona tabogensis A.G.Smith","Acanthochitona hirudiniformis"
"18","Distribucion de Acanthochitona imperatrix en el golfo de California","Clasificacion Taxonomica Completa de Acanthochitona imperatrix","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acanthochitona imperatrix"
"19","Distribucion de Acanthodoris pina en el golfo de California","Clasificacion Taxonomica Completa de Acanthodoris pina","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion A. stohleri Lance, 1968","Acanthodoris pina"
"20","Distribucion de Acanthodoris serpentinotus en el golfo de California","Clasificacion Taxonomica Completa de Acanthodoris serpentinotus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acanthodoris serpentinotus"
"21","Distribucion de Acanthon mirafloresensis en el golfo de California","Clasificacion Taxonomica Completa de Acanthon mirafloresensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Panopeus mirafloresensis Abele & Kim, 1989","Acanthon mirafloresensis"
"22","Distribucion de Acanthonyx petiveri en el golfo de California","Clasificacion Taxonomica Completa de Acanthonyx petiveri","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Acanthonyx marginatus Milne Edwards & Lucas, 1843; Acanthonyx debilisDana, 1851; Acanthonyx concamer","Acanthonyx petiveri"
"23","Distribucion de Acanthoscina acanthodes en el golfo de California","Clasificacion Taxonomica Completa de Acanthoscina acanthodes","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Scina acanthodes","Acanthoscina acanthodes"
"24","Distribucion de Acanthotrophon sorenseni en el golfo de California","Clasificacion Taxonomica Completa de Acanthotrophon sorenseni","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Trophon sorenseni","Acanthotrophon sorenseni"
"25","Distribucion de Acanthotrophon carduus en el golfo de California","Clasificacion Taxonomica Completa de Acanthotrophon carduus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Murex carduus","Acanthotrophon carduus"
"26","Distribucion de Acarnus erithacus en el golfo de California","Clasificacion Taxonomica Completa de Acarnus erithacus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acarnus erithacus"
"27","Distribucion de Acasta newmani en el golfo de California","Clasificacion Taxonomica Completa de Acasta newmani","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acasta newmani"
"28","Distribucion de Acharax johnsoni en el golfo de California","Clasificacion Taxonomica Completa de Acharax johnsoni","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Solemya johnsoni; Solemya tokunagai Yokohama, 1925; S. (Acharax) tibai Kuroda, 1948","Acharax johnsoni"
"29","Distribucion de Achelous iridescens en el golfo de California","Clasificacion Taxonomica Completa de Achelous iridescens","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Neptunus iridescens; Portunus iridescens","Achelous iridescens"
"30","Distribucion de Acidops fimbriatus en el golfo de California","Clasificacion Taxonomica Completa de Acidops fimbriatus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acidops fimbriatus"
"31","Distribucion de Acirsa cerralvoensis en el golfo de California","Clasificacion Taxonomica Completa de Acirsa cerralvoensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Epitonium (A.) cerralvoensis","Acirsa cerralvoensis"
"32","Distribucion de Acirsa menesthoides en el golfo de California","Clasificacion Taxonomica Completa de Acirsa menesthoides","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Rissoina berryi Baker, Hanna & Strong, 1930","Acirsa menesthoides"
"33","Distribucion de Aclesia rickettsi en el golfo de California","Clasificacion Taxonomica Completa de Aclesia rickettsi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Aclesia rickettsi"
"34","Distribucion de Acoetes grubei en el golfo de California","Clasificacion Taxonomica Completa de Acoetes grubei","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Eupompe Grubei; Panthalis margincita Hartman, 1939","Acoetes grubei"
"35","Distribucion de Acoetes pacifica en el golfo de California","Clasificacion Taxonomica Completa de Acoetes pacifica","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Panthalis pacifica","Acoetes pacifica"
"36","Distribucion de Acrocirrus incisa en el golfo de California","Clasificacion Taxonomica Completa de Acrocirrus incisa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acrocirrus incisa"
"37","Distribucion de Acrosterigma pristipleura en el golfo de California","Clasificacion Taxonomica Completa de Acrosterigma pristipleura","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cardium pristipleura; Cardium hornelli Tomlin, 1928","Acrosterigma pristipleura"
"38","Distribucion de Actaea angusta en el golfo de California","Clasificacion Taxonomica Completa de Actaea angusta","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Actaea angusta"
"39","Distribucion de Acteocina angustior en el golfo de California","Clasificacion Taxonomica Completa de Acteocina angustior","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acteocina angustior"
"40","Distribucion de Acteocina carinata en el golfo de California","Clasificacion Taxonomica Completa de Acteocina carinata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Tornatina carinata","Acteocina carinata"
"41","Distribucion de Acteocina defuncta en el golfo de California","Clasificacion Taxonomica Completa de Acteocina defuncta","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cylichnella defuncta","Acteocina defuncta"
"42","Distribucion de Acteocina gonzagensis en el golfo de California","Clasificacion Taxonomica Completa de Acteocina gonzagensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Retusa gonzagensis","Acteocina gonzagensis"
"43","Distribucion de Acteocina infrequens en el golfo de California","Clasificacion Taxonomica Completa de Acteocina infrequens","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Tornatina infrequens","Acteocina infrequens"
"44","Distribucion de Acteocina tabogaensis en el golfo de California","Clasificacion Taxonomica Completa de Acteocina tabogaensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cylichnella tabogaensis","Acteocina tabogaensis"
"45","Distribucion de Acteon traskii en el golfo de California","Clasificacion Taxonomica Completa de Acteon traskii","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acteon traskii"
"46","Distribucion de Acuminodeutopus periculosus en el golfo de California","Clasificacion Taxonomica Completa de Acuminodeutopus periculosus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Acuminodeutopus periculosus"
"47","Distribucion de Adocia ambrosia en el golfo de California","Clasificacion Taxonomica Completa de Adocia ambrosia","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Adocia ambrosia"
"48","Distribucion de Adocia gellindra en el golfo de California","Clasificacion Taxonomica Completa de Adocia gellindra","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Halichoclona gellira","Adocia gellindra"
"49","Distribucion de Adocia turquoisia en el golfo de California","Clasificacion Taxonomica Completa de Adocia turquoisia","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Adocia turquoisia"
"50","Distribucion de Adrana cultrata en el golfo de California","Clasificacion Taxonomica Completa de Adrana cultrata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Adrana cultrata"
"51","Distribucion de Adrana exoptata en el golfo de California","Clasificacion Taxonomica Completa de Adrana exoptata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Leda exoptata","Adrana exoptata"
"52","Distribucion de Adrana penascoensis en el golfo de California","Clasificacion Taxonomica Completa de Adrana penascoensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Leda penascoensis","Adrana penascoensis"
"53","Distribucion de Adrana tonosiana en el golfo de California","Clasificacion Taxonomica Completa de Adrana tonosiana","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Nuculana tonosiana","Adrana tonosiana"
"54","Distribucion de Adreissa letra en el golfo de California","Clasificacion Taxonomica Completa de Adreissa letra","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Adreissa letra"
"55","Distribucion de Adula diegensis en el golfo de California","Clasificacion Taxonomica Completa de Adula diegensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Modiolus diegensis","Adula diegensis"
"56","Distribucion de Aedicira antenata en el golfo de California","Clasificacion Taxonomica Completa de Aedicira antenata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Aricidea antennata","Aedicira antenata"
