Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Notes,Lat,Long
Registro de Ahnfeltiaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ahnfeltiaceae,Pacific,Sentral Pacific,Bahia Banderas,1986,1988,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.61305533,-105.5610187
Registro de Boodleaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Boodleaceae,Pacific,Sentral Pacific,Bahia Banderas,1980,1980,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,21.158333,-105.225
Registro de Callithamniaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Callithamniaceae,Pacific,Sentral Pacific,Bahia Banderas,1986,1986,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.77,-105.538333
Registro de Ceramiaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ceramiaceae,Pacific,Sentral Pacific,Bahia Banderas,1980,2001,5,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.91337364,-105.4021742
Registro de Champiaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Champiaceae,Pacific,Sentral Pacific,Bahia Banderas,1986,1988,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.77764833,-105.5208423
Registro de Cladophoraceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Cladophoraceae,Pacific,Sentral Pacific,Bahia Banderas,1980,2001,6,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.77013883,-105.4424769
Registro de Codiaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Codiaceae,Pacific,Sentral Pacific,Bahia Banderas,1986,1988,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.79311113,-105.510455
Registro de Corallinaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Corallinaceae,Pacific,Sentral Pacific,Bahia Banderas,1987,1988,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.73014833,-105.4526945
Registro de Dictyotaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Dictyotaceae,Pacific,Sentral Pacific,Bahia Banderas,1980,2001,6,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.76993648,-105.4793017
Registro de Ectocarpaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ectocarpaceae,Pacific,Sentral Pacific,Bahia Banderas,1987,1987,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.8134725,-105.4055555
