"","Vernacular name","Kingdom","Phylum","Class","Order","Min","Max","Inicio_I","Key"
"1","","Animalia","Nematoda","Turbellaria","","2003","2003","Presencia de  en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Nematoda; Turbellaria; "
"2","Ácaro","Animalia","Arthropoda","Arachnida","Trombidiformes","1997","2004","Presencia de Ácaro en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Arthropoda; Arachnida; Trombidiformes"
"3","Anémona,Cnidario,","Animalia","Cnidaria","Anthozoa","Actiniaria","1997","2003","Presencia de Anémona,Cnidario, en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Cnidaria; Anthozoa; Actiniaria"
"4","Anfípodo","Animalia","Arthropoda","Malacostraca","Amphipoda","1997","2004","Presencia de Anfípodo en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Arthropoda; Malacostraca; Amphipoda"
"5","Aplacóforo","Animalia","Mollusca","Aplacophora","","1997","2003","Presencia de Aplacóforo en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Mollusca; Aplacophora; "
"6","Ascidia","Animalia","Chordata","Ascidiacea","","2003","2004","Presencia de Ascidia en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Chordata; Ascidiacea; "
"7","Bivalvo,Molusco,","Animalia","Mollusca","Bivalvia","","1997","2004","Presencia de Bivalvo,Molusco, en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Mollusca; Bivalvia; "
"8","Braquiópodo","Animalia","Brachiopoda","","","2000","2000","Presencia de Braquiópodo en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Brachiopoda; ; "
"9","Briozoario","Animalia","Ectoprocta","Gymnolaemata","","1997","2004","Presencia de Briozoario en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Ectoprocta; Gymnolaemata; "
"10","Cefalocárido","Animalia","Arthropoda","Cephalocarida","Brachypoda","1997","1999","Presencia de Cefalocárido en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Arthropoda; Cephalocarida; Brachypoda"
"11","Copépodo","Animalia","Arthropoda","Maxillopoda","Harpacticoida","1997","2004","Presencia de Copépodo en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Arthropoda; Maxillopoda; Harpacticoida"
"12","Cumáceo","Animalia","Arthropoda","Malacostraca","Cumacea","1997","2004","Presencia de Cumáceo en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Arthropoda; Malacostraca; Cumacea"
"13","Decápodo","Animalia","Arthropoda","Malacostraca","Decapoda","1997","2003","Presencia de Decápodo en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Arthropoda; Malacostraca; Decapoda"
"14","Enteropneusto","Animalia","Hemichordata","Enteropneusta","","2003","2003","Presencia de Enteropneusto en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Hemichordata; Enteropneusta; "
"15","Equinodermo","Animalia","Echinodermata","","","1999","2003","Presencia de Equinodermo en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Echinodermata; ; "
"16","Equinodermo,Holoturoideo,Pepino de mar,","Animalia","Echinodermata","Holothuroidea","","2000","2003","Presencia de Equinodermo,Holoturoideo,Pepino de mar, en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Echinodermata; Holothuroidea; "
"17","Equiurido","Animalia","Echiura","","","2000","2000","Presencia de Equiurido en el Golfo de Mexico","Mar Profundo; Especimen; Preservado; SIGSBEE; Justo Sierra; Nucleador; Multinucleador; Historico; Animalia; Echiura; ; "
