"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key","State"
"1","Veracruz de Ignacio de la Llave","Acar dominguensis","Tuxpan","1905","1905","Especimen preservado de Acar dominguensis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Tuxpan","Tuxpan"
"2","Veracruz de Ignacio de la Llave","Acar dominguensis","Veracruz","1905","1905","Especimen preservado de Acar dominguensis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"3","Baja California Sur","Acar gradata","La Paz",NA,NA,"Especimen preservado de Acar gradata en Baja California Sur","Moluscos; Malacologia; Presencia; La Paz","La Paz"
"4","Colima","Acar gradata","Manzanillo","1905","1905","Especimen preservado de Acar gradata en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"5","Guerrero","Acar gradata","Acapulco","1905","1905","Especimen preservado de Acar gradata en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"6","Guerrero","Acar gradata","Zihuatanejo","1905","1905","Especimen preservado de Acar gradata en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"7","Sinaloa","Acar gradata","Mazatlán",NA,NA,"Especimen preservado de Acar gradata en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"8","Veracruz de Ignacio de la Llave","Acar gradata","",NA,NA,"Especimen preservado de Acar gradata en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; ",""
"9","Sinaloa","Acar rostrae","Mazatlán",NA,NA,"Especimen preservado de Acar rostrae en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"10","Colima","Acrosterigma pristipleura","Manzanillo","1961","1961","Especimen preservado de Acrosterigma pristipleura en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"11","Veracruz de Ignacio de la Llave","Actinonaias computata","Rio Papaloapan",NA,NA,"Especimen preservado de Actinonaias computata en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Rio Papaloapan","Rio Papaloapan"
"12","Veracruz de Ignacio de la Llave","Actinonaias medellina","Rio Jamapa",NA,NA,"Especimen preservado de Actinonaias medellina en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Rio Jamapa","Rio Jamapa"
"13","Veracruz de Ignacio de la Llave","Actinonaias medellina","Rio Medellín","1905","1905","Especimen preservado de Actinonaias medellina en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Rio Medellín","Rio Medellín"
"14","Veracruz de Ignacio de la Llave","Actinonaias moctezumensis","Rio Nautla","1945","1945","Especimen preservado de Actinonaias moctezumensis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Rio Nautla","Rio Nautla"
"15","Veracruz de Ignacio de la Llave","Aequipecten muscosus","Alvarado",NA,NA,"Especimen preservado de Aequipecten muscosus en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Alvarado","Alvarado"
"16","Veracruz de Ignacio de la Llave","Aequipecten muscosus","Puerto México",NA,NA,"Especimen preservado de Aequipecten muscosus en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Puerto México","Puerto México"
"17","Veracruz de Ignacio de la Llave","Aequipecten muscosus","Tuxpan",NA,NA,"Especimen preservado de Aequipecten muscosus en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Tuxpan","Tuxpan"
"18","Guerrero","Americardia biangulata","Acapulco","1905","1905","Especimen preservado de Americardia biangulata en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"19","Sinaloa","Americardia planicostata","Mazatlán",NA,NA,"Especimen preservado de Americardia planicostata en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"20","Baja California Sur","Amygdalum americanum","La Paz",NA,NA,"Especimen preservado de Amygdalum americanum en Baja California Sur","Moluscos; Malacologia; Presencia; La Paz","La Paz"
"21","Veracruz de Ignacio de la Llave","Amygdalum papyrium","Úrsulo Galván",NA,NA,"Especimen preservado de Amygdalum papyrium en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Úrsulo Galván","Úrsulo Galván"
"22","Guerrero","Anadara (Anadara) concinna","Acapulco",NA,NA,"Especimen preservado de Anadara (Anadara) concinna en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"23","","Anadara (Anadara) similis","","","","Especimen preservado de Anadara (Anadara) similis en ","Moluscos; Malacologia; Presencia; ",""
"24","Sinaloa","Anadara (Anadara) tuberculosa","Los Sábalos","1957","1957","Especimen preservado de Anadara (Anadara) tuberculosa en Sinaloa","Moluscos; Malacologia; Presencia; Los Sábalos","Los Sábalos"
"25","Sinaloa","Anadara (Anadara) tuberculosa","Mazatlán","1905","1905","Especimen preservado de Anadara (Anadara) tuberculosa en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"26","","Anadara (Cunearca) aequatorialis","","","","Especimen preservado de Anadara (Cunearca) aequatorialis en ","Moluscos; Malacologia; Presencia; ",""
"27","Sinaloa","Anadara (Cunearca) bifrons","Mazatlán","1957","1957","Especimen preservado de Anadara (Cunearca) bifrons en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"28","","Anadara (Cunearca) brasiliana","","","","Especimen preservado de Anadara (Cunearca) brasiliana en ","Moluscos; Malacologia; Presencia; ",""
"29","Tamaulipas","Anadara (Cunearca) brasiliana","Tampico","1905","1905","Especimen preservado de Anadara (Cunearca) brasiliana en Tamaulipas","Moluscos; Malacologia; Presencia; Tampico","Tampico"
"30","Veracruz de Ignacio de la Llave","Anadara (Cunearca) brasiliana","","1939","1939","Especimen preservado de Anadara (Cunearca) brasiliana en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; ",""
