Comun,Especie,Titulo,Localidad,Datos
Abulon amarillo,Haliotis corrugata,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Abulon azul,Haliotis fulgens,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Abulon chino,Haliotis sorenseni,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Abulon negro ,Haliotis cracherodii,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Abulon rojo ,Haliotis rufescens,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Atun aleta amarilla ,Thunnus albacares,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Atun ojo grande ,Thunnus obesus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Atun aleta azul o Patudo,Thunnus thynnus orientalis,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Barrilete ,Katsuwonus pelamis,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Curvina Golfina,Cynoscion othonopterus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Erizo Rojo,Strongylocentrotus franciscanus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Jaiba,Callinectes arcuatus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Jaiba,Callinectes bellicosus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Jaiba,Callinectes toxotes,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Langosta azul,Panulirus inflatus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Langosta roja,Panulirus interruptus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Langosta verde,Panulirus gracilis,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Langosta insular,Panulirus penicillatus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Liseta,Mugil curema,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Lisa,Mugil cephalus,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Ostion de Placer,Crassostrea cortiziensis,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Ostion de Roca,Crassostrea iridiscens,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Rayas,Todas las Especies,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Tiburones,Todas las Especies,Epocas y Zonas de Veda Temporal de ,Pacifico,1
Bobo,Joturus sp,Epocas y Zonas de Veda Temporal de ,Atlantico,1
