"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key"
"1","","Atherinella blackburni","La Restringa, Venezuela","1974","1974","Especimen preservado de Atherinella blackburni en ","Peces; Ictiologia; Presencia; La Restringa, Venezuela"
"2","","Chaetodipterus faber","Frente A Acajutla, El Salvador","2004","2004","Especimen preservado de Chaetodipterus faber en ","Peces; Ictiologia; Presencia; Frente A Acajutla, El Salvador"
"3","","Eucinostomus harengulus","Costa Oeste De Florida E. U. A.","1996","1996","Especimen preservado de Eucinostomus harengulus en ","Peces; Ictiologia; Presencia; Costa Oeste De Florida E. U. A."
"4","","Melanocetus murrayi","Frente A Acajutla, El Salvador","2004","2004","Especimen preservado de Melanocetus murrayi en ","Peces; Ictiologia; Presencia; Frente A Acajutla, El Salvador"
"5","","Notropis saladonis","Arroyo Alamo","1930","1930","Especimen preservado de Notropis saladonis en ","Peces; Ictiologia; Presencia; Arroyo Alamo"
"6","Baja California","Argentina sialis","Sur Isla Tiburón","2007","2007","Especimen preservado de Argentina sialis en Baja California","Peces; Ictiologia; Presencia; Sur Isla Tiburón"
"7","Baja California","Bellator loxias","Cabo San Miguel, Golfo De California","1985","1985","Especimen preservado de Bellator loxias en Baja California","Peces; Ictiologia; Presencia; Cabo San Miguel, Golfo De California"
"8","Baja California","Engraulis mordax","Frente A Punta Estrella","2007","2007","Especimen preservado de Engraulis mordax en Baja California","Peces; Ictiologia; Presencia; Frente A Punta Estrella"
"9","Baja California","Etropus peruvianus","San Felipe","1985","1985","Especimen preservado de Etropus peruvianus en Baja California","Peces; Ictiologia; Presencia; San Felipe"
"10","Baja California","Heterodontus francisci","Bahía de Los Ángeles","1964","1964","Especimen preservado de Heterodontus francisci en Baja California","Peces; Ictiologia; Presencia; Bahía de Los Ángeles"
"11","Baja California","Paralabrax maculatofasciatus","Paz, La","1962","1962","Especimen preservado de Paralabrax maculatofasciatus en Baja California","Peces; Ictiologia; Presencia; Paz, La"
"12","Baja California","Paralichthys aestuarius","Cabo San Miguel, Golfo De California","1985","1985","Especimen preservado de Paralichthys aestuarius en Baja California","Peces; Ictiologia; Presencia; Cabo San Miguel, Golfo De California"
"13","Baja California","Pleuronichthys ritteri","Sureste De La Bahía De San Juan Bautista, Golfo De California","1987","1987","Especimen preservado de Pleuronichthys ritteri en Baja California","Peces; Ictiologia; Presencia; Sureste De La Bahía De San Juan Bautista, Golfo De California"
"14","Baja California","Pleuronichthys verticalis","Cabo San Miguel, Golfo De California","1985","1985","Especimen preservado de Pleuronichthys verticalis en Baja California","Peces; Ictiologia; Presencia; Cabo San Miguel, Golfo De California"
"15","Baja California","Scorpaena guttata","Cabo San Miguel, Golfo De California","1985","1985","Especimen preservado de Scorpaena guttata en Baja California","Peces; Ictiologia; Presencia; Cabo San Miguel, Golfo De California"
"16","Baja California","Sphyraena argentea","Bahía De San Juanico","1964","1964","Especimen preservado de Sphyraena argentea en Baja California","Peces; Ictiologia; Presencia; Bahía De San Juanico"
"17","Baja California","Symphurus atricaudus","Bahía Blanca","1965","1965","Especimen preservado de Symphurus atricaudus en Baja California","Peces; Ictiologia; Presencia; Bahía Blanca"
"18","Baja California","Syngnathus californiensis","Punta Baja","2000","2000","Especimen preservado de Syngnathus californiensis en Baja California","Peces; Ictiologia; Presencia; Punta Baja"
"19","Baja California","Tomicodon zebra","Puerto Del Refugio, Isla Angel De La Guarda","1966","1966","Especimen preservado de Tomicodon zebra en Baja California","Peces; Ictiologia; Presencia; Puerto Del Refugio, Isla Angel De La Guarda"
"20","Baja California Sur","Anchoa mundeola","Mulegé","1985","1985","Especimen preservado de Anchoa mundeola en Baja California Sur","Peces; Ictiologia; Presencia; Mulegé"
"21","Baja California Sur","Anchoa mundeoloides","Mulegé","1985","1985","Especimen preservado de Anchoa mundeoloides en Baja California Sur","Peces; Ictiologia; Presencia; Mulegé"
"22","Baja California Sur","Balistes polylepis","Frente A Sierra De San Fransisco","1997","1997","Especimen preservado de Balistes polylepis en Baja California Sur","Peces; Ictiologia; Presencia; Frente A Sierra De San Fransisco"
"23","Baja California Sur","Calamus brachysomus","Punta Chivato","1983","1983","Especimen preservado de Calamus brachysomus en Baja California Sur","Peces; Ictiologia; Presencia; Punta Chivato"
"24","Baja California Sur","Caulolatilus affinis","Punta Chivato","1983","1983","Especimen preservado de Caulolatilus affinis en Baja California Sur","Peces; Ictiologia; Presencia; Punta Chivato"
"25","Baja California Sur","Citharichthys gordae","Frente A La Aguja","1992","1992","Especimen preservado de Citharichthys gordae en Baja California Sur","Peces; Ictiologia; Presencia; Frente A La Aguja"
"26","Baja California Sur","Coryphaenoides capito","Este De La Isla San Jose","2005","2005","Especimen preservado de Coryphaenoides capito en Baja California Sur","Peces; Ictiologia; Presencia; Este De La Isla San Jose"
"27","Baja California Sur","Coryphaenoides oreinos","Este De La Isla San Jose","2005","2005","Especimen preservado de Coryphaenoides oreinos en Baja California Sur","Peces; Ictiologia; Presencia; Este De La Isla San Jose"
"28","Baja California Sur","Decodon melasma","Punta Chivato","1983","1983","Especimen preservado de Decodon melasma en Baja California Sur","Peces; Ictiologia; Presencia; Punta Chivato"
"29","Baja California Sur","Diodon holocanthus","La Aguja","1985","1985","Especimen preservado de Diodon holocanthus en Baja California Sur","Peces; Ictiologia; Presencia; La Aguja"
"30","Baja California Sur","Diodon hystrix","Bahía Coyote","1977","1977","Especimen preservado de Diodon hystrix en Baja California Sur","Peces; Ictiologia; Presencia; Bahía Coyote"
"31","Baja California Sur","Diplectrum sciurus","Mulegé","1985","1985","Especimen preservado de Diplectrum sciurus en Baja California Sur","Peces; Ictiologia; Presencia; Mulegé"
"32","Baja California Sur","Engraulis mordax","Frente A Punta San Roque","2007","2007","Especimen preservado de Engraulis mordax en Baja California Sur","Peces; Ictiologia; Presencia; Frente A Punta San Roque"
"33","Baja California Sur","Etrumeus teres","Bahía Magdalena","1962","1962","Especimen preservado de Etrumeus teres en Baja California Sur","Peces; Ictiologia; Presencia; Bahía Magdalena"
"34","Baja California Sur","Gonichthys tenuiculus","Isla Santa Catalina","2005","2005","Especimen preservado de Gonichthys tenuiculus en Baja California Sur","Peces; Ictiologia; Presencia; Isla Santa Catalina"
"35","Baja California Sur","Gymnura marmorata","La Paz","1965","1965","Especimen preservado de Gymnura marmorata en Baja California Sur","Peces; Ictiologia; Presencia; La Paz"
"36","Baja California Sur","Hemanthias peruanus","Frente Sierra San Fransisco","1985","1985","Especimen preservado de Hemanthias peruanus en Baja California Sur","Peces; Ictiologia; Presencia; Frente Sierra San Fransisco"
"37","Baja California Sur","Hippoglossina bollmani","Isla Creciente","1985","1985","Especimen preservado de Hippoglossina bollmani en Baja California Sur","Peces; Ictiologia; Presencia; Isla Creciente"
"38","Baja California Sur","Hippoglossina tetrophtalma","Mulegé","1985","1985","Especimen preservado de Hippoglossina tetrophtalma en Baja California Sur","Peces; Ictiologia; Presencia; Mulegé"
"39","Baja California Sur","Kathetostoma averruncus","Isla Creciente","2001","2001","Especimen preservado de Kathetostoma averruncus en Baja California Sur","Peces; Ictiologia; Presencia; Isla Creciente"
"40","Baja California Sur","Lepophidium prorates","Sur Bahía Santa Marina","2001","2001","Especimen preservado de Lepophidium prorates en Baja California Sur","Peces; Ictiologia; Presencia; Sur Bahía Santa Marina"
"41","Baja California Sur","Lophiodes spirulus","Isla Creciente","1983","1983","Especimen preservado de Lophiodes spirulus en Baja California Sur","Peces; Ictiologia; Presencia; Isla Creciente"
"42","Baja California Sur","Mobula munkiana","Isla San Francisco","1983","1983","Especimen preservado de Mobula munkiana en Baja California Sur","Peces; Ictiologia; Presencia; Isla San Francisco"
"43","Baja California Sur","Mustelus californicus","La Paz","1985","1985","Especimen preservado de Mustelus californicus en Baja California Sur","Peces; Ictiologia; Presencia; La Paz"
"44","Baja California Sur","Nemichthys scolpaceus","Sur De Bahía San Hipolito","2001","2001","Especimen preservado de Nemichthys scolpaceus en Baja California Sur","Peces; Ictiologia; Presencia; Sur De Bahía San Hipolito"
"45","Baja California Sur","Nezumia liolepis","Este De La Isla San Jose","2005","2005","Especimen preservado de Nezumia liolepis en Baja California Sur","Peces; Ictiologia; Presencia; Este De La Isla San Jose"
"46","Baja California Sur","Parvilux boshmai","San Hipólito","2007","2007","Especimen preservado de Parvilux boshmai en Baja California Sur","Peces; Ictiologia; Presencia; San Hipólito"
"47","Baja California Sur","Peprilus snyderi","Bahía Santa Marina","2001","2001","Especimen preservado de Peprilus snyderi en Baja California Sur","Peces; Ictiologia; Presencia; Bahía Santa Marina"
"48","Baja California Sur","Porichthys notatus","Bahía Magdalena","1962","1962","Especimen preservado de Porichthys notatus en Baja California Sur","Peces; Ictiologia; Presencia; Bahía Magdalena"
"49","Baja California Sur","Sardinops sagax","Bahía Magdalena","1997","1997","Especimen preservado de Sardinops sagax en Baja California Sur","Peces; Ictiologia; Presencia; Bahía Magdalena"
"50","Baja California Sur","Serranus psittacinus","Santa Inés","2007","2007","Especimen preservado de Serranus psittacinus en Baja California Sur","Peces; Ictiologia; Presencia; Santa Inés"
"51","Baja California Sur","Squatina californica","Punta Chivato","1985","1985","Especimen preservado de Squatina californica en Baja California Sur","Peces; Ictiologia; Presencia; Punta Chivato"
"52","Baja California Sur","Tactostoma macropus","La Paz","2005","2005","Especimen preservado de Tactostoma macropus en Baja California Sur","Peces; Ictiologia; Presencia; La Paz"
"53","Baja California Sur","Trachipterus fukuzakii","Aprox. A 250 millas al Suroeste de Cabo Sn Lucas","2012","2012","Especimen preservado de Trachipterus fukuzakii en Baja California Sur","Peces; Ictiologia; Presencia; Aprox. A 250 millas al Suroeste de Cabo Sn Lucas"
"54","Baja California Sur","Urobatis concentricus","Golfo De California, Isla La Parfida","1983","1983","Especimen preservado de Urobatis concentricus en Baja California Sur","Peces; Ictiologia; Presencia; Golfo De California, Isla La Parfida"
"55","Baja California Sur","Urobatis halleri","Frente Sierra San Fransisco","1998","1998","Especimen preservado de Urobatis halleri en Baja California Sur","Peces; Ictiologia; Presencia; Frente Sierra San Fransisco"
"56","Baja California Sur","Urobatis maculatus","Frente A Mulege","1966","1966","Especimen preservado de Urobatis maculatus en Baja California Sur","Peces; Ictiologia; Presencia; Frente A Mulege"
"57","Baja California Sur","Urobatis maculatus","Frente Bahía Santa Inés","1983","1983","Especimen preservado de Urobatis maculatus en Baja California Sur","Peces; Ictiologia; Presencia; Frente Bahía Santa Inés"
"58","Baja California Sur","Xenistius californiensis","Bahía De Santa Inés","1985","1985","Especimen preservado de Xenistius californiensis en Baja California Sur","Peces; Ictiologia; Presencia; Bahía De Santa Inés"
"59","Baja California Sur","Zalembius rosaceus","Norte De Isla Tiburón, Golfo De California","1985","1985","Especimen preservado de Zalembius rosaceus en Baja California Sur","Peces; Ictiologia; Presencia; Norte De Isla Tiburón, Golfo De California"
"60","Campeche","Acanthostracion quadricornis","Boca De Puerto Real, Laguna De Términos","1977","1977","Especimen preservado de Acanthostracion quadricornis en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"61","Campeche","Acanthostracion quadricornis","Estero Pargo, Laguna De Términos","1977","1977","Especimen preservado de Acanthostracion quadricornis en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"62","Campeche","Acanthostracion quadricornis","Frente A San Julian, Laguna De Términos","1979","1979","Especimen preservado de Acanthostracion quadricornis en Campeche","Peces; Ictiologia; Presencia; Frente A San Julian, Laguna De Términos"
"63","Campeche","Acanthostracion quadricornis","Laguna De Términos","1982","1982","Especimen preservado de Acanthostracion quadricornis en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"64","Campeche","Acanthurus bahianus","Laguna De Términos","1984","1984","Especimen preservado de Acanthurus bahianus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"65","Campeche","Achirus lineatus","Boca De Pan-Lau, Laguna De Términos","1986","1986","Especimen preservado de Achirus lineatus en Campeche","Peces; Ictiologia; Presencia; Boca De Pan-Lau, Laguna De Términos"
"66","Campeche","Achirus lineatus","Boca De Puerto Real, Laguna De Términos","1976","1976","Especimen preservado de Achirus lineatus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"67","Campeche","Achirus lineatus","Laguna De Términos","1980","1980","Especimen preservado de Achirus lineatus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"68","Campeche","Achirus lineatus","Punta De Boca De Atasta, Laguna De Términos","1979","1979","Especimen preservado de Achirus lineatus en Campeche","Peces; Ictiologia; Presencia; Punta De Boca De Atasta, Laguna De Términos"
"69","Campeche","Achirus lineatus","Río Palizada, Laguna De Términos","1976","1976","Especimen preservado de Achirus lineatus en Campeche","Peces; Ictiologia; Presencia; Río Palizada, Laguna De Términos"
"70","Campeche","Albula vulpes","Laguna De Términos","1983","1983","Especimen preservado de Albula vulpes en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"71","Campeche","Aluterus huedelotii","Sonda De Campeche Frente A La Laguna De Términos","1982","1982","Especimen preservado de Aluterus huedelotii en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"72","Campeche","Aluterus schoepfii","Estero Pargo, Laguna De Términos","1976","1976","Especimen preservado de Aluterus schoepfii en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"73","Campeche","Anchoa cayorum","Laguna De Términos","1959","1959","Especimen preservado de Anchoa cayorum en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"74","Campeche","Anchoa hepsetus","Frente A La Laguna De Términos","1980","1980","Especimen preservado de Anchoa hepsetus en Campeche","Peces; Ictiologia; Presencia; Frente A La Laguna De Términos"
"75","Campeche","Anchoa lamprotaenia","Punta Caracol, Laguna De Términos","1979","1979","Especimen preservado de Anchoa lamprotaenia en Campeche","Peces; Ictiologia; Presencia; Punta Caracol, Laguna De Términos"
