"","P_Venta","P_Menudeo","P_Destino","P_Estado","P_Punto"
"1","Precio de Venta de Abadejo en el Origen (1998-2016)","Precio de Menudeo de Abadejo (1998-2016)","Precio de Abadejo en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Baja California Sur (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion BCS: LaPaz, BajaCaliforniaSur (1998-2016)"
"2","Precio de Venta de Aletaderaya en el Origen (1998-2016)","Precio de Menudeo de Aletaderaya (1998-2016)","Precio de Aletaderaya en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Campeche (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion CAM: Campeche, Campeche (1998-2016)"
"3","Precio de Venta de Angelito en el Origen (1998-2016)","Precio de Menudeo de Angelito (1998-2016)","Precio de Angelito en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Coahuila (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion COAH: Torreon, Coahuila (1998-2016)"
"4","Precio de Venta de Atun en el Origen (1998-2016)","Precio de Menudeo de Atun (1998-2016)","Precio de Atun en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Colima (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion COL: Colima, Colima (1998-2016)"
"5","Precio de Venta de Bacoca en el Origen (1998-2016)","Precio de Menudeo de Bacoca (1998-2016)","Precio de Bacoca en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Chiapas (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion CHIS: TuxtlaGutierrez, Chiapas (1998-2016)"
"6","Precio de Venta de Bandera en el Origen (1998-2016)","Precio de Menudeo de Bandera (1998-2016)","Precio de Bandera en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Distrito Federal (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion DF: LaNuevaViga, DF (1998-2016)"
"7","Precio de Venta de Baqueta en el Origen (1998-2016)","Precio de Menudeo de Baqueta (1998-2016)","Precio de Baqueta en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Durango (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion GTO: Leon, Guanajuato (1998-2016)"
"8","Precio de Venta de Besugo en el Origen (1998-2016)","Precio de Menudeo de Besugo (1998-2016)","Precio de Besugo en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Guanajuato (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion JAL: Zapopan, Jalisco (1998-2016)"
"9","Precio de Venta de Cabrillo en el Origen (1998-2016)","Precio de Menudeo de Cabrillo (1998-2016)","Precio de Cabrillo en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Guerrero (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion MCH: Coahuayana, Michoacan (1998-2016)"
"10","Precio de Venta de Cazon con cabeza en el Origen (1998-2016)","Precio de Menudeo de Cazon con cabeza (1998-2016)","Precio de Cazon con cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en Hidalgo (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion MCH: LazaroCardenas, Michoacan (1998-2016)"
