"Region","Campo","Area","Regions","Key","Title","Keywords"
"Marina Noreste","Akal","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Akal","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Ayatsil","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Ayatsil","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Bacab","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Bacab","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Baksha","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Baksha","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Balam","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Balam","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Chac","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Chac","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Chapabil","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Chapabil","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Ek","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Ek","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Ixtoc","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Ixtoc","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Kambesah","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Kambesah","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Kayab","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Kayab","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Ku","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Ku","Petroleo; Posible; Probable; Probada; MMb; Barriles"
