"Location","Area_M","Region_M"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Guerrero","Pacific","Central Pacific"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Tamaulipas","Atlantic","W. G. Of Mexico"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
"Baja California Sur","Pacific","G. Of California"
