"","Data.Species"
"1","Tetraselmis ascus (J. Proskauer) R.E. Norris, Hori et Chihara"
"2","Tetraselmis ascus"
"3","Tetraselmis marina (Cienkowski) R.E. Norris, Hori et Chihara"
"4","Tetraselmis marina"
"5","Tetraselmis marina"
"6","Tetraselmis marina"
"7","Tetraselmis marina"
"8","Tetraselmis marina"
"9","Entocladia viridis Reinke"
"10","Entocladia viridis"
"11","Entocladia viridis"
"12","Entocladia viridis"
"13","Entocladia viridis"
"14","Epicladia condensata (Setchell et Gardner) J.N. Norris"
"15","Epicladia condensata"
"16","Epicladia condensata"
"17","Epicladia mexicana (Setchell et Gardner) J.N. Norris"
"18","Epicladia mexicana"
"19","Epicladia mexicana"
"20","Acrochaete ramosa (N.L.Gardner) O'Kelly"
"21","Pringsheimiella scutata (Reinke) Marchewianka"
"22","Pringsheimiella scutata"
"23","Stromatella monostromatica Kornmann et Sahling"
"24","Stromatella monostromatica"
"25","Stromatella monostromatica"
"26","Ulvella setchellii P.J.L. Dangeard"
"27","Ulvella setchellii"
"28","Ulvella setchellii"
"29","Ulvella viridis (Reinke) R.Nielsen, C.J.O'Kelly et B. Wysor"
"30","Ulothrix aequalis KÙtzing"
"31","Ulothrix aequalis"
"32","Ulothrix flacca (Dillwyn) Thuret"
"33","Ulothrix flacca"
"34","Ulothrix implexa (KÙtzing) KÙtzing"
"35","Ulothrix implexa"
"36","Pseudendoclonium marinum (Reinke) Aleem et Schulz"
"37","Pseudendoclonium marinum"
"38","Phaeophila dendroides (P. Crouan et H. Crouan) Batters"
"39","Phaeophila dendroides"
"40","Phaeophila dendroides"
"41","Phaeophila dendroides"
"42","Phaeophila dendroides"
"43","Kornmannia leptoderma (Kjellman) Bliding"
"44","Kornmannia leptoderma"
"45","Blidingia marginata (J. Agardh) P.J.L. Dangeard"
"46","Blidingia marginata"
"47","Blidingia marginata"
"48","Blidingia minima (N_geli ex KÙtzing) Kylin"
"49","Blidingia minima"
"50","Blidingia minima"
"51","Blidingia minima"
"52","Blidingia ramifera (Bliding) Garbary et Barkhouse"
"53","Blidingia ramifera"
"54","Gayralia oxysperma (KÙtzing) Vinogradova ex Scagel, Gabrielson, Garbary, Golden, Hawkes, Lindstrom, Oliveira et Widdowson"
"55","Gayralia oxysperma"
"56","Percursaria dawsonii Hollenberg et Abbott"
"57","Percursaria dawsonii"
"58","Percursaria dawsonii"
"59","Percursaria dawsonii"
"60","Percursaria dawsonii"
"61","Percursaria dawsonii"
"62","Percursaria dawsonii"
"63","Percursaria dawsonii"
"64","Ulva californica Wille"
"65","Ulva californica"
"66","Ulva californica"
"67","Ulva californica"
"68","Ulva californica"
"69","Ulva californica"
"70","Ulva californica"
"71","Ulva californica"
"72","Ulva californica"
"73","Ulva californica"
"74","Ulva clathrata (Roth) C. Agardh"
"75","Ulva clathrata"
"76","Ulva clathrata"
"77","Ulva clathrata"
"78","Ulva clathrata"
"79","Ulva clathrata"
"80","Ulva clathrata"
"81","Ulva clathrata"
"82","Ulva clathrata"
"83","Ulva clathrata"
"84","Ulva compressa Linnaeus"
"85","Ulva compressa"
"86","Ulva compressa"
"87","Ulva compressa"
"88","Ulva compressa"
"89","Ulva compressa"
"90","Ulva compressa"
"91","Ulva compressa"
"92","Ulva compressa"
"93","Ulva compressa"
"94","Ulva compressa"
"95","Ulva compressa"
"96","Ulva compressa"
"97","Ulva compressa"
"98","Ulva dactylifera Setchell et Gardner"
"99","Ulva dactylifera"
"100","Ulva dactylifera"
"101","Ulva dactylifera"
"102","Ulva dactylifera"
"103","Ulva dactylifera"
"104","Ulva dactylifera"
"105","Ulva dactylifera"
"106","Ulva expansa (Setchell) Setchell et Gardner"
"107","Ulva expansa"
"108","Ulva expansa"
"109","Ulva expansa"
"110","Ulva expansa"
"111","Ulva expansa"
"112","Ulva expansa"
"113","Ulva fasciata Delile"
"114","Ulva fasciata"
"115","Ulva fasciata"
"116","Ulva fasciata"
"117","Ulva fasciata"
"118","Ulva fasciata"
"119","Ulva fasciata"
"120","Ulva flexuosa Wulfen"
"121","Ulva flexuosa"
"122","Ulva flexuosa"
"123","Ulva flexuosa"
"124","Ulva flexuosa"
"125","Ulva flexuosa"
"126","Ulva flexuosa"
"127","Ulva flexuosa"
"128","Ulva flexuosa"
"129","Ulva flexuosa"
"130","Ulva flexuosa"
"131","Ulva flexuosa"
"132","Ulva flexuosa"
"133","Ulva paradoxa C. Agardh ?Ë?Ë?Ë?"
"134","Ulva paradoxa"
"135","Ulva paradoxa"
"136","Ulva intestinalis Linnaeus"
"137","Ulva intestinalis"
"138","Ulva intestinalis"
"139","Ulva intestinalis"
"140","Ulva intestinalis"
"141","Ulva intestinalis"
"142","Ulva intestinalis"
"143","Ulva intestinalis"
"144","Ulva intestinalis"
"145","Ulva intestinalis"
"146","Ulva intestinalis"
"147","Ulva intestinalis"
"148","Ulva intestinalis"
"149","Ulva lactuca Linnaeus"
"150","Ulva lactuca"
"151","Ulva lactuca"
"152","Ulva lactuca"
"153","Ulva lactuca"
"154","Ulva lactuca"
"155","Ulva lactuca"
"156","Ulva lactuca"
"157","Ulva lactuca"
"158","Ulva lactuca"
"159","Ulva lactuca"
"160","Ulva lactuca"
"161","Ulva lactuca"
"162","Ulva linza Linnaeus"
"163","Ulva linza"
"164","Ulva linza"
"165","Ulva linza"
"166","Ulva linza"
"167","Ulva linza"
"168","Ulva linza"
"169","Ulva linza"
"170","Ulva linza"
"171","Ulva lobata (KÙtzing) Harvey"
"172","Ulva lobata"
"173","Ulva lobata"
"174","Ulva lobata"
"175","Ulva lobata"
"176","Ulva lobata"
"177","Ulva lobata"
"178","Ulva lobata"
"179","Ulva nematoidea Bory de Saint Vincent"
"180","Ulva nematoidea"
"181","Ulva nematoidea"
