"ENTIDAD","NOMBRE_CIENTIFICO","K1","TItulo","Short_Title"
"AGUASCALIENTES","Cyprinus spp","CARPA SE AGUASCALIENTES CARPA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Cyprinus spp en AGUASCALIENTES"
"AGUASCALIENTES","Ictalurus punctatus","BAGRE DE CANAL AGUASCALIENTES BAGRE Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Ictalurus punctatus en AGUASCALIENTES"
"AGUASCALIENTES","Micropterus salmoides","LOBINA NEGRA AGUASCALIENTES LOBINA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Micropterus salmoides en AGUASCALIENTES"
"AGUASCALIENTES","Oreochromis spp.","TILAPIA SE AGUASCALIENTES MOJARRA Estadistica oficial; Pesca; Produccion; Captura","T1","CULTIVO (peso vivo) de Oreochromis spp. en AGUASCALIENTES"
"AGUASCALIENTES","Sphyraena spp","BARRACUDA AGUASCALIENTES OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Sphyraena spp en AGUASCALIENTES"
"BAJA CALIFORNIA NORTE","ALECTIS CRINITUS","PEZ SAPO ENSENADA OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de ALECTIS CRINITUS en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Alopias superciliosus","TIBURON COLUDO BAHIA DE LOS ANGELES; ENSENADA; SAN QUINTIN TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Alopias superciliosus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Alopias vulpinus","ZORRO ENSENADA; SAN QUINTIN; VILLA DE JESUS MARIA TIBURON Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Alopias vulpinus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Aluterus scriptus","COCHINITO SAN FELIPE OTRAS Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Aluterus scriptus en BAJA CALIFORNIA NORTE"
"BAJA CALIFORNIA NORTE","Anadara mulicostata/Anadara grandis","ALMEJA PATA DE MULA EL ROSARIO; VILLA DE JESUS MARIA ALMEJA Estadistica oficial; Pesca; Produccion; Captura","T1","CAPTURA (peso vivo) de Anadara mulicostata/Anadara grandis en BAJA CALIFORNIA NORTE"
