"","Scientific name","State/Province","Vernacular name","Min","Max","Inicio","Inicio_I","Key"
"1","Acanthilia intermedia","Veracruz de Ignacio de la Llave","Cangrejo",1988,1988,"Presencia de Acanthilia intermedia en Veracruz de Ignacio de la Llave","Presencia de Cangrejo en Veracruz de Ignacio de la Llave","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"2","Acanthocarpus","Campeche","Cangrejo",1987,1987,"Presencia de Acanthocarpus en Campeche","Presencia de Cangrejo en Campeche","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"3","Acanthocarpus","Tabasco","Cangrejo",1987,1987,"Presencia de Acanthocarpus en Tabasco","Presencia de Cangrejo en Tabasco","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"4","Acanthocarpus","Veracruz de Ignacio de la Llave","Cangrejo",1987,1988,"Presencia de Acanthocarpus en Veracruz de Ignacio de la Llave","Presencia de Cangrejo en Veracruz de Ignacio de la Llave","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"5","Acanthocarpus alexandri","Campeche","Cangrejo",1983,1997,"Presencia de Acanthocarpus alexandri en Campeche","Presencia de Cangrejo en Campeche","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"6","Acanthocarpus alexandri","Tabasco","Cangrejo",1983,1997,"Presencia de Acanthocarpus alexandri en Tabasco","Presencia de Cangrejo en Tabasco","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"7","Acanthocarpus alexandri","Tamaulipas","Cangrejo",1989,1993,"Presencia de Acanthocarpus alexandri en Tamaulipas","Presencia de Cangrejo en Tamaulipas","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"8","Acanthocarpus alexandri","Veracruz de Ignacio de la Llave","Cangrejo",1984,1997,"Presencia de Acanthocarpus alexandri en Veracruz de Ignacio de la Llave","Presencia de Cangrejo en Veracruz de Ignacio de la Llave","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"9","Acanthocarpus alexandri","Yucatíçn","Cangrejo",1993,1993,"Presencia de Acanthocarpus alexandri en Yucatíçn","Presencia de Cangrejo en Yucatíçn","Abundancia; Ecologia; Bentos; Historico; Cangrejo"
"10","Acanthostracion","Tabasco","Actinopterigio,Torito,",1997,1997,"Presencia de Acanthostracion en Tabasco","Presencia de Actinopterigio,Torito, en Tabasco","Abundancia; Ecologia; Bentos; Historico; Actinopterigio,Torito,"
"11","Acanthostracion","Veracruz de Ignacio de la Llave","Actinopterigio,Torito,",1997,1997,"Presencia de Acanthostracion en Veracruz de Ignacio de la Llave","Presencia de Actinopterigio,Torito, en Veracruz de Ignacio de la Llave","Abundancia; Ecologia; Bentos; Historico; Actinopterigio,Torito,"
"12","Acanthostracion quadricornis","Tamaulipas","Torito cornudo,Actinopterigio,",1990,1990,"Presencia de Acanthostracion quadricornis en Tamaulipas","Presencia de Torito cornudo,Actinopterigio, en Tamaulipas","Abundancia; Ecologia; Bentos; Historico; Torito cornudo,Actinopterigio,"
