"","Vientos_X","Topografia_X","Nivel_X","Velocidad_x"
"1","Vientos Climatologicos en  Enero (1999-2006)","Topografia inamica Absoluta en  Enero (1992-1999)","Anomalia de nivel del mar Enero (1992-1999)","Velocidad geostrofica Enero (1992-1999)"
"2","Vientos Climatologicos en  Febrero (1999-2006)","Topografia inamica Absoluta en  Febrero (1992-1999)","Anomalia de nivel del mar Febrero (1992-1999)","Velocidad geostrofica Febrero (1992-1999)"
"3","Vientos Climatologicos en  Marzo (1999-2006)","Topografia inamica Absoluta en  Marzo (1992-1999)","Anomalia de nivel del mar Marzo (1992-1999)","Velocidad geostrofica Marzo (1992-1999)"
"4","Vientos Climatologicos en  Abril (1999-2006)","Topografia inamica Absoluta en  Abril (1992-1999)","Anomalia de nivel del mar Abril (1992-1999)","Velocidad geostrofica Abril (1992-1999)"
"5","Vientos Climatologicos en  Mayo (1999-2006)","Topografia inamica Absoluta en  Mayo (1992-1999)","Anomalia de nivel del mar Mayo (1992-1999)","Velocidad geostrofica Mayo (1992-1999)"
"6","Vientos Climatologicos en  Junio (1999-2006)","Topografia inamica Absoluta en  Junio (1992-1999)","Anomalia de nivel del mar Junio (1992-1999)","Velocidad geostrofica Junio (1992-1999)"
"7","Vientos Climatologicos en  Julio (1999-2006)","Topografia inamica Absoluta en  Julio (1992-1999)","Anomalia de nivel del mar Julio (1992-1999)","Velocidad geostrofica Julio (1992-1999)"
"8","Vientos Climatologicos en  Agosto (1999-2006)","Topografia inamica Absoluta en  Agosto (1992-1999)","Anomalia de nivel del mar Agosto (1992-1999)","Velocidad geostrofica Agosto (1992-1999)"
"9","Vientos Climatologicos en  Septiembre (1999-2006)","Topografia Dinamica Absoluta en  Septiembre (1992-1999)","Anomalia de nivel del mar Septiembre (1992-1999)","Velocidad geostrofica Septiembre (1992-1999)"
"10","Vientos Climatologicos en  Octubre (1999-2006)","Topografia Dinamica Absoluta en  Octubre (1992-1999)","Anomalia de nivel del mar Octubre (1992-1999)","Velocidad geostrofica Octubre (1992-1999)"
"11","Vientos Climatologicos en  Noviembre (1999-2006)","Topografia Dinamica Absoluta en  Noviembre (1992-1999)","Anomalia de nivel del mar Noviembre (1992-1999)","Velocidad geostrofica Noviembre (1992-1999)"
"12","Vientos Climatologicos en  Diciembre (1999-2006)","Topografia Dinamica Absoluta en  Diciembre (1992-1999)","Anomalia de nivel del mar Diciembre (1992-1999)","Velocidad geostrofica Diciembre (1992-1999)"
"13","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"14","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"15","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"16","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"17","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"18","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"19","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"20","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
