"","Especies","Uno","Key1","Dos","Key2"
"1","Acanthurus achilles","Presencia ausencia de Acanthurus achilles en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthurus achilles","Diversidad Funcional de Acanthurus achilles en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthurus achilles"
"2","Acanthurus triostegus","Presencia ausencia de Acanthurus triostegus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthurus triostegus","Diversidad Funcional de Acanthurus triostegus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthurus triostegus"
"3","Acanthurus xanthopterus","Presencia ausencia de Acanthurus xanthopterus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthurus xanthopterus","Diversidad Funcional de Acanthurus xanthopterus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthurus xanthopterus"
"4","Acanthurus nigricans","Presencia ausencia de Acanthurus nigricans en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthurus nigricans","Diversidad Funcional de Acanthurus nigricans en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthurus nigricans"
"5","Prionurus punctatus","Presencia ausencia de Prionurus punctatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Prionurus punctatus","Diversidad Funcional de Prionurus punctatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Prionurus punctatus"
"6","Prionurus laticlavius","Presencia ausencia de Prionurus laticlavius en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Prionurus laticlavius","Diversidad Funcional de Prionurus laticlavius en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Prionurus laticlavius"
"7","Antennatus sanguineus","Presencia ausencia de Antennatus sanguineus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Antennatus sanguineus","Diversidad Funcional de Antennatus sanguineus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Antennatus sanguineus"
"8","Antennatus strigatus","Presencia ausencia de Antennatus strigatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Antennatus strigatus","Diversidad Funcional de Antennatus strigatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Antennatus strigatus"
"9","Apogon retrosella","Presencia ausencia de Apogon retrosella en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Apogon retrosella","Diversidad Funcional de Apogon retrosella en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Apogon retrosella"
"10","Apogon pacificus","Presencia ausencia de Apogon pacificus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Apogon pacificus","Diversidad Funcional de Apogon pacificus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Apogon pacificus"
"11","Atherinella eriarcha","Presencia ausencia de Atherinella eriarcha en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Atherinella eriarcha","Diversidad Funcional de Atherinella eriarcha en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Atherinella eriarcha"
"12","Aulostomus chinensis","Presencia ausencia de Aulostomus chinensis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Aulostomus chinensis","Diversidad Funcional de Aulostomus chinensis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Aulostomus chinensis"
"13","Balistes polylepis","Presencia ausencia de Balistes polylepis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Balistes polylepis","Diversidad Funcional de Balistes polylepis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Balistes polylepis"
"14","Canthidermis maculata","Presencia ausencia de Canthidermis maculata en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Canthidermis maculata","Diversidad Funcional de Canthidermis maculata en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Canthidermis maculata"
"15","Melichthys niger","Presencia ausencia de Melichthys niger en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Melichthys niger","Diversidad Funcional de Melichthys niger en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Melichthys niger"
"16","Pseudobalistes naufragium","Presencia ausencia de Pseudobalistes naufragium en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Pseudobalistes naufragium","Diversidad Funcional de Pseudobalistes naufragium en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Pseudobalistes naufragium"
"17","Sufflamen verres","Presencia ausencia de Sufflamen verres en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Sufflamen verres","Diversidad Funcional de Sufflamen verres en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Sufflamen verres"
"18","Xanthichthys mento","Presencia ausencia de Xanthichthys mento en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Xanthichthys mento","Diversidad Funcional de Xanthichthys mento en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Xanthichthys mento"
"19","Porichthys margaritatus","Presencia ausencia de Porichthys margaritatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Porichthys margaritatus","Diversidad Funcional de Porichthys margaritatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Porichthys margaritatus"
"20","Porichthys myriaster","Presencia ausencia de Porichthys myriaster en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Porichthys myriaster","Diversidad Funcional de Porichthys myriaster en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Porichthys myriaster"
"21","Tylosurus crocodilus","Presencia ausencia de Tylosurus crocodilus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tylosurus crocodilus","Diversidad Funcional de Tylosurus crocodilus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tylosurus crocodilus"
"22","Tylosurus acus","Presencia ausencia de Tylosurus acus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tylosurus acus","Diversidad Funcional de Tylosurus acus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tylosurus acus"
"23","Entomacrodus chiostictus","Presencia ausencia de Entomacrodus chiostictus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Entomacrodus chiostictus","Diversidad Funcional de Entomacrodus chiostictus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Entomacrodus chiostictus"
"24","Hypsoblennius brevipinnis","Presencia ausencia de Hypsoblennius brevipinnis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Hypsoblennius brevipinnis","Diversidad Funcional de Hypsoblennius brevipinnis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Hypsoblennius brevipinnis"
"25","Hypsoblennius gentilis","Presencia ausencia de Hypsoblennius gentilis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Hypsoblennius gentilis","Diversidad Funcional de Hypsoblennius gentilis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Hypsoblennius gentilis"
"26","Hypsoblennius jenkinsi","Presencia ausencia de Hypsoblennius jenkinsi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Hypsoblennius jenkinsi","Diversidad Funcional de Hypsoblennius jenkinsi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Hypsoblennius jenkinsi"
